chemical,name,molecular_weight,SMILES_string,Drug,InChI Key,SMILES,similarity
CIDs00176870,erlotinib,393.43572,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,Erlotinib,AAKJLRGGTJKAMG-UHFFFAOYSA-N,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,89
CIDs00003016,diazepam,284.74022,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Diazepam,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,88
CIDs00002431,bretylium,243.16338,CC[N+](C)(C)CC1=CC=CC=C1Br,Bretylium,AAQOQKQBGPPFNS-UHFFFAOYSA-N,CC[N+](C)(C)CC1=CC=CC=C1Br,89
CIDs00031378,fludrocortisone,380.450363,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,Fludrocortisone,AAXVEMMRQDVLJB-BULBTXNYSA-N,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,93
CIDs00002484,butenafine,317.46718,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,Butenafine,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32,90
CIDs00185460,bilastine,463.61168,CCOCCN1C2=CC=CC=C2N=C1C3CCN(CC3)CCC4=CC=C(C=C4)C(C)(C)C(=O)O,Bilastine,ACCMWZWAEFYUGZ-UHFFFAOYSA-N,CCOCCN1C2=CC=CC=C2N=C1C3CCN(CC3)CCC4=CC=C(C=C4)C(C)(C)C(=O)O,89
CIDs00003518,guanethidine,198.30848,C1CCCN(CCC1)CCN=C(N)N,Guanethidine,ACGDKVXYNVEAGU-UHFFFAOYSA-N,C1CCCN(CCC1)CCN=C(N)N,92
CIDs00003598,pre-op,406.90354,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,Hexachlorophane,ACGUYXCXAPNIKK-UHFFFAOYSA-N,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,29
CIDs00132999,ivabradine,468.58514,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC,Ivabradine,ACRHBAYQBXXRTO-OAQYLSRUSA-N,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC,90
CIDs00025419,clodronate,244.892384,C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,Clodronic Acid,ACSIXWWBWUQEHA-UHFFFAOYSA-N,C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,50
CIDs00001156,Bioquinon,863.3435,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,Ubidecarenone,ACTIUHUUMQJHFO-UPTCCGCDSA-N,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,36
CIDs76324338,spiramycin,843.05266,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,Spiramycin,ACTOXUHEUCPTEW-CEUOBAOPSA-N,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,90
CIDs02724354,succimer,182.21804,C(C(C(=O)O)S)(C(=O)O)S,Succimer,ACTRVOBWPAIOHC-XIXRPRMCSA-N,C(C(C(=O)O)S)(C(=O)O)S,88
CIDs00060846,valsartan,435.51876,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,Valsartan,ACWBQPMHZXGDFX-QFIPXVFZSA-N,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O,89
CIDs10288191,binimetinib,441.226806,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,Binimetinib,ACWZRVQXLIRSDF-UHFFFAOYSA-N,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,91
CIDs00003152,donepezil,379.49196,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,Donepezil,ADEBPBSSDYVVLD-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,89
CIDs00004616,oxazepam,286.71304,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,Oxazepam,ADIMAYPTOBDMTL-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,88
