gene,input_disease,PT_match,score
CHRNA5,Epilepsy,Seizure,1.0
CHRNA5,nocturnal frontal lobe,Frontal lobe epilepsy,0.883229
CHRNA5,3 (ENFL3),C-telopeptide increased,0.7374052
DRD2,Nizon-Isidor syndrome (NIZIDS),C-telopeptide increased,0.8360052
DRD2,DISEASE: Note=A chromosomal aberration involving DISC1 segregates with schizophrenia and related psychiatric disorders in a large Scottish family. Translocation t(1,Mental disorder due to a general medical condition,0.8937279
DRD2,11)(q42.1,Erythema,0.0
DRD2,q14.3). The truncated DISC1 protein produced by this translocation is unable to interact with ATF4,Absence of immediate treatment response,0.8158393
DRD2,ATF5 and NDEL1.,Elderly,0.925665
DRD2,Schizophrenia 9 (SCZD9),C-telopeptide increased,0.7149037
DRD2,Schizophrenia (SCZD),AST/ALT ratio abnormal,0.71147335
DRD2,Developmental and epileptic encephalopathy 32 (DEE32),Hepatitis B DNA decreased,0.7797395
DRD2,Intellectual developmental disorder with language impairment and early-onset DOPA-responsive dystonia-parkinsonism (IDLDP),Neurone-specific enolase increased,0.8271765
DRD2,Anterior segment dysgenesis 1 (ASGD1),Extranodal marginal zone B-cell lymphoma (MALT type),0.8186438
DRD2,Note=Defects in DTNBP1 are associated with susceptibility to schizophrenia,Mood disorder due to a general medical condition,0.8558336
DRD2,a mental disorder characterized by a breakdown of thought processes and by poor emotional responsiveness. Genetic mutations lead to alterations in the glutamatergic transmission in the brain and modified Akt signaling (PubMed,Model for end stage liver disease score increased,0.8501527
DRD2,Cataract 11,Cataract,0.8479758
DRD2,multiple types (CTRCT11),Multiple-drug resistance,0.65731347
DRD2,Parkinsonism-dystonia 1,Tremor,0.8489696
DRD2,infantile-onset (PKDYS1),C-telopeptide increased,0.8050401
DRD2,Hermansky-Pudlak syndrome 7 (HPS7),17-hydroxyprogesterone increased,0.82365
DRD2,Tremor,Tremor,1.0
DRD2,hereditary essential 1 (ETM1),Hepatitis B DNA increased,0.75417095
DRD3,Otopalatodigital syndrome 2 (OPD2),Extranodal marginal zone B-cell lymphoma (MALT type),0.76594
DRD3,Frontometaphyseal dysplasia 1 (FMD1),Extranodal marginal zone B-cell lymphoma (MALT type),0.74523467
