Drug,SOC_ABBREV,event_count,total_drug_reports,total_event_report,total_reports
"2,2'-Dithiobis(Benzothiazole)",Skin,1,1,342793,2398539
"2,3-Dibromo-2-Methylpentanedinitrile",Skin,1,1,342793,2398539
2-Mercaptobenzothiazole,Skin,1,1,342793,2398539
Abacavir,Blood,66,2395,71008,2398539
Abacavir,Card,116,2395,85175,2398539
Abacavir,Cong,49,2395,13078,2398539
Abacavir,Ear,7,2395,19592,2398539
Abacavir,Endo,11,2395,8562,2398539
Abacavir,Eye,52,2395,75573,2398539
Abacavir,Gastr,328,2395,384857,2398539
Abacavir,Hepat,117,2395,39495,2398539
Abacavir,Immun,110,2395,44496,2398539
Abacavir,Infec,125,2395,119417,2398539
Abacavir,Metab,63,2395,66918,2398539
Abacavir,Musc,117,2395,127857,2398539
Abacavir,Neopl,39,2395,30949,2398539
Abacavir,Nerv,304,2395,369711,2398539
Abacavir,Preg,53,2395,20629,2398539
Abacavir,Prod,29,2395,20547,2398539
Abacavir,Psych,222,2395,234508,2398539
Abacavir,Renal,64,2395,54496,2398539
Abacavir,Repro,23,2395,45896,2398539
Abacavir,Resp,133,2395,144266,2398539
Abacavir,Skin,314,2395,342793,2398539
Abacavir,Vasc,53,2395,78716,2398539
Abatacept,Blood,7,607,71008,2398539
Abatacept,Card,24,607,85175,2398539
Abatacept,Ear,6,607,19592,2398539
Abatacept,Eye,14,607,75573,2398539
Abatacept,Gastr,68,607,384857,2398539
Abatacept,Hepat,2,607,39495,2398539
Abatacept,Immun,13,607,44496,2398539
Abatacept,Infec,130,607,119417,2398539
Abatacept,Metab,5,607,66918,2398539
Abatacept,Musc,56,607,127857,2398539
Abatacept,Neopl,29,607,30949,2398539
Abatacept,Nerv,86,607,369711,2398539
Abatacept,Preg,3,607,20629,2398539
Abatacept,Prod,14,607,20547,2398539
Abatacept,Psych,18,607,234508,2398539
Abatacept,Renal,18,607,54496,2398539
Abatacept,Repro,3,607,45896,2398539
Abatacept,Resp,46,607,144266,2398539
Abatacept,Skin,45,607,342793,2398539
Abatacept,Vasc,20,607,78716,2398539
Abciximab,Blood,98,370,71008,2398539
Abciximab,Card,48,370,85175,2398539
Abciximab,Eye,1,370,75573,2398539
Abciximab,Gastr,52,370,384857,2398539
Abciximab,Hepat,1,370,39495,2398539
Abciximab,Immun,5,370,44496,2398539
Abciximab,Infec,1,370,119417,2398539
Abciximab,Metab,6,370,66918,2398539
Abciximab,Musc,10,370,127857,2398539
Abciximab,Nerv,35,370,369711,2398539
Abciximab,Prod,3,370,20547,2398539
Abciximab,Renal,8,370,54496,2398539
Abciximab,Resp,38,370,144266,2398539
Abciximab,Skin,24,370,342793,2398539
Abciximab,Vasc,40,370,78716,2398539
Abemaciclib,Blood,44,608,71008,2398539
Abemaciclib,Card,5,608,85175,2398539
Abemaciclib,Cong,1,608,13078,2398539
Abemaciclib,Ear,1,608,19592,2398539
Abemaciclib,Eye,17,608,75573,2398539
Abemaciclib,Gastr,202,608,384857,2398539
Abemaciclib,Hepat,29,608,39495,2398539
Abemaciclib,Infec,28,608,119417,2398539
Abemaciclib,Metab,21,608,66918,2398539
Abemaciclib,Musc,16,608,127857,2398539
Abemaciclib,Neopl,33,608,30949,2398539
Abemaciclib,Nerv,59,608,369711,2398539
Abemaciclib,Prod,1,608,20547,2398539
Abemaciclib,Psych,12,608,234508,2398539
Abemaciclib,Renal,15,608,54496,2398539
Abemaciclib,Repro,4,608,45896,2398539
Abemaciclib,Resp,59,608,144266,2398539
Abemaciclib,Skin,52,608,342793,2398539
Abemaciclib,Vasc,9,608,78716,2398539
Abiraterone,Blood,15,662,71008,2398539
Abiraterone,Card,77,662,85175,2398539
Abiraterone,Ear,1,662,19592,2398539
Abiraterone,Endo,4,662,8562,2398539
Abiraterone,Eye,7,662,75573,2398539
