PT,HLT,HLGT,SOC_ABBREV
Erythema,Erythemas,Epidermal and dermal conditions,Skin
Diabetes mellitus,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metab
Malaise,Asthenic conditions,General system disorders NEC,Genrl
Pyrexia,Febrile disorders,Body temperature conditions,Genrl
Rash,"Rashes, eruptions and exanthems NEC",Epidermal and dermal conditions,Skin
Hypersensitivity,Allergic conditions NEC,Allergic conditions,Immun
Influenza like illness,General signs and symptoms NEC,General system disorders NEC,Genrl
Sleep disorder,Sleep disorders NEC,Sleep disorders and disturbances,Psych
Abdominal distension,"Flatulence, bloating and distension",Gastrointestinal signs and symptoms,Gastr
Abdominal pain,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastr
Ascites,Peritoneal and retroperitoneal disorders,Peritoneal and retroperitoneal conditions,Gastr
Condition aggravated,General signs and symptoms NEC,General system disorders NEC,Genrl
Weight decreased,Physical examination procedures and organ system status,Physical examination and organ system status topics,Inv
Anaphylactic reaction,Anaphylactic and anaphylactoid responses,Allergic conditions,Immun
Acne,Acnes,Skin appendage conditions,Skin
Erythema multiforme,Bullous conditions,Epidermal and dermal conditions,Skin
Rash macular,"Rashes, eruptions and exanthems NEC",Epidermal and dermal conditions,Skin
Vomiting,Nausea and vomiting symptoms,Gastrointestinal signs and symptoms,Gastr
Alanine aminotransferase increased,Hepatobiliary function diagnostic procedures,Hepatobiliary investigations,Inv
Arthralgia,Joint related signs and symptoms,Joint disorders,Musc
Chills,Feelings and sensations NEC,General system disorders NEC,Genrl
Hyperhidrosis,Apocrine and eccrine gland disorders,Skin appendage conditions,Skin
Urticaria,Urticarias,Angioedema and urticaria,Skin
Pancreatitis,Acute and chronic pancreatitis,Exocrine pancreas conditions,Gastr
Burning sensation,Paraesthesias and dysaesthesias,Neurological disorders NEC,Nerv
Rash erythematous,"Rashes, eruptions and exanthems NEC",Epidermal and dermal conditions,Skin
Diarrhoea,Diarrhoea (excl infective),Gastrointestinal motility and defaecation conditions,Gastr
Nausea,Nausea and vomiting symptoms,Gastrointestinal signs and symptoms,Gastr
Pneumonia,Lower respiratory tract and lung infections,Infections - pathogen unspecified,Infec
Testicular swelling,Testicular and epididymal disorders NEC,Testicular and epididymal disorders,Repro
Anxiety,Anxiety symptoms,Anxiety disorders and symptoms,Psych
Dizziness,Neurological signs and symptoms NEC,Neurological disorders NEC,Nerv
Dyspnoea,Breathing abnormalities,Respiratory disorders NEC,Resp
Fatigue,Asthenic conditions,General system disorders NEC,Genrl
Feeling abnormal,Feelings and sensations NEC,General system disorders NEC,Genrl
"Hallucination, visual",Hallucinations (excl sleep-related),Disturbances in thinking and perception,Psych
Headache,Headaches NEC,Headaches,Nerv
Myalgia,Muscle pains,Muscle disorders,Musc
Phobia,Fear symptoms and phobic disorders (incl social phobia),Anxiety disorders and symptoms,Psych
Rash maculo-papular,"Rashes, eruptions and exanthems NEC",Epidermal and dermal conditions,Skin
Vertigo,Inner ear signs and symptoms,Inner ear and VIIIth cranial nerve disorders,Ear
Wheezing,Bronchospasm and obstruction,Bronchial disorders (excl neoplasms),Resp
Acute kidney injury,Renal failure and impairment,Renal disorders (excl nephropathies),Renal
Disseminated intravascular coagulation,Coagulopathies,Coagulopathies and bleeding diatheses (excl thrombocytopenic),Blood
Eye pain,Ocular disorders NEC,Eye disorders NEC,Eye
Thrombocytopenia,Thrombocytopenias,Platelet disorders,Blood
Seizure,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
Syncope,Disturbances in consciousness NEC,Neurological disorders NEC,Nerv
Oedema,Oedema NEC,General system disorders NEC,Genrl
Dysgeusia,Sensory abnormalities NEC,Neurological disorders NEC,Nerv
Nail discolouration,Nail and nail bed conditions (excl infections and infestations),Skin appendage conditions,Skin
Skin hyperpigmentation,Hyperpigmentation disorders,Pigmentation disorders,Skin
Conjunctivitis,Eye and eyelid infections,Infections - pathogen unspecified,Infec
Cough,Coughing and associated symptoms,Respiratory disorders NEC,Resp
Mouth ulceration,Stomatitis and ulceration,Oral soft tissue conditions,Gastr
Rash pustular,Skin structures and soft tissue infections,Infections - pathogen unspecified,Infec
Renal impairment,Renal failure and impairment,Renal disorders (excl nephropathies),Renal
Restlessness,Increased physical activity levels,Changes in physical activity,Psych
Increased insulin requirement,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metab
Breast mass,Breast disorders NEC,Breast disorders,Repro
Gynaecomastia,Breast disorders NEC,Breast disorders,Repro
Hypotension,Vascular hypotensive disorders,Decreased and nonspecific blood pressure disorders and shock,Vasc
Abdominal pain upper,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastr
Breast enlargement,Breast disorders NEC,Breast disorders,Repro
Hypercholesterolaemia,Elevated cholesterol,Lipid metabolism disorders,Metab
Hypertriglyceridaemia,Elevated triglycerides,Lipid metabolism disorders,Metab
Trisomy 21,Autosomal chromosomal abnormalities,"Chromosomal abnormalities, gene alterations and gene variants",Cong
Congenital eye disorder,Ocular disorders congenital NEC,Eye disorders congenital,Cong
Dysmorphism,Musculoskeletal disorders congenital NEC,Musculoskeletal and connective tissue disorders congenital,Cong
Body temperature,Physical examination procedures and organ system status,Physical examination and organ system status topics,Inv
Tremor,Tremor (excl congenital),Movement disorders (incl parkinsonism),Nerv
Swelling face,General signs and symptoms NEC,General system disorders NEC,Genrl
Body temperature increased,Physical examination procedures and organ system status,Physical examination and organ system status topics,Inv
Decreased appetite,Appetite disorders,Appetite and general nutritional disorders,Metab
Pharyngitis,Upper respiratory tract infections,Infections - pathogen unspecified,Infec
Swelling,General signs and symptoms NEC,General system disorders NEC,Genrl
Lipodystrophy acquired,Lipodystrophies,Skin and subcutaneous tissue disorders NEC,Skin
Pain,Pain and discomfort NEC,General system disorders NEC,Genrl
Skin irritation,Dermatitis and eczema,Epidermal and dermal conditions,Skin
Abnormal dreams,Parasomnias,Sleep disorders and disturbances,Psych
Agitation,Anxiety symptoms,Anxiety disorders and symptoms,Psych
Poor quality sleep,Dyssomnias,Sleep disorders and disturbances,Psych
Epistaxis,Nasal disorders NEC,Upper respiratory tract disorders (excl infections),Resp
Gingival swelling,"Gingival disorders, signs and symptoms NEC",Dental and gingival conditions,Gastr
Oropharyngeal pain,Upper respiratory tract signs and symptoms,Respiratory tract signs and symptoms,Resp
Blood creatinine increased,Renal function analyses,Renal and urinary tract investigations and urinalyses,Inv
Lethargy,Disturbances in consciousness NEC,Neurological disorders NEC,Nerv
Gingivitis,Dental and oral soft tissue infections,Infections - pathogen unspecified,Infec
Stevens-Johnson syndrome,Bullous conditions,Epidermal and dermal conditions,Skin
Myocardial infarction,Ischaemic coronary artery disorders,Coronary artery disorders,Card
Cardiac arrest,Ventricular arrhythmias and cardiac arrest,Cardiac arrhythmias,Card
Lactic acidosis,Metabolic acidoses (excl diabetic acidoses),Acid-base disorders,Metab
Respiratory failure,Respiratory failures (excl neonatal),Respiratory disorders NEC,Resp
Insomnia,Disturbances in initiating and maintaining sleep,Sleep disorders and disturbances,Psych
Abortion spontaneous,Abortions spontaneous,Abortions and stillbirth,Preg
