gene,disease,PT,assocID,geneNcbiID,geneDSI,geneDPI,score,yearInitial,yearFinal,diseaseType,HLT,HLGT,SOC_ABBREV
HTR1A,Mental Depression,Depression,10277731,3350,0.478,0.875,1.0,2014,2014,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR1A,Depressive disorder,Mixed anxiety and depressive disorder,10293890,3350,0.478,0.875,0.95,2014,2014,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR1A,Schizophrenia,Schizophrenia,20659595,3350,0.478,0.875,0.85,2014,2014,disease,Schizophrenia NEC,Schizophrenia and other psychotic disorders,Psych
HTR1A,Major Depressive Disorder,Sleep disorder,45135986,3350,0.478,0.875,0.85,2013,2014,disease,Sleep disorders NEC,Sleep disorders and disturbances,Psych
HTR1A,Anxiety Disorders,Anxiety disorder,5228910,3350,0.478,0.875,0.8,,,disease,Anxiety disorders NEC,Anxiety disorders and symptoms,Psych
HTR1A,Panic Disorder,Panic disorder,20334687,3350,0.478,0.875,0.8,,,disease,Panic attacks and disorders,Anxiety disorders and symptoms,Psych
HTR1A,Pain,Pain,20295223,3350,0.478,0.875,0.8,2003,2003,phenotype,Pain and discomfort NEC,General system disorders NEC,Genrl
HTR1A,Bipolar Disorder,Bipolar disorder,5429173,3350,0.478,0.875,0.7999999999999999,2004,2014,disease,Bipolar disorders,Manic and bipolar mood disorders and disturbances,Psych
HTR1A,Unipolar Depression,Depression,25093011,3350,0.478,0.875,0.75,2013,2014,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
HTR1A,Mood Disorders,Blood disorder,40038227,3350,0.478,0.875,0.75,2011,2014,disease,Haematological disorders,Haematological disorders NEC,Blood
HTR1A,"Alcoholic Intoxication, Chronic",Alcoholic,5068512,3350,0.478,0.875,0.75,2009,2013,disease,Alcohol product use,Lifestyle issues,SocCi
HTR1A,Anhedonia,Anhedonia,25552880,3350,0.478,0.875,0.75,2009,2009,disease,Mood alterations with depressive symptoms,Depressed mood disorders and disturbances,Psych
HTR1A,Fever,Q fever,10713165,3350,0.478,0.875,0.7,2012,2012,phenotype,Coxiella infections,Rickettsial infectious disorders,Infec
HTR1A,Apnea,Apnoea,5239334,3350,0.478,0.875,0.65,2000,2000,phenotype,Breathing abnormalities,Respiratory disorders NEC,Resp
HTR1A,"Depression, Postpartum",Depression,30075789,3350,0.478,0.875,0.65,2010,2010,disease,Depressive disorders,Depressed mood disorders and disturbances,Psych
