Gene,disease_list
ADRA2C,"{'Spinocerebellar ataxia, autosomal recessive, 12 (SCAR12) [MIM', 'Cleft palate, cardiac defects, and impaired intellectual development (CPCMR) [MIM', 'Precocious puberty, central 2 (CPPB2) [MIM', 'Developmental and epileptic encephalopathy 28 (DEE28) [MIM', 'Esophageal cancer (ESCR) [MIM', 'Parkinson disease 22 (PARK22) [MIM', 'Note=Defects in WWOX may be involved in several cancer types. The gene spans the second most common chromosomal fragile site (FRA16D) which is frequently altered in cancers (PubMed'}"
APEH,set()
CASP3,"{'it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers', 'Note=Is a tumor suppressor gene with an important role in colorectal cancer (CRC). {ECO', 'Inflammatory bowel disease 10 (IBD10) [MIM', 'Cerebellar ataxia, cayman type (ATCAY) [MIM', 'Deafness, autosomal dominant, 5 (DFNA5) [MIM', 'Ventricular tachycardia, catecholaminergic polymorphic, 4 (CPVT4) [MIM', 'Long QT syndrome 14 (LQT14) [MIM', 'fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:17200669, ECO:0000269|PubMed:17435756, ECO:0000269|PubMed:17484864, ECO:0000269|PubMed:18047540, ECO:0000269|PubMed:18499543, ECO:0000269|PubMed:18985712, ECO:0000269|PubMed:19659808, ECO:0000269|PubMed:24656308}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.', 'Oocyte/zygote/embryo maturation arrest 7 (OZEMA7) [MIM', 'Hemolytic anemia, congenital, X-linked (HACXL) [MIM', 'Developmental and epileptic encephalopathy 54 (DEE54) [MIM'}"
CPA6,"{'8)(q26', 'q13).', 'Febrile seizures, familial, 11 (FEB11) [MIM', 'Epilepsy, familial temporal lobe, 5 (ETL5) [MIM', 'DISEASE: Note=A chromosomal aberration involving CPA6 was found in a patient with Duane retraction syndrome. Translocation t(6'}"
CXCL8,"{'Olmsted syndrome 2 (OLMS2) [MIM', 'Immunodeficiency 119 (IMD119) [MIM', ""Note=Is the major autoantigen in anti-neutrophil cytoplasmic autoantibody (ANCA)-associated vasculitis (Wegener's granulomatosis) (PubMed"", 'Neurodevelopmental disorder with hypotonia, impaired speech, and behavioral abnormalities (NEDHISB) [MIM', 'Factor X deficiency (FA10D) [MIM', 'Note=Loss-of-function PKHD1 variations may cause autosomal dominant polycystic liver disease (PCLD) in patients that lack variations in known causative genes, such as PRKCSH and SEC63. {ECO', 'Polycystic kidney disease 4, with or without polycystic liver disease (PKD4) [MIM', 'Intellectual developmental disorder, autosomal dominant 42 (MRD42) [MIM', 'WHIM syndrome 2 (WHIMS2) [MIM', 'Erythrokeratodermia variabilis et progressiva 7 (EKVP7) [MIM'}"
CYP2C19,set()
CYP51A1,set()
OIT3,"{'Striatonigral degeneration, childhood-onset (SNDC) [MIM', 'Bosley-Salih-Alorainy syndrome (BSAS) [MIM', 'Athabaskan brainstem dysgenesis syndrome (ABDS) [MIM'}"
SLC6A3,"{'Parkinsonism-dystonia 2, infantile-onset (PKDYS2) [MIM', 'Parkinson disease 1, autosomal dominant (PARK1) [MIM', 'Deafness, autosomal recessive, 123 (DFNB123) [MIM', 'Dementia, Lewy body (DLB) [MIM', 'Anterior segment dysgenesis 1 (ASGD1) [MIM', 'Intellectual developmental disorder with language impairment and early-onset DOPA-responsive dystonia-parkinsonism (IDLDP) [MIM', 'Cataract 11, multiple types (CTRCT11) [MIM', 'Zaki syndrome (ZKS) [MIM', 'Parkinsonism-dystonia 1, infantile-onset (PKDYS1) [MIM', 'Dystonia 1, torsion, autosomal dominant (DYT1) [MIM', 'Parkinson disease 4, autosomal dominant (PARK4) [MIM', 'DISEASE: Note=Genetic alterations of SNCA resulting in aberrant polymerization into fibrils, are associated with several neurodegenerative diseases (synucleinopathies). SNCA fibrillar aggregates represent the major non A-beta component of Alzheimer disease amyloid plaque, and a major component of Lewy body inclusions. They are also found within Lewy body (LB)-like intraneuronal inclusions, glial inclusions and axonal spheroids in neurodegeneration with brain iron accumulation type 1.', 'Arthrogryposis multiplex congenita 5 (AMC5) [MIM'}"
SP2,"{'Microcephaly-capillary malformation syndrome (MICCAP) [MIM', 'Osteogenesis imperfecta 12 (OI12) [MIM', 'Amelogenesis imperfecta 1K (AI1K) [MIM'}"
