Gene,disease_list
ALOX12,"{'Dowling-Degos disease 1 (DDD1) [MIM', 'Cardiomyopathy, dilated, with hypergonadotropic hypogonadism (CMDHH) [MIM', 'Emery-Dreifuss muscular dystrophy 3, autosomal recessive (EDMD3) [MIM', 'Restrictive dermopathy 2 (RSDM2) [MIM', 'Colorectal cancer (CRC) [MIM', 'Epidermolysis bullosa simplex 2A, generalized severe (EBS2A) [MIM', 'Epidermolysis bullosa simplex 2D, generalized, intermediate or severe, autosomal recessive (EBS2D) [MIM', 'Emery-Dreifuss muscular dystrophy 2, autosomal dominant (EDMD2) [MIM', 'Heart-hand syndrome Slovenian type (HHS-Slovenian) [MIM', 'Epidermolysis bullosa simplex 2E, with migratory circinate erythema (EBS2E) [MIM', 'Epidermolysis bullosa simplex 2F, with mottled pigmentation (EBS2F) [MIM', 'Note=Defects in LMNA may cause a late-onset cardiocutaneous progeria syndrome characterized by cutaneous manifestations of aging appearing in the third decade of life, cardiac valve calcification and dysfunction, prominent atherosclerosis, and cardiomyopathy, leading to death on average in the fourth decade. {ECO', 'Charcot-Marie-Tooth disease, axonal, 2B1 (CMT2B1) [MIM', 'Epidermolysis bullosa simplex 2C, localized (EBS2C) [MIM', 'Muscular dystrophy congenital LMNA-related (MDCL) [MIM', 'Esophageal cancer (ESCR) [MIM', 'Lipodystrophy, familial partial, 2 (FPLD2) [MIM', 'Mandibuloacral dysplasia with type A lipodystrophy (MADA) [MIM', 'Cardiomyopathy, dilated, 1A (CMD1A) [MIM', 'Epidermolysis bullosa simplex 2B, generalized intermediate (EBS2B) [MIM', 'Hutchinson-Gilford progeria syndrome (HGPS) [MIM'}"
ALPG,"{'Hypophosphatasia (HOPS) [MIM', 'Hypophosphatasia, infantile (HPPI) [MIM', 'Hypophosphatasia, childhood (HPPC) [MIM', '(3) type 3 with no symptoms, the condition being determined on routine studies. {ECO:0000269|PubMed:10834525, ECO:0000269|PubMed:11438998, ECO:0000269|PubMed:12162492, ECO:0000269|PubMed:7833929, ECO:0000269|PubMed:8954059}. Note=The disease is caused by variants affecting the gene represented in this entry.', ""(2) type 2 with later, more gradual development of symptoms, moderately severe 'rachitic' skeletal changes and premature loss of teeth""}"
CELA2A,"{'Abdominal obesity-metabolic syndrome 4 (AOMS4) [MIM', 'Alpha-1-antitrypsin deficiency (A1ATD) [MIM'}"
CHP2,"{'Epileptic encephalopathy, infantile or early childhood, 1 (IECEE1) [MIM', 'Arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development (ACCIID) [MIM', 'Lichtenstein-Knorr syndrome (LIKNS) [MIM', 'Diarrhea 8, secretory sodium, congenital (DIAR8) [MIM'}"
F10,"{'Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency (PXEL-MCFD) [MIM', 'Leukemia, juvenile myelomonocytic (JMML) [MIM', 'Melanocytic nevus syndrome, congenital (CMNS) [MIM', 'Noonan syndrome 6 (NS6) [MIM', 'Keratinocytic non-epidermolytic nevus (KNEN) [MIM', 'Thyroid cancer, non-medullary, 2 (NMTC2) [MIM', 'Factor X deficiency (FA10D) [MIM', 'Melanosis, neurocutaneous (NCMS) [MIM', 'Note=May play a role in the progression of scirrhous-type gastric cancer by supporting cancer cell survival during oxidative stress. {ECO', 'Xeroderma pigmentosum complementation group E (XP-E) [MIM', 'Note=A IL6 promoter polymorphism is associated with a lifetime risk of development of Kaposi sarcoma in HIV-infected men. {ECO', 'Rheumatoid arthritis systemic juvenile (RASJ) [MIM', 'RAS-associated autoimmune leukoproliferative disorder (RALD) [MIM', 'Neurodevelopmental disorder with growth retardation, dysmorphic facies, and corpus callosum abnormalities (NEDGFC) [MIM', 'Plasminogen activator inhibitor-1 deficiency (PAI-1D) [MIM', 'Combined deficiency of vitamin K-dependent clotting factors 1 (VKCFD1) [MIM'}"
GBA2,"{'Spastic paraplegia 46, autosomal recessive (SPG46) [MIM'}"
KCNIP2,"{'Spinocerebellar ataxia 19 (SCA19) [MIM', 'Brugada syndrome 9 (BRGDA9) [MIM', 'Note=A KCND2 mutation leading to the production of a C-terminally truncated protein has been identified in a patient with epilepsy. Epilepsy is characterized by paroxysmal transient disturbances of the electrical activity of the brain that may be manifested as episodic impairment or loss of consciousness, abnormal motor phenomena, psychic or sensory disturbances, or perturbation of the autonomic nervous system. {ECO', 'Intellectual developmental disorder, autosomal dominant 33 (MRD33) [MIM', 'Familial paroxysmal ventricular fibrillation 2 (VF2) [MIM', 'Legius syndrome (LGSS) [MIM', 'Note=KNCD2 mutations have been found in a family with autism and epilepsy and may play a role in disease pathogenesis. Autism is a complex multifactorial, pervasive developmental disorder characterized by impairments in reciprocal social interaction and communication, restricted and stereotyped patterns of interests and activities, and the presence of developmental abnormalities by 3 years of age. Epilepsy is characterized by paroxysmal transient disturbances of the electrical activity of the brain that may be manifested as episodic impairment or loss of consciousness, abnormal motor phenomena, psychic or sensory disturbances, or perturbation of the autonomic nervous system. {ECO', 'Note=KLF15 deficiency results in loss of rhythmic QT variation and abnormal heart repolarization (PubMed'}"
PNLIP,{'Pancreatic lipase deficiency (PNLIPD) [MIM'}
RAC1,"{'q21) translocation that truncates HACE1 has been found in a child with bilateral, young-onset Wilms tumor (PubMed:19948536). {ECO:0000269|PubMed:17694067, ECO:0000269|PubMed:19948536}.', 'Immunodeficiency 73C with defective neutrophil chemotaxis and hypogammaglobulinemia (IMD73C) [MIM', 'DISEASE: Note=A chromosomal aberration disrupting SRGAP2 has been found in a patient with early infantile epileptic encephalopathy. Balanced translocation t(1', 'Granulomatous disease, chronic, autosomal recessive, 2 (CGD2) [MIM', 'Developmental and epileptic encephalopathy 65 (DEE65) [MIM', '6)(q21', 'Immunodeficiency 73B with defective neutrophil chemotaxis and lymphopenia (IMD73B) [MIM', 'Granulomatous disease, chronic, autosomal recessive, 4 (CGD4) [MIM', 'DISEASE: Note=Defects in HACE1 are a cause of Wilms tumor (WT). WT is a pediatric malignancy of kidney and one of the most common solid cancers in childhood. HACE1 is epigenetically down-regulated in sporadic Wilms tumor. Moreover, a t(5', 'Immunodeficiency 73A with defective neutrophil chemotaxis and leukocytosis (IMD73A) [MIM', 'DISEASE: Note=A chromosomal aberration involving RAP1GDS1 has been found in T-cell acute lymphocytic leukemia. Translocation t(4', 'p15) with NUP98. {ECO:0000269|PubMed:10477737, ECO:0000269|PubMed:10929031}.', 'q13) (PubMed:22106086). {ECO:0000269|PubMed:22106086}.', 'DISEASE: Note=A chromosomal aberration involving RAP1GDS1 has been found in M0 type acute myeloid leukemia. Translocation (t4', 'Dystrophia myotonica 1 (DM1) [MIM', '9)(q32', 'Immunodeficiency 40 (IMD40) [MIM', 'Alfadhel syndrome (AFDL) [MIM', 'p15) with NUP98. {ECO:0000269|PubMed:16419055}.', 'Spastic paraplegia and psychomotor retardation with or without seizures (SPPRS) [MIM', 'Intellectual developmental disorder, autosomal dominant 48 (MRD48) [MIM', 'Blistering, acantholytic, of oral and laryngeal mucosa (ABOLM) [MIM', '11)(q23'}"
UGT1A9,"{'Gilbert syndrome (GILBS) [MIM', 'Transient familial neonatal hyperbilirubinemia (HBLRTFN) [MIM', 'Crigler-Najjar syndrome 2 (CN2) [MIM', 'Crigler-Najjar syndrome 1 (CN1) [MIM'}"
