Gene,disease_list
APEH,set()
GSTO1,"{'Neuronopathy, distal hereditary motor, autosomal dominant 3 (HMND3) [MIM', 'Charcot-Marie-Tooth disease, axonal, 2F (CMT2F) [MIM'}"
HRH2,set()
LCLAT1,{'Note=A chromosomal aberration involving GOPC is found in a glioblastoma multiforme sample. An intra-chromosomal deletion del(6)(q21q21) is responsible for the formation of GOPC-ROS1 chimeric protein which has a constitutive receptor tyrosine kinase activity. {ECO'}
NOS3,"{'Argininosuccinic aciduria (ARGINSA) [MIM', 'Note=Variation Asp-298 in NOS3 may be associated with susceptibility to coronary spasm. {ECO', 'Hypogonadotropic hypogonadism 25 with anosmia (HH25) [MIM', 'Hemangioma, capillary infantile (HCI) [MIM', 'Lissencephaly 7, with cerebellar hypoplasia (LIS7) [MIM', ""DISEASE: Note=Plays a major role in tumor angiogenesis. In case of HIV-1 infection, the interaction with extracellular viral Tat protein seems to enhance angiogenesis in Kaposi's sarcoma lesions.""}"
NR3C1,"{'Otosclerosis 12 (OTSC12) [MIM', 'Rubinstein-Taybi syndrome 2 (RSTS2) [MIM', 'Congenital anomalies of kidney and urinary tract 3 (CAKUT3) [MIM', 'Melanoma, cutaneous malignant 3 (CMM3) [MIM', '22)(p11', 'DISEASE: Note=Defects in EP300 may play a role in epithelial cancer.', 'Noonan syndrome 5 (NS5) [MIM', 'Glucocorticoid resistance, generalized (GCCR) [MIM', 'Menke-Hennekam syndrome 2 (MKHK2) [MIM', 'Coffin-Siris syndrome 5 (CSS5) [MIM', 'DISEASE: Note=Chromosomal aberrations involving NCOA2 may be a cause of acute myeloid leukemias. Inversion inv(8)(p11', 'Peripheral neuropathy, autosomal recessive, with or without impaired intellectual development (PNRIID) [MIM', 'Osteootohepatoenteric syndrome (OOHE) [MIM', 'LEOPARD syndrome 2 (LPRD2) [MIM', 'DISEASE: Note=Chromosomal aberrations involving EP300 may be a cause of acute myeloid leukemias. Translocation t(8', 'p23) with PAX3 generates the NCOA1-PAX3 oncogene consisting of the N-terminus part of PAX3 and the C-terminus part of NCOA1. The fusion protein acts as a transcriptional activator. Rhabdomyosarcoma is the most common soft tissue carcinoma in childhood, representing 5-8% of all malignancies in children. {ECO:0000269|PubMed:15313887}.', 'Delayed sleep phase syndrome (DSPS) [MIM', 'Meningioma (MNGMA) [MIM', 'Coffin-Siris syndrome 4 (CSS4) [MIM', 'q13) generates the KAT6A-NCOA2 oncogene, which consists of the N-terminal part of KAT6A and the C-terminal part of NCOA2/TIF2. KAT6A-NCOA2 binds to CREBBP and disrupts its function in transcription activation. {ECO:0000269|PubMed:12676584, ECO:0000269|PubMed:15657427, ECO:0000269|PubMed:9558366}.', 'Rhabdoid tumor predisposition syndrome 2 (RTPS2) [MIM', 'q13) with KAT6A.', 'Cardiomyopathy, dilated, 1NN (CMD1NN) [MIM', '2)(q35', 'DISEASE: Note=A chromosomal aberration involving NCOA1 is a cause of rhabdomyosarcoma. Translocation t(2', 'Developmental and epileptic encephalopathy 54 (DEE54) [MIM'}"
SCN5A,"{'Generalized epilepsy with febrile seizures plus 1 (GEFSP1) [MIM', 'Arrhythmogenic right ventricular dysplasia, familial, 9 (ARVD9) [MIM', 'Progressive familial heart block 1A (PFHB1A) [MIM', 'Developmental and epileptic encephalopathy 52 (DEE52) [MIM', 'Atrial fibrillation, familial, 14 (ATFB14) [MIM', 'Sick sinus syndrome 1 (SSS1) [MIM', 'Brugada syndrome 5 (BRGDA5) [MIM', 'Atrial fibrillation, familial, 13 (ATFB13) [MIM', 'Note=Genetic variations in SCN2B may be involved in Brugada syndrome (PubMed', 'Brugada syndrome 2 (BRGDA2) [MIM', 'Atrial standstill 1 (ATRST1) [MIM', 'Atrial fibrillation, familial, 16 (ATFB16) [MIM', 'Long QT syndrome 12 (LQT12) [MIM', 'Note=Defects in TMEM65 may cause a mitochondrial disorder characterized by a complex encephalomyopathic phenotype. Clinical features includ microcephaly, dysmorphic features, psychomotor regression, hypotonia, growth retardation, lactic acidosis, intractable seizures, dyskenetics movements, without cardiomyopathy (PubMed', 'Cardiomyopathy, dilated, 1E (CMD1E) [MIM', 'Developmental and epileptic encephalopathy 90 (DEE90) [MIM', 'Brugada syndrome 7 (BRGDA7) [MIM', 'Long QT syndrome 14 (LQT14) [MIM', 'Atrial fibrillation, familial, 10 (ATFB10) [MIM', 'Long QT syndrome 3 (LQT3) [MIM', 'Developmental and epileptic encephalopathy 47 (DEE47) [MIM', 'Periventricular nodular heterotopia 7 (PVNH7) [MIM', 'Intellectual developmental disorder, X-linked 110 (XLID110) [MIM', 'Intellectual developmental disorder, autosomal recessive 37 (MRT37) [MIM', 'Ventricular tachycardia, catecholaminergic polymorphic, 4 (CPVT4) [MIM', 'Brugada syndrome 1 (BRGDA1) [MIM', 'Sudden infant death syndrome (SIDS) [MIM', 'Familial paroxysmal ventricular fibrillation 1 (VF1) [MIM', 'Note=Genetic variations in ANK3 may be associated with autism spectrum disorders susceptibility. {ECO'}"
ST8SIA2,set()
TTR,"{'Amyloidosis, hereditary systemic 1 (AMYLD1) [MIM', 'Carpal tunnel syndrome 1 (CTS1) [MIM', 'Retinal dystrophy, iris coloboma, and comedogenic acne syndrome (RDCCAS) [MIM', 'Hyperthyroxinemia, dystransthyretinemic (DTTRH) [MIM', 'Multiple mitochondrial dysfunctions syndrome 4 (MMDS4) [MIM', 'prolonged deficiency may lead to retinal degeneration. Additionally, retinol deficiency may result in dry skin, increased susceptibility to infection and acne (PubMed:23189188). {ECO:0000269|PubMed:23189188}.', 'Microphthalmia/Coloboma 10 (MCOPCB10) [MIM', 'Congenital disorder of glycosylation 2H (CDG2H) [MIM', 'Congenital disorder of glycosylation 1X (CDG1X) [MIM'}"
UGT1A3,"{'Gilbert syndrome (GILBS) [MIM', 'Transient familial neonatal hyperbilirubinemia (HBLRTFN) [MIM', 'Crigler-Najjar syndrome 2 (CN2) [MIM', 'Crigler-Najjar syndrome 1 (CN1) [MIM'}"
