Gene,disease_list
ADRA1B,"{'DISEASE: Note=Defects in MAP2K3 may be involved in colon cancer.', 'Combined oxidative phosphorylation deficiency 33 (COXPD33) [MIM'}"
ADRA2C,"{'Spinocerebellar ataxia, autosomal recessive, 12 (SCAR12) [MIM', 'Cleft palate, cardiac defects, and impaired intellectual development (CPCMR) [MIM', 'Precocious puberty, central 2 (CPPB2) [MIM', 'Developmental and epileptic encephalopathy 28 (DEE28) [MIM', 'Esophageal cancer (ESCR) [MIM', 'Parkinson disease 22 (PARK22) [MIM', 'Note=Defects in WWOX may be involved in several cancer types. The gene spans the second most common chromosomal fragile site (FRA16D) which is frequently altered in cancers (PubMed'}"
AVPR1A,"{'Megalencephalic leukoencephalopathy with subcortical cysts 4, remitting (MLC4) [MIM', 'Immunodeficiency 42 (IMD42) [MIM', 'Oculomotor-abducens synkinesis (OCABSN) [MIM', 'Diabetes insipidus, neurohypophyseal (NDI) [MIM'}"
CHRNA2,"{'Seizures, benign familial infantile, 6 (BFIS6) [MIM', 'Epilepsy, nocturnal frontal lobe, 4 (ENFL4) [MIM'}"
MC4R,"{'Obesity (OBESITY) [MIM', 'Neuronopathy, distal hereditary motor, autosomal recessive 5 (HMNR5) [MIM', 'Hypogonadotropic hypogonadism 27 without anosmia (HH27) [MIM', 'Glucocorticoid deficiency 2 (GCCD2) [MIM', 'Obesity and hypopigmentation (OBHP) [MIM'}"
MCM5,"{'Deafness, autosomal dominant, 70 (DFNA70) [MIM', 'Spondyloepimetaphyseal dysplasia, sponastrime type (SEMDSP) [MIM', 'p21), with BCL6. {ECO:0000269|PubMed:12414651}.', '6)(q27', 'Meier-Gorlin syndrome 8 (MGORS8) [MIM', 'Chopra-Amiel-Gordon syndrome (CAGS) [MIM', 'DISEASE: Note=Chromosomal aberrations involving HISTONE H4 is a cause of B-cell non-Hodgkin lymphomas (B-cell NHL). Translocation t(3', 'Tessadori-Bicknell-Van Haaften neurodevelopmental syndrome 1 (TEBIVANED1) [MIM', 'Tessadori-Bicknell-Van Haaften neurodevelopmental syndrome 4 (TEBIVANED4) [MIM', 'Tessadori-Bicknell-Van Haaften neurodevelopmental syndrome 3 (TEBIVANED3) [MIM', 'Immunodeficiency 54 (IMD54) [MIM', 'Tessadori-Bicknell-Van Haaften neurodevelopmental syndrome 2 (TEBIVANED2) [MIM'}"
SELP,"{'Deafness, autosomal recessive, 21 (DFNB21) [MIM', 'Hyperferritinemia (HRFT) [MIM', 'Glanzmann thrombasthenia 1 (GT1) [MIM', 'Bleeding disorder, platelet-type, 24 (BDPLT24) [MIM', 'Deafness, autosomal dominant, 12 (DFNA12) [MIM', 'Glanzmann thrombasthenia 2 (GT2) [MIM', 'Immunodeficiency 109 with lymphoproliferation (IMD109) [MIM', 'Bleeding disorder, platelet-type, 16 (BDPLT16) [MIM', 'Lymphatic malformation 4 (LMPHM4) [MIM'}"
SETD1A,"{'Neurodevelopmental disorder with speech impairment and dysmorphic facies (NEDSID) [MIM', 'Neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities (NEDHIB) [MIM', 'Intellectual developmental disorder, X-linked, syndromic, Siderius type (MRXSSD) [MIM', 'Methylmalonic aciduria and homocystinuria, cblX type (MAHCX) [MIM', 'Intellectual developmental disorder with seizures and language delay (IDDSELD) [MIM', 'Epilepsy, early-onset, 2, with or without developmental delay (EPEO2) [MIM', 'Microcephaly 10, primary, autosomal recessive (MCPH10) [MIM'}"
SLC1A1,"{'Spastic paraplegia 12, autosomal dominant (SPG12) [MIM', 'Dicarboxylic aminoaciduria (DCBXA) [MIM', 'Neuronopathy, distal hereditary motor, autosomal recessive 11, with spasticity (HMNR11) [MIM', 'Congenital disorder of glycosylation 2F (CDG2F) [MIM', 'Spastic paraplegia 61, autosomal recessive (SPG61) [MIM', 'Schizophrenia 18 (SCZD18) [MIM'}"
TMPRSS11D,set()
