Gene,disease_list
ARL11,"{'Leukemia, chronic lymphocytic (CLL) [MIM', 'Mosaic variegated aneuploidy syndrome 3 (MVA3) [MIM', 'Oocyte/zygote/embryo maturation arrest 9 (OZEMA9) [MIM'}"
ATP5MF-PTCD1,set()
CDK4,"{'Melanoma-astrocytoma syndrome (MASTS) [MIM', 'Melanoma, cutaneous malignant 3 (CMM3) [MIM', 'Familial atypical multiple mole melanoma-pancreatic carcinoma syndrome (FAMMMPC) [MIM', 'DISEASE: Note=A chromosomal aberration involving CCND1 may be a cause of B-lymphocytic malignancy, particularly mantle-cell lymphoma (MCL). Translocation t(11', '14)(q13', 'Noonan syndrome 5 (NS5) [MIM', 'Osteogenic sarcoma (OSRC) [MIM', 'Glucocorticoid resistance, generalized (GCCR) [MIM', 'Childhood cancer retinoblastoma (RB) [MIM', 'Multiple endocrine neoplasia 4 (MEN4) [MIM', 'DISEASE: Note=The association between cutaneous and uveal melanomas in some families suggests that mutations in CDKN2A may account for a proportion of uveal melanomas. However, CDKN2A mutations are rarely found in uveal melanoma patients.', 'Immunodeficiency 93 and hypertrophic cardiomyopathy (IMD93) [MIM', 'LEOPARD syndrome 2 (LPRD2) [MIM', 'DISEASE: Note=A chromosomal aberration involving CCND1 may be a cause of parathyroid adenomas. Translocation t(11', 'Intrauterine growth retardation, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies (IMAGE) [MIM', 'q32) with immunoglobulin gene regions. Activation of CCND1 may be oncogenic by directly altering progression through the cell cycle. {ECO:0000269|PubMed:1826542, ECO:0000269|PubMed:8204893, ECO:0000269|PubMed:8695815}.', 'p15) with the parathyroid hormone (PTH) enhancer. {ECO:0000269|PubMed:1826542}.', '11)(q13', 'polydactyly may also be seen. There is considerable phenotypic similarity between this disorder and the megalencephaly-capillary malformation syndrome. {ECO:0000269|PubMed:24705253}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'q32) with the IgH locus.', 'Cardiomyopathy, dilated, 1NN (CMD1NN) [MIM', 'Bladder cancer (BLC) [MIM', 'Beckwith-Wiedemann syndrome (BWS) [MIM', 'Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3 (MPPH3) [MIM', 'Multiple myeloma (MM) [MIM', 'Melanoma, cutaneous malignant 2 (CMM2) [MIM'}"
DSG2,"{'Arrhythmogenic right ventricular dysplasia, familial, 10 (ARVD10) [MIM', 'Arrhythmogenic right ventricular dysplasia, familial, 11 (ARVD11) [MIM', 'Arrhythmogenic right ventricular dysplasia, familial, 9 (ARVD9) [MIM', 'Cardiomyopathy, dilated, 1BB (CMD1BB) [MIM'}"
EPHA7,"{'Brachydactyly D (BDD) [MIM', 'Colorectal cancer (CRC) [MIM', 'Prostate cancer (PC) [MIM', 'Note=Defects in NTRK3 are associated with susceptibility to congenital heart defects (CHD). A disease characterized by congenital developmental abnormalities involving structures of the heart. CHD are the most common major birth defects and the leading cause of death from congenital malformations. {ECO', 'Brain abnormalities, neurodegeneration, and dysosteosclerosis (BANDDOS) [MIM', 'Lymphatic malformation 7 (LMPHM7) [MIM', 'DISEASE: Note=Aberrant expression of CSF1 or CSF1R may play a role in inflammatory diseases, such as rheumatoid arthritis, glomerulonephritis, atherosclerosis, and allograft rejection.', 'Brachydactyly-syndactyly-oligodactyly syndrome (BDSDO) [MIM', 'Fraser syndrome 3 (FRASRS3) [MIM', 'Cataract 6, multiple types (CTRCT6) [MIM', 'Bleeding disorder, platelet-type, 22 (BDPLT22) [MIM', 'Brachydactyly-syndactyly syndrome (BDSD) [MIM', 'Syndactyly 5 (SDTY5) [MIM', 'Note=Overexpressed in several cancer types and promotes malignancy. {ECO', 'Synpolydactyly 1 (SPD1) [MIM', 'VACTERL association (VACTERL) [MIM', 'Brachydactyly E1 (BDE1) [MIM', 'Capillary malformation-arteriovenous malformation 2 (CMAVM2) [MIM', 'DISEASE: Note=Aberrant expression of CSF1 or CSF1R can promote cancer cell proliferation, invasion and formation of metastases. Overexpression of CSF1 or CSF1R is observed in a significant percentage of breast, ovarian, prostate, and endometrial cancers.', 'Leukoencephalopathy, hereditary diffuse, with spheroids 1 (HDLS1) [MIM'}"
ERBB2,"{'Leukodystrophy, hypomyelinating, 27 (HLD27) [MIM', 'Congenital smooth muscle hamartoma, with or without hemihypertrophy (CSMH) [MIM', 'Lung cancer (LNCR) [MIM', 'Ovarian cancer (OC) [MIM', 'Amyotrophic lateral sclerosis 19 (ALS19) [MIM', '11)(p32', 'Deafness, autosomal recessive, 108 (DFNB108) [MIM', 'Intellectual developmental disorder, autosomal dominant 56 (MRD56) [MIM', 'DISEASE: Note=A chromosomal aberration involving EPS15 is found in acute leukemias. Translocation t(1', 'Dystonia-deafness syndrome 1 (DDS1) [MIM', 'Oculoskeletodental syndrome (OCSKD) [MIM', 'DISEASE: Note=Chromosomal aberrations involving CDK12 may be a cause gastric cancer. Deletions within 17q12 region producing fusion transcripts with ERBB2, leading to CDK12-ERBB2 fusion leading to trunctated CDK12 protein not in-frame with ERBB2.', 'Alzheimer disease (AD) [MIM', 'q23) with KMT2A/MLL1. The result is a rogue activator protein.', 'Visceral neuropathy, familial, 2, autosomal recessive (VSCN2) [MIM', 'Glioma (GLM) [MIM', 'Note=Promotes breast cancer progression by enhancing the interaction between E3 ligase STUB1 and PFN1, thereby promoting proteasomal degradation of PFN1 and subsequent activation of downstream signaling pathways including PI3K/AKT, NF-kB and WNT (PubMed', 'Acrofacial dysostosis, Cincinnati type (AFDCIN) [MIM', 'Baraitser-Winter syndrome 1 (BRWS1) [MIM', 'Note=Chromosomal aberrations involving ERBB2 may be a cause gastric cancer. Deletions within 17q12 region producing fusion transcripts with CDK12, leading to CDK12-ERBB2 fusion leading to truncated CDK12 protein not in-frame with ERBB2. {ECO', 'Neonatal nephrocutaneous inflammatory syndrome (NNCIS) [MIM', 'Gastric cancer (GASC) [MIM', 'Thrombocytopenia 8, with dysmorphic features and developmental delay (THC8) [MIM', 'Becker nevus syndrome (BNS) [MIM', 'Hyperphosphatasia with impaired intellectual development syndrome 4 (HPMRS4) [MIM'}"
MCEE,"{'Immunodeficiency, common variable, 6 (CVID6) [MIM', 'the numbers of circulating B-cells is usually in the normal range, but can be low. {ECO:0000269|PubMed:20237408}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Methylmalonyl-CoA epimerase deficiency (MCEED) [MIM'}"
PARP1,"{'Leber congenital amaurosis 9 (LCA9) [MIM', 'Spinocerebellar ataxia, autosomal recessive, 26 (SCAR26) [MIM', 'Huriez syndrome (HRZ) [MIM', 'Note=Overexpressed at significantly higher levels in fatal high-risk diffuse large B-cell lymphomas (DLB-CL) compared to cured low-risk tumors. Overexpression in B-cell lymphoma transfectants may promote malignant B-cell migration. May therefore be involved in promoting B-cell migration and dissemination of high-risk DLB-CL tumors (PubMed', 'Note=Defects in YARS1 may be the cause of proximal-predominant motor neuropathy. Affected individuals may develop tremors, cramping of hands, asymmetric weakness in the upper and lower extremities, and present with elevated creatine kinase levels. {ECO', ""Van Esch-O'Driscoll syndrome (VEODS) [MIM"", 'Adermatoglyphia (ADERM) [MIM', 'Neurologic, endocrine, and pancreatic disease, multisystem, infantile-onset 2 (IMNEPD2) [MIM', 'Charcot-Marie-Tooth disease, dominant intermediate C (CMTDIC) [MIM', 'Spondyloepiphyseal dysplasia, sensorineural hearing loss, impaired intellectual development, and Leber congenital amaurosis (SHILCA) [MIM', 'Immunodeficiency 26 with or without neurologic abnormalities (IMD26) [MIM', 'Nestor-Guillermo progeria syndrome (NGPS) [MIM', 'Pigmentary disorder, reticulate, with systemic manifestations, X-linked (PDR) [MIM', 'Basan syndrome (BSNS) [MIM', 'Gabriele-de Vries syndrome (GADEVS) [MIM', 'Advanced sleep phase syndrome, familial, 4 (FASPS4) [MIM'}"
PGR,"{'Coffin-Siris syndrome 4 (CSS4) [MIM', 'Vertebral, cardiac, tracheoesophageal, renal, and limb defects (VCTRL) [MIM', 'Angelman syndrome (AS) [MIM', 'Rhabdoid tumor predisposition syndrome 2 (RTPS2) [MIM', 'p23) with PAX3 generates the NCOA1-PAX3 oncogene consisting of the N-terminus part of PAX3 and the C-terminus part of NCOA1. The fusion protein acts as a transcriptional activator. Rhabdomyosarcoma is the most common soft tissue carcinoma in childhood, representing 5-8% of all malignancies in children. {ECO:0000269|PubMed:15313887}.', 'DISEASE: Note=May predict the clinical outcome of tamoxifen therapy of breast cancer patients. Patients with tumors that highly express CUEDC2 do not respond to tamoxifen treatment as effectively as those with tumors with low expression.', 'Otosclerosis 12 (OTSC12) [MIM', 'Coffin-Siris syndrome 11 (CSS11) [MIM', 'Deafness, autosomal recessive, 107 (DFNB107) [MIM', 'Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies (NEDDFSA) [MIM', 'Spermatogenic failure 67 (SPGF67) [MIM', '2)(q35', 'Osteootohepatoenteric syndrome (OOHE) [MIM', 'DISEASE: Note=A chromosomal aberration involving NCOA1 is a cause of rhabdomyosarcoma. Translocation t(2', 'Note=BUD23 is located in the Williams-Beuren syndrome (WBS) critical region. WBS results from a hemizygous deletion of several genes on chromosome 7q11.23, thought to arise as a consequence of unequal crossing over between highly homologous low-copy repeat sequences flanking the deleted region. Haploinsufficiency of BUD23 may be the cause of certain cardiovascular and musculo-skeletal abnormalities observed in the disease. {ECO'}"
TOP2A,"{'Leukodystrophy, hypomyelinating, 27 (HLD27) [MIM', 'Fanconi anemia, complementation group S (FANCS) [MIM', 'Ovarian cancer (OC) [MIM', 'Note=Defects in TOP2B may be involved in global developmental delay with autism spectrum disorder (ASD). {ECO', 'Breast-ovarian cancer, familial, 1 (BROVCA1) [MIM', 'Pancreatic cancer 4 (PNCA4) [MIM', 'Microcephaly 30, primary, autosomal recessive (MCPH30) [MIM', 'Dyskeratosis congenita, autosomal recessive, 8 (DKCB8) [MIM', 'Advanced sleep phase syndrome, familial, 2 (FASPS2) [MIM', 'Macular degeneration, age-related, 5 (ARMD5) [MIM', 'Peripheral neuropathy, autosomal recessive, with or without impaired intellectual development (PNRIID) [MIM', 'the numbers of circulating B-cells is usually in the normal range, but can be low. CVID9 patients have B-cell deficiency and severe autoimmunity. {ECO:0000269|PubMed:23319571}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Breast cancer (BC) [MIM', 'Coffin-Siris syndrome 2 (CSS2) [MIM', 'Ruijs-Aalfs syndrome (RJALS) [MIM', 'Cerebro-oculo-facio-skeletal syndrome 1 (COFS1) [MIM', 'Cockayne syndrome B (CSB) [MIM', 'Spermatogenic failure, X-linked, 4 (SPGFX4) [MIM', 'De Sanctis-Cacchione syndrome (DSC) [MIM', 'Acrofacial dysostosis, Cincinnati type (AFDCIN) [MIM', 'Deafness, autosomal recessive, 79 (DFNB79) [MIM', 'UV-sensitive syndrome 1 (UVSS1) [MIM', 'Neurodegeneration, childhood-onset, with brain atrophy (CONDBA) [MIM', 'B-cell immunodeficiency, distal limb anomalies, and urogenital malformations (BILU) [MIM', 'the less common Cockayne syndrome type 2 is characterized by more severe symptoms that manifest prenatally. Cockayne syndrome shows some overlap with certain forms of xeroderma pigmentosum. Unlike xeroderma pigmentosum, patients with Cockayne syndrome do not manifest increased freckling and other pigmentation abnormalities in the skin and have no significant increase in skin cancer. {ECO:0000269|PubMed:10447254, ECO:0000269|PubMed:19894250, ECO:0000269|PubMed:25820262, ECO:0000269|PubMed:29203878, ECO:0000269|PubMed:9443879}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Autoimmune lymphoproliferative syndrome 3 (ALPS3) [MIM', 'Developmental and epileptic encephalopathy 54 (DEE54) [MIM'}"
