Gene,disease_list
CYP7B1,"{'Congenital bile acid synthesis defect 3 (CBAS3) [MIM', 'Intellectual developmental disorder with or without epilepsy or cerebellar ataxia (IDDECA) [MIM', 'Spastic paraplegia 5A, autosomal recessive (SPG5A) [MIM'}"
FST,"{'Bosley-Salih-Alorainy syndrome (BSAS) [MIM', 'Athabaskan brainstem dysgenesis syndrome (ABDS) [MIM', 'Vertebral hypersegmentation and orofacial anomalies (VHO) [MIM', 'DISEASE: Note=A chromosomal aberration involving FSTL3 is found in a case of B-cell chronic lymphocytic leukemia. Translocation t(11', 'Note=Altered GDF9 function may be involved in ovarian disorders and contribute to the likelihood of dizygotic twinning. {ECO', '19)(q13', 'Premature ovarian failure 3 (POF3) [MIM', 'Premature ovarian failure 14 (POF14) [MIM', 'Blepharophimosis, ptosis, and epicanthus inversus syndrome (BPES) [MIM', 'Spermatogenic failure 7 (SPGF7) [MIM', 'p13) with CCDN1. {ECO:0000269|PubMed:9671416}.', 'Amyotrophic lateral sclerosis 9 (ALS9) [MIM'}"
GLIS2,"{'8)(p21', 'Poirier-Bienvenu neurodevelopmental syndrome (POBINDS) [MIM', 'Colorectal cancer (CRC) [MIM', 'Ovarian cancer (OC) [MIM', 'Neurodevelopmental disorder with spastic diplegia and visual defects (NEDSDV) [MIM', 'Nephronophthisis 7 (NPHP7) [MIM', 'Ablepharon-macrostomia syndrome (AMS) [MIM', 'Vitreoretinopathy, exudative 7 (EVR7) [MIM', 'Langer mesomelic dysplasia (LMD) [MIM', 'Mesothelioma, malignant (MESOM) [MIM', 'Blepharocheilodontic syndrome 2 (BCDS2) [MIM', 'DISEASE: Note=A chromosomal aberration involving CTNNB1 is found in salivary gland pleiomorphic adenomas, the most common benign epithelial tumors of the salivary gland. Translocation t(3', 'q12) with PLAG1. {ECO:0000269|PubMed:10029085, ECO:0000269|PubMed:9020842}.', 'DISEASE: Note=Activating mutations in CTNNB1 have oncogenic activity resulting in tumor development. Somatic mutations are found in various tumor types, including colon cancers, ovarian and prostate carcinomas, hepatoblastoma (HB), hepatocellular carcinoma (HCC). HBs are malignant embryonal tumors mainly affecting young children in the first three years of life.', 'Short stature, idiopathic, X-linked (ISS) [MIM', 'Leri-Weill dyschondrosteosis (LWD) [MIM', 'Medulloblastoma (MDB) [MIM', 'Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome (HADDTS) [MIM', 'Pilomatrixoma (PTR) [MIM', 'Meier-Gorlin syndrome 6 (MGORS6) [MIM', 'Focal facial dermal dysplasia 3, Setleis type (FFDD3) [MIM', 'Barber-Say syndrome (BBRSAY) [MIM'}"
GNRHR,"{'9)(p12', 'Amelogenesis imperfecta 4 (AI4) [MIM', 'Osteoglophonic dysplasia (OGD) [MIM', 'p11p22) with FGFR1OP2. Translocation t(8', '8)(q27', 'Non-syndromic orofacial cleft 5 (OFC5) [MIM', 'Tooth agenesis, selective, 1 (STHAG1) [MIM', 'Chorea, hereditary benign (BHC) [MIM', 'p11) with CEP43. Insertion ins(12', 'Choreoathetosis and congenital hypothyroidism with or without pulmonary dysfunction (CAHTP) [MIM', 'q33) with CNTRL. Translocation t(2', 'Pfeiffer syndrome (PS) [MIM', 'Trigonocephaly 1 (TRIGNO1) [MIM', 'Ectodermal dysplasia 3, Witkop type (ECTD3) [MIM', 'Jackson-Weiss syndrome (JWS) [MIM', 'q12) with ZMYM2. Translocation t(6', 'Trichodentoosseous syndrome (TDO) [MIM', 'Hypogonadotropic hypogonadism 2 with or without anosmia (HH2) [MIM', 'Thyroid cancer, non-medullary, 1 (NMTC1) [MIM', 'craniosynostosis, early demise, sporadic (type 3). {ECO:0000269|PubMed:7874169}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Hartsfield syndrome (HRTFDS) [MIM', '8)(q12', 'cloverleaf skull, elbow ankylosis, early death, sporadic (type 2)', 'p11) with RANBP2. Chromosome 8p11 myeloproliferative syndrome is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP2-FGFR1, CEP43-FGFR1 or FGFR1-CEP43 may exhibit constitutive kinase activity and be responsible for the transforming activity. The fusion protein CNTRL-FGFR1 is found in the cytoplasm, exhibits constitutive kinase activity and may be responsible for the transforming activity. {ECO:0000269|PubMed:10688839, ECO:0000269|PubMed:15034873, ECO:0000269|PubMed:16946300, ECO:0000269|PubMed:17389761, ECO:0000269|PubMed:23041776, ECO:0000269|PubMed:9716603, ECO:0000269|PubMed:9949182}.', 'Hypogonadotropic hypogonadism 7 with or without anosmia (HH7) [MIM', 'DISEASE: Note=Chromosomal aberrations involving FGFR1 are a cause of chromosome 8p11 myeloproliferative syndrome. Translocation t(8', 'Note=MSX1 is deleted in some patients with Wolf-Hirschhorn syndrome (WHS). WHS results from sub-telomeric deletions in the short arm of chromosome 4. {ECO', 'Encephalocraniocutaneous lipomatosis (ECCL) [MIM', '8)(p11', 'Hypogonadotropic hypogonadism 1 with or without anosmia (HH1) [MIM', '13)(p11'}"
HHIPL2,set()
HTR2B,"{'Intellectual developmental disorder, autosomal dominant 42 (MRD42) [MIM', 'Parkinsonism-dystonia 1, infantile-onset (PKDYS1) [MIM', 'Hydrocephalus, congenital, 2, with or without brain or eye anomalies (HYC2) [MIM', 'Brunner syndrome (BRNRS) [MIM'}"
IL10,"{'Inflammatory bowel disease 25, autosomal recessive (IBD25) [MIM', 'fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:19890111}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. {ECO:0000269|PubMed:19890111, ECO:0000269|PubMed:23839161, ECO:0000269|PubMed:24785691}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers', 'Inflammatory bowel disease 28, autosomal recessive (IBD28) [MIM'}"
PROB1,set()
STAR,"{'Spastic ataxia 2, autosomal recessive (SPAX2) [MIM', 'Meconium ileus (MECIL) [MIM', 'Intellectual developmental disorder, autosomal dominant 34 (MRD34) [MIM', 'Note=Altered GDF9 function may be involved in ovarian disorders and contribute to the likelihood of dizygotic twinning. {ECO', 'Toe syndactyly, telecanthus, and anogenital and renal malformations (STAR) [MIM', 'Premature ovarian failure 3 (POF3) [MIM', 'Diarrhea 6 (DIAR6) [MIM', 'Premature ovarian failure 14 (POF14) [MIM', 'Adrenal hypoplasia, congenital (AHC) [MIM', '46,XY sex reversal 2 (SRXY2) [MIM', 'Blepharophimosis, ptosis, and epicanthus inversus syndrome (BPES) [MIM', 'therefore, these individuals presumably carry 2 active copies of genes, including the NR0B1 gene, in the duplicated region. Individuals with deletion of this region develop as males. Genes within the dosage-sensitive sex reversal region are, therefore, not essential for testis development, but, when present in a double dose, interfere with testis formation.', 'Adrenal hyperplasia 1 (AH1) [MIM'}"
UGT1A5,set()
