Gene,disease_list
AKR1C1,"{'Congenital bile acid synthesis defect 2 (CBAS2) [MIM', 'Legius syndrome (LGSS) [MIM', '46,XY sex reversal 8 (SRXY8) [MIM'}"
CASP7,"{'Niemann-Pick disease A (NPDA) [MIM', 'Spastic paraplegia 76, autosomal recessive (SPG76) [MIM', 'Liberfarb syndrome (LIBF) [MIM', 'Niemann-Pick disease B (NPDB) [MIM', 'Gabriele-de Vries syndrome (GADEVS) [MIM', 'Knobloch syndrome 2 (KNO2) [MIM', 'Cerebellar ataxia, cayman type (ATCAY) [MIM', 'Note=Autoantigen in rheumatoid arthritis. {ECO', 'Oocyte/zygote/embryo maturation arrest 7 (OZEMA7) [MIM', 'Hemolytic anemia, congenital, X-linked (HACXL) [MIM', 'Cataract 33, multiple types (CTRCT33) [MIM', 'Lymphoproliferative syndrome, X-linked, 2 (XLP2) [MIM'}"
CHRFAM7A,set()
CYP2C19,set()
CYP3A7,set()
GABRD,"{'Generalized epilepsy with febrile seizures plus 5 (GEFSP5) [MIM', 'Developmental and epileptic encephalopathy 43 (DEE43) [MIM', 'Developmental and epileptic encephalopathy 79 (DEE79) [MIM', 'Developmental and epileptic encephalopathy 45 (DEE45) [MIM', 'Developmental and epileptic encephalopathy 19 (DEE19) [MIM', 'Epilepsy, childhood absence 2 (ECA2) [MIM', 'Developmental and epileptic encephalopathy 78 (DEE78) [MIM', 'Generalized epilepsy with febrile seizures plus 3 (GEFSP3) [MIM', 'Epileptic encephalopathy, infantile or early childhood, 2 (IECEE2) [MIM', 'Epilepsy, idiopathic generalized 10 (EIG10) [MIM', 'Developmental and epileptic encephalopathy 74 (DEE74) [MIM', 'Epilepsy, childhood absence 5 (ECA5) [MIM', 'Epilepsy, childhood absence 4 (ECA4) [MIM', 'Note=Defects in NOTCH2NLA may be a cause of chromosome 1q21.1 deletion/duplication syndrome (PubMed', 'Juvenile myoclonic epilepsy 5 (EJM5) [MIM', 'Epilepsy, X-linked 2, with or without impaired intellectual development and dysmorphic features (EPILX2) [MIM', 'Febrile seizures, familial, 8 (FEB8) [MIM', 'Epilepsy, idiopathic generalized 13 (EIG13) [MIM'}"
MAPK1,"{'Cardiofaciocutaneous syndrome 3 (CFC3) [MIM', 'Retinitis pigmentosa 67 (RP67) [MIM', 'Gastrointestinal stromal tumor (GIST) [MIM', 'Neurodevelopmental disorder with midbrain and hindbrain malformations (NEDMHM) [MIM', 'Note=Involved in tumorigenic rearrangements with the MET. {ECO', 'Melorheostosis, isolated (MEL) [MIM', 'Lung cancer (LNCR) [MIM', 'Colorectal cancer (CRC) [MIM', 'q21) with RARA. The PML breakpoints (type A and type B) lie on either side of an alternatively spliced exon. {ECO:0000269|PubMed:1652369, ECO:0000269|PubMed:1720570}.', 'DISEASE: Note=A chromosomal aberration involving PML may be a cause of acute promyelocytic leukemia (APL). Translocation t(15', '17)(q21', ""Note=A chromosomal aberration involving TPR has been found in papillary thyroid carcinomas (PTCs). Intrachromosomal rearrangement that links the 5'-end of the TPR gene to the protein kinase domain of NTRK1 forms the fusion protein TRK-T1. TRK-T1 is a 55 kDa protein reacting with antibodies against the carboxy terminus of the NTRK1 protein. {ECO"", 'Note=Defects in BRAF are found in a wide range of cancers. {ECO', 'Mastocytosis, systemic (MASTSYS) [MIM', 'Testicular germ cell tumor (TGCT) [MIM', 'Hypogonadotropic hypogonadism 19 with or without anosmia (HH19) [MIM', 'Noonan syndrome 13 (NS13) [MIM', 'Cardiofaciocutaneous syndrome 1 (CFC1) [MIM', 'Noonan syndrome 7 (NS7) [MIM', 'Familial non-Hodgkin lymphoma (NHL) [MIM', 'Note=A chromosomal aberration involving BRAF is found in pilocytic astrocytomas. A tandem duplication of 2 Mb at 7q34 leads to the expression of a KIAA1549-BRAF fusion protein with a constitutive kinase activity and inducing cell transformation. {ECO', 'Piebald trait (PBT) [MIM', 'Leukemia, acute myelogenous (AML) [MIM', 'LEOPARD syndrome 3 (LPRD3) [MIM', 'Neonatal nephrocutaneous inflammatory syndrome (NNCIS) [MIM', 'Intellectual developmental disorder, autosomal recessive 79 (MRT79) [MIM', 'Mastocytosis, cutaneous (MASTC) [MIM'}"
NFE2L2,"{'16)(p11', 'Nemaline myopathy 5A, autosomal recessive, severe infantile (NEM5A) [MIM', 'Nemaline myopathy 5B, autosomal recessive, childhood-onset (NEM5B) [MIM', 'p13.3) with KMT2A/MLL1', 'DISEASE: Note=Chromosomal aberrations involving CREBBP may be a cause of acute myeloid leukemias. Translocation t(8', 'DISEASE: Note=A chromosomal aberration disrupting CHD6 has been found in a patient with mild to moderate intellectual disability and minor facial anomalies. Translocation t(18', 'Rubinstein-Taybi syndrome 1 (RSTS1) [MIM', 'p13) with KAT6B. KAT6A-CREBBP may induce leukemia by inhibiting RUNX1-mediated transcription.', '20)(q21.1', 'q11.2) with TCF4 producing a CHD6-TCF4 fusion transcript (PubMed:18627065). {ECO:0000269|PubMed:18627065}.', 'p13) with KAT6A', '16)(q23', 'Nemaline myopathy 5C, autosomal dominant (NEM5C) [MIM', 'Immunodeficiency, developmental delay, and hypohomocysteinemia (IMDDHH) [MIM', 'Deafness, autosomal recessive, 35 (DFNB35) [MIM', 'Menke-Hennekam syndrome 1 (MKHK1) [MIM', '16)(q22', 'translocation t(10', 'translocation t(11', 'Wolcott-Rallison syndrome (WRS) [MIM'}"
SIGMAR1,"{'Nizon-Isidor syndrome (NIZIDS) [MIM', 'Amyotrophic lateral sclerosis 16, juvenile (ALS16) [MIM', ""exclusion of hereditary polyposis syndromes. The term 'suspected HNPCC' or 'incomplete HNPCC' can be used to describe families who do not or only partially fulfill the Amsterdam criteria, but in whom a genetic basis for colon cancer is strongly suspected. {ECO:0000269|PubMed:9590282}. Note=The disease is caused by variants affecting the gene represented in this entry."", '2 or more generation affected', 'Developmental and epileptic encephalopathy 32 (DEE32) [MIM', 'Loeys-Dietz syndrome 2 (LDS2) [MIM', 'Osteogenesis imperfecta 10 (OI10) [MIM', 'Microcephaly, cataracts, impaired intellectual development, and dystonia with abnormal striatum (MCIDDS) [MIM', 'Hereditary non-polyposis colorectal cancer 6 (HNPCC6) [MIM', 'Neuronopathy, distal hereditary motor, autosomal recessive 2 (HMNR2) [MIM', 'Esophageal cancer (ESCR) [MIM', 'Charcot-Marie-Tooth disease, demyelinating, 1J (CMT1J) [MIM', 'Primary pigmented nodular adrenocortical disease 4 (PPNAD4) [MIM', '1 or more colorectal cancers presenting before 50 years of age', 'Growth hormone deficiency, isolated partial (GHDP) [MIM', 'Cardioacrofacial dysplasia 1 (CAFD1) [MIM'}"
SLC6A3,"{'Parkinsonism-dystonia 2, infantile-onset (PKDYS2) [MIM', 'Parkinson disease 1, autosomal dominant (PARK1) [MIM', 'Deafness, autosomal recessive, 123 (DFNB123) [MIM', 'Dementia, Lewy body (DLB) [MIM', 'Anterior segment dysgenesis 1 (ASGD1) [MIM', 'Intellectual developmental disorder with language impairment and early-onset DOPA-responsive dystonia-parkinsonism (IDLDP) [MIM', 'Cataract 11, multiple types (CTRCT11) [MIM', 'Zaki syndrome (ZKS) [MIM', 'Parkinsonism-dystonia 1, infantile-onset (PKDYS1) [MIM', 'Dystonia 1, torsion, autosomal dominant (DYT1) [MIM', 'Parkinson disease 4, autosomal dominant (PARK4) [MIM', 'DISEASE: Note=Genetic alterations of SNCA resulting in aberrant polymerization into fibrils, are associated with several neurodegenerative diseases (synucleinopathies). SNCA fibrillar aggregates represent the major non A-beta component of Alzheimer disease amyloid plaque, and a major component of Lewy body inclusions. They are also found within Lewy body (LB)-like intraneuronal inclusions, glial inclusions and axonal spheroids in neurodegeneration with brain iron accumulation type 1.', 'Arthrogryposis multiplex congenita 5 (AMC5) [MIM'}"
