Gene,disease_list
HRH1,"{'Intellectual developmental disorder, autosomal dominant 42 (MRD42) [MIM'}"
HTR1B,"{'Note=Defects in ACTN2 may be the cause of an autosomal recessive myopathy characterized by asymmetric, progressive muscle weakness predominantly affecting the lower extremities. Patients do not manifest cardiomyopathy or respiratory insufficiency. Muscle biopsy reveals disruption of the inter-myofibrillar architecture, type I fiber predominance and atrophy. {ECO', 'Congenital myopathy 8 (CMYO8) [MIM', 'Cardiomyopathy, dilated, 1AA, with or without left ventricular non-compaction (CMD1AA) [MIM', 'Myopathy, distal, 6, adult onset, autosomal dominant (MPD6) [MIM', 'Cardiomyopathy, familial hypertrophic, 23, with or without left ventricular non-compaction (CMH23) [MIM'}"
LARS1,"{'Interstitial lung and liver disease (ILLD) [MIM', 'Trichothiodystrophy 9, non-photosensitive (TTD9) [MIM', 'Leukodystrophy, hypomyelinating, 3 (HLD3) [MIM', 'Leukodystrophy, hypomyelinating, 17 (HLD17) [MIM', 'Infantile liver failure syndrome 1 (ILFS1) [MIM', 'Leukodystrophy, hypomyelinating, 15 (HLD15) [MIM', 'some may have mild intellectual disability. Brain MRI shows hypomyelination and white matter lesions in the cerebrum, brainstem, cerebellum, and spinal cord. {ECO:0000269|PubMed:23643384}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Leukodystrophy, hypomyelinating, 9 (HLD9) [MIM', 'Growth retardation, impaired intellectual development, hypotonia, and hepatopathy (GRIDHH) [MIM', 'Hypomagnesemia 7, renal, with or without dilated cardiomyopathy (HOMG7) [MIM', 'Charcot-Marie-Tooth disease, axonal, 2U (CMT2U) [MIM', 'Microcephaly, progressive, with seizures and cerebral and cerebellar atrophy (MSCCA) [MIM', 'Hypomyelination with brainstem and spinal cord involvement and leg spasticity (HBSL) [MIM', 'Spastic paraplegia 70, autosomal recessive (SPG70) [MIM'}"
LTF,"{'Al-Raqad syndrome (ARS) [MIM', 'Aceruloplasminemia (ACEP) [MIM', 'Myeloperoxidase deficiency (MPOD) [MIM'}"
MAPKAPK2,"{'Intellectual developmental disorder, X-linked 19 (XLID19) [MIM', 'Coffin-Lowry syndrome (CLS) [MIM', 'DISEASE: Note=LIMK1 is located in the Williams-Beuren syndrome (WBS) critical region. WBS results from a hemizygous deletion of several genes on chromosome 7q11.23, thought to arise as a consequence of unequal crossing over between highly homologous low-copy repeat sequences flanking the deleted region.', 'DISEASE: Note=MAPK is overexpressed in highly metastatic breast cancer cell lines and its expression is preferentially associated with basal-like and metastatic phenotypes of breast tumor samples.', 'Neuronopathy, distal hereditary motor, autosomal dominant 3 (HMND3) [MIM', 'Macular dystrophy, patterned, 3 (MDPT3) [MIM', 'Pulmonary fibrosis, and/or bone marrow failure syndrome, telomere-related, 4 (PFBMFT4) [MIM', 'Charcot-Marie-Tooth disease, axonal, 2F (CMT2F) [MIM', 'Dyskeratosis congenita, autosomal recessive, 6 (DKCB6) [MIM'}"
PTGS2,"{'Gastric cancer (GASC) [MIM', 'Visceral neuropathy, familial, 2, autosomal recessive (VSCN2) [MIM', 'Glioma (GLM) [MIM', 'Premature ovarian failure 3 (POF3) [MIM', 'Welander distal myopathy (WDM) [MIM', 'Lung cancer (LNCR) [MIM', 'Blepharophimosis, ptosis, and epicanthus inversus syndrome (BPES) [MIM', 'Ovarian cancer (OC) [MIM', 'Note=Chromosomal aberrations involving ERBB2 may be a cause gastric cancer. Deletions within 17q12 region producing fusion transcripts with CDK12, leading to CDK12-ERBB2 fusion leading to truncated CDK12 protein not in-frame with ERBB2. {ECO', 'Amyotrophic lateral sclerosis 26, with or without frontotemporal dementia (ALS26) [MIM', 'Immunodeficiency 117 (IMD117) [MIM'}"
SEC61A1,"{'Neonatal nephrocutaneous inflammatory syndrome (NNCIS) [MIM', 'Tubulointerstitial kidney disease, autosomal dominant, 5 (ADTKD5) [MIM', 'Note=Loss-of-function SEC61B variations may cause autosomal dominant polycystic liver disease (PCLD) in patients that lack variations in known causative genes, such as PRKCSH and SEC63. {ECO', 'Polycystic liver disease 2 with or without kidney cysts (PCLD2) [MIM', 'Lung cancer (LNCR) [MIM', 'Immunodeficiency, common variable, 15 (CVID15) [MIM', 'Note=Autoantigen in rheumatoid arthritis. {ECO', 'Note=Defects in NTRK3 are associated with susceptibility to congenital heart defects (CHD). A disease characterized by congenital developmental abnormalities involving structures of the heart. CHD are the most common major birth defects and the leading cause of death from congenital malformations. {ECO', 'Neutropenia, severe congenital, 11, autosomal dominant (SCN11) [MIM'}"
SIGMAR1,"{'Nizon-Isidor syndrome (NIZIDS) [MIM', 'Amyotrophic lateral sclerosis 16, juvenile (ALS16) [MIM', ""exclusion of hereditary polyposis syndromes. The term 'suspected HNPCC' or 'incomplete HNPCC' can be used to describe families who do not or only partially fulfill the Amsterdam criteria, but in whom a genetic basis for colon cancer is strongly suspected. {ECO:0000269|PubMed:9590282}. Note=The disease is caused by variants affecting the gene represented in this entry."", '2 or more generation affected', 'Developmental and epileptic encephalopathy 32 (DEE32) [MIM', 'Loeys-Dietz syndrome 2 (LDS2) [MIM', 'Osteogenesis imperfecta 10 (OI10) [MIM', 'Microcephaly, cataracts, impaired intellectual development, and dystonia with abnormal striatum (MCIDDS) [MIM', 'Hereditary non-polyposis colorectal cancer 6 (HNPCC6) [MIM', 'Neuronopathy, distal hereditary motor, autosomal recessive 2 (HMNR2) [MIM', 'Esophageal cancer (ESCR) [MIM', 'Charcot-Marie-Tooth disease, demyelinating, 1J (CMT1J) [MIM', 'Primary pigmented nodular adrenocortical disease 4 (PPNAD4) [MIM', '1 or more colorectal cancers presenting before 50 years of age', 'Growth hormone deficiency, isolated partial (GHDP) [MIM', 'Cardioacrofacial dysplasia 1 (CAFD1) [MIM'}"
TNF,"{'Immunodeficiency with hyper-IgM, type 1 (HIGM1) [MIM', 'symmetrical polyarthritis characterized by a rheumatoid like pattern that can involve hands, wrists, ankles, and feet', 'Psoriatic arthritis (PSORAS) [MIM', 'arthritis mutilans, which is a rare but deforming and destructive condition', 'Inflammatory skin and bowel disease, neonatal, 1 (NISBD1) [MIM', 'arthritis of the sacroiliac joints and spine (psoriatic spondylitis). {ECO:0000269|PubMed:12746914}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.', 'Osteopetrosis, autosomal recessive 2 (OPTB2) [MIM', 'Systemic lupus erythematosus (SLE) [MIM', 'Lymphoproliferative syndrome 3 (LPFS3) [MIM', 'asymmetrical arthritis which involves the joints of the extremities', 'Autoimmune lymphoproliferative syndrome 1B (ALPS1B) [MIM'}"
UGT1A10,"{'Gilbert syndrome (GILBS) [MIM', 'Transient familial neonatal hyperbilirubinemia (HBLRTFN) [MIM', 'Crigler-Najjar syndrome 2 (CN2) [MIM', 'Crigler-Najjar syndrome 1 (CN1) [MIM'}"
