Gene,disease_list
ADRB2,"{'Erythrocytosis, familial, 2 (ECYT2) [MIM', 'Note=SRC kinase activity has been shown to be increased in several tumor tissues and tumor cell lines such as colon carcinoma cells. {ECO', 'von Hippel-Lindau disease (VHLD) [MIM', 'Pheochromocytoma (PCC) [MIM', 'Intellectual developmental disorder, X-linked, syndromic, Raymond type (MRXSR) [MIM', 'Thrombocytopenia 6 (THC6) [MIM', 'Renal cell carcinoma (RCC) [MIM', 'Nephrolithiasis/osteoporosis, hypophosphatemic, 2 (NPHLOP2) [MIM'}"
EDN1,"{'Hirschsprung disease 2 (HSCR2) [MIM', 'ABCD syndrome (ABCDS) [MIM', 'Waardenburg syndrome 4A (WS4A) [MIM', 'Auriculocondylar syndrome 3 (ARCND3) [MIM', 'Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections (HIES1) [MIM', 'Question mark ears, isolated (QME) [MIM', 'Autoimmune disease, multisystem, infantile-onset, 1 (ADMIO1) [MIM', 'Neurodevelopmental disorder with dysmorphic facies, sleep disturbance, and brain abnormalities (NEDFASB) [MIM', 'Mandibulofacial dysostosis with alopecia (MFDA) [MIM', 'Note=Heterozygous mutations in EDNRB may be responsible for Waardenburg syndrome 2, an autosomal dominant disorder characterized by sensorineural deafness and pigmentary disturbances. {ECO'}"
HTR3A,set()
OPRD1,"{'Acrokeratosis verruciformis (AKV) [MIM', 'Joubert syndrome 14 (JBTS14) [MIM', 'Darier disease (DD) [MIM'}"
OPRM1,"{'Ischemic stroke (ISCHSTR) [MIM', 'Note=Genetic variations in ALOX5AP may be associated with susceptibility to myocardial infarction. Involvement in myocardial infarction is however unclear', 'Congenital myopathy 21 with early respiratory failure (CMYO21) [MIM'}"
RB1,"{'DISEASE: Note=A chromosomal aberration involving ERC1/RAB6IP2 is found in papillary thyroid carcinomas (PTCs). Translocation t(10', 'Deafness, autosomal dominant, 86 (DFNA86) [MIM', 'p13) involving RET. In vitro, isoform 1, isoform 3 and isoform 5 participating in a ERC1-RET fusion protein activate tyrosine-protein kinase activity. {ECO:0000269|PubMed:10337992}.', 'Childhood cancer retinoblastoma (RB) [MIM', 'Bladder cancer (BLC) [MIM', 'Osteogenic sarcoma (OSRC) [MIM', 'Stromme syndrome (STROMS) [MIM', 'DISEASE: Note=GTF2IRD1 is located in the Williams-Beuren syndrome (WBS) critical region. WBS results from a hemizygous deletion of several genes on chromosome 7q11.23, thought to arise as a consequence of unequal crossing over between highly homologous low-copy repeat sequences flanking the deleted region. Haploinsufficiency of GTF2IRD1 may be the cause of certain cardiovascular and musculo-skeletal abnormalities observed in the disease.', '12)(q11', 'DISEASE: Note=Associated with various cancers. DNA copy number loss is found in multiple kinds of malignancies originating from the brain, breast, stomach, kidney, hematopoietic tissue and lung.', 'Deafness, autosomal recessive, 109 (DFNB109) [MIM'}"
SLC6A16,set()
SLC6A20,"{'Note=Defects in NOTCH2NLC may be a cause of chromosome 1q21.1 deletion/duplication syndrome (PubMed', 'Hartnup disorder (HND) [MIM', 'Hyperglycinuria (HGLY) [MIM', 'Tremor, hereditary essential 6 (ETM6) [MIM', 'Note=Defects in NOTCH2NLA may be a cause of chromosome 1q21.1 deletion/duplication syndrome (PubMed', 'Neuronal intranuclear inclusion disease (NIID) [MIM', 'Ectopia lentis 2, isolated, autosomal recessive (ECTOL2) [MIM', 'Note=Genetic variations in SLC6A18 might contribute to the disease phentotype in some individuals with iminoglycinuria or hyperglycinuria, that carry variants in SLC36A2, SLC6A19 or SLC6A20 (PubMed', 'Oculopharyngodistal myopathy 3 (OPDM3) [MIM', 'Iminoglycinuria (IG) [MIM', 'Ectopia lentis et pupillae (ECTOLP) [MIM'}"
SLC6A3,"{'Parkinsonism-dystonia 2, infantile-onset (PKDYS2) [MIM', 'Parkinson disease 1, autosomal dominant (PARK1) [MIM', 'Deafness, autosomal recessive, 123 (DFNB123) [MIM', 'Dementia, Lewy body (DLB) [MIM', 'Anterior segment dysgenesis 1 (ASGD1) [MIM', 'Intellectual developmental disorder with language impairment and early-onset DOPA-responsive dystonia-parkinsonism (IDLDP) [MIM', 'Cataract 11, multiple types (CTRCT11) [MIM', 'Zaki syndrome (ZKS) [MIM', 'Parkinsonism-dystonia 1, infantile-onset (PKDYS1) [MIM', 'Dystonia 1, torsion, autosomal dominant (DYT1) [MIM', 'Parkinson disease 4, autosomal dominant (PARK4) [MIM', 'DISEASE: Note=Genetic alterations of SNCA resulting in aberrant polymerization into fibrils, are associated with several neurodegenerative diseases (synucleinopathies). SNCA fibrillar aggregates represent the major non A-beta component of Alzheimer disease amyloid plaque, and a major component of Lewy body inclusions. They are also found within Lewy body (LB)-like intraneuronal inclusions, glial inclusions and axonal spheroids in neurodegeneration with brain iron accumulation type 1.', 'Arthrogryposis multiplex congenita 5 (AMC5) [MIM'}"
SRY,"{'Nephrotic syndrome 4 (NPHS4) [MIM', 'Frasier syndrome (FS) [MIM', 'Panhypopituitarism X-linked (PHPX) [MIM', 'Rubinstein-Taybi syndrome 2 (RSTS2) [MIM', 'Long QT syndrome 16 (LQT16) [MIM', '22)(p11', 'DISEASE: Note=Defects in EP300 may play a role in epithelial cancer.', '46,XY sex reversal 1 (SRXY1) [MIM', '46,XX sex reversal 1 (SRXX1) [MIM', ""Note=A 45,X chromosomal aberration involving SRY is found in Turner syndrome, a disease characterized by gonadal dysgenesis with short stature, 'streak gonads', variable abnormalities such as webbing of the neck, cubitus valgus, cardiac defects, low posterior hair line. The phenotype is female. {ECO"", 'Hypoparathyroidism, X-linked (HYPX) [MIM', 'Long QT syndrome 15 (LQT15) [MIM', 'Intellectual developmental disorder, X-linked, with isolated growth hormone deficiency (MRXGH) [MIM', 'p25.3)] has been found in a family with X-linked hypoparathyroidism. This chromosomal abnormality is located 67 kb downstream of SOX3 and likely results in altered SOX3 expression with pathological consequences. {ECO:0000269|PubMed:16167084}.', '22)(p13', 'Menke-Hennekam syndrome 2 (MKHK2) [MIM', 'Note=Autoantibodies against SOX13 are present in sera from patients with type 1 diabetes. {ECO', '2)(q27.1', 'Ventricular tachycardia, catecholaminergic polymorphic, 6 (CPVT6) [MIM', 'Intellectual developmental disorder with speech delay and dysmorphic facies (IDDSDF) [MIM', 'Meacham syndrome (MEACHS) [MIM', 'DISEASE: Note=Chromosomal aberrations involving EP300 may be a cause of acute myeloid leukemias. Translocation t(8', 'Mesothelioma, malignant (MESOM) [MIM', 'Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome (HLTRS) [MIM', 'Denys-Drash syndrome (DDS) [MIM', 'DISEASE: Note=A chromosomal aberration involving WT1 may be a cause of desmoplastic small round cell tumor (DSRCT). Translocation t(11', 'a large (approximately 6 Mb) duplication that encompasses SOX3 and at least 18 additional distally located genes. Its proximal breakpoint falls within the SOX3 regulatory region. This large rearrangement has been found in a patient with XX male reversal and a complex phenotype that also includes a scrotal hypoplasia, microcephaly, developmental delay, and growth retardation.', 'q12) with EWSR1.', 'q13) with KAT6A.', 'a 343 kb deletion immediately upstream of SOX3 that is probably responsible of altered regulation (and not increased dosage) of SOX3', 'Lamb-Shaffer syndrome (LAMSHF) [MIM', 'Wilms tumor 1 (WT1) [MIM', '46,XX sex reversal 3 (SRXX3) [MIM', 'Ventricular tachycardia, catecholaminergic polymorphic, 4 (CPVT4) [MIM', 'Long QT syndrome 14 (LQT14) [MIM', 'Aicardi-Goutieres syndrome 3 (AGS3) [MIM', 'Hypotrichosis-lymphedema-telangiectasia syndrome (HLTS) [MIM'}"
