Gene,disease_list
C1orf56,set()
FSHR,"{'22)(q24.1', 'DISEASE: Note=A chromosomal aberration involving APPL2/DIP13B is found in patients with chromosome 22q13.3 deletion syndrome. Translocation t(12', 'Ovarian dysgenesis 1 (ODG1) [MIM', 'Hypogonadotropic hypogonadism 24 with or without anosmia (HH24) [MIM', 'Ovarian hyperstimulation syndrome (OHSS) [MIM', 'q13.3) with SHANK3/PSAP2. {ECO:0000269|PubMed:11431708}.', 'Maturity-onset diabetes of the young 14 (MODY14) [MIM'}"
GNRH1,"{'9)(p12', 'Osteoglophonic dysplasia (OGD) [MIM', 'Hypogonadotropic hypogonadism 3 with or without anosmia (HH3) [MIM', 'p11p22) with FGFR1OP2. Translocation t(8', '8)(q27', 'p11) with CEP43. Insertion ins(12', 'q33) with CNTRL. Translocation t(2', 'Pfeiffer syndrome (PS) [MIM', 'Trigonocephaly 1 (TRIGNO1) [MIM', 'Jackson-Weiss syndrome (JWS) [MIM', 'q12) with ZMYM2. Translocation t(6', 'Hypogonadotropic hypogonadism 2 with or without anosmia (HH2) [MIM', 'craniosynostosis, early demise, sporadic (type 3). {ECO:0000269|PubMed:7874169}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Hartsfield syndrome (HRTFDS) [MIM', '8)(q12', 'cloverleaf skull, elbow ankylosis, early death, sporadic (type 2)', 'p11) with RANBP2. Chromosome 8p11 myeloproliferative syndrome is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP2-FGFR1, CEP43-FGFR1 or FGFR1-CEP43 may exhibit constitutive kinase activity and be responsible for the transforming activity. The fusion protein CNTRL-FGFR1 is found in the cytoplasm, exhibits constitutive kinase activity and may be responsible for the transforming activity. {ECO:0000269|PubMed:10688839, ECO:0000269|PubMed:15034873, ECO:0000269|PubMed:16946300, ECO:0000269|PubMed:17389761, ECO:0000269|PubMed:23041776, ECO:0000269|PubMed:9716603, ECO:0000269|PubMed:9949182}.', 'Hypogonadotropic hypogonadism 12 with or without anosmia (HH12) [MIM', 'Precocious puberty, central 2 (CPPB2) [MIM', 'DISEASE: Note=Chromosomal aberrations involving FGFR1 are a cause of chromosome 8p11 myeloproliferative syndrome. Translocation t(8', 'Encephalocraniocutaneous lipomatosis (ECCL) [MIM', '8)(p11', '13)(p11', 'Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures (NEDAMSS) [MIM'}"
GNRHR,"{'9)(p12', 'Amelogenesis imperfecta 4 (AI4) [MIM', 'Osteoglophonic dysplasia (OGD) [MIM', 'p11p22) with FGFR1OP2. Translocation t(8', '8)(q27', 'Non-syndromic orofacial cleft 5 (OFC5) [MIM', 'Tooth agenesis, selective, 1 (STHAG1) [MIM', 'Chorea, hereditary benign (BHC) [MIM', 'p11) with CEP43. Insertion ins(12', 'Choreoathetosis and congenital hypothyroidism with or without pulmonary dysfunction (CAHTP) [MIM', 'q33) with CNTRL. Translocation t(2', 'Pfeiffer syndrome (PS) [MIM', 'Trigonocephaly 1 (TRIGNO1) [MIM', 'Ectodermal dysplasia 3, Witkop type (ECTD3) [MIM', 'Jackson-Weiss syndrome (JWS) [MIM', 'q12) with ZMYM2. Translocation t(6', 'Trichodentoosseous syndrome (TDO) [MIM', 'Hypogonadotropic hypogonadism 2 with or without anosmia (HH2) [MIM', 'Thyroid cancer, non-medullary, 1 (NMTC1) [MIM', 'craniosynostosis, early demise, sporadic (type 3). {ECO:0000269|PubMed:7874169}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'Hartsfield syndrome (HRTFDS) [MIM', '8)(q12', 'cloverleaf skull, elbow ankylosis, early death, sporadic (type 2)', 'p11) with RANBP2. Chromosome 8p11 myeloproliferative syndrome is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP2-FGFR1, CEP43-FGFR1 or FGFR1-CEP43 may exhibit constitutive kinase activity and be responsible for the transforming activity. The fusion protein CNTRL-FGFR1 is found in the cytoplasm, exhibits constitutive kinase activity and may be responsible for the transforming activity. {ECO:0000269|PubMed:10688839, ECO:0000269|PubMed:15034873, ECO:0000269|PubMed:16946300, ECO:0000269|PubMed:17389761, ECO:0000269|PubMed:23041776, ECO:0000269|PubMed:9716603, ECO:0000269|PubMed:9949182}.', 'Hypogonadotropic hypogonadism 7 with or without anosmia (HH7) [MIM', 'DISEASE: Note=Chromosomal aberrations involving FGFR1 are a cause of chromosome 8p11 myeloproliferative syndrome. Translocation t(8', 'Note=MSX1 is deleted in some patients with Wolf-Hirschhorn syndrome (WHS). WHS results from sub-telomeric deletions in the short arm of chromosome 4. {ECO', 'Encephalocraniocutaneous lipomatosis (ECCL) [MIM', '8)(p11', 'Hypogonadotropic hypogonadism 1 with or without anosmia (HH1) [MIM', '13)(p11'}"
NR1I2,"{'DISEASE: Note=A chromosomal aberration involving NCOA1 is a cause of rhabdomyosarcoma. Translocation t(2', 'Delayed sleep phase syndrome (DSPS) [MIM', '2)(q35', 'p23) with PAX3 generates the NCOA1-PAX3 oncogene consisting of the N-terminus part of PAX3 and the C-terminus part of NCOA1. The fusion protein acts as a transcriptional activator. Rhabdomyosarcoma is the most common soft tissue carcinoma in childhood, representing 5-8% of all malignancies in children. {ECO:0000269|PubMed:15313887}.'}"
PGR,"{'Coffin-Siris syndrome 4 (CSS4) [MIM', 'Vertebral, cardiac, tracheoesophageal, renal, and limb defects (VCTRL) [MIM', 'Angelman syndrome (AS) [MIM', 'Rhabdoid tumor predisposition syndrome 2 (RTPS2) [MIM', 'p23) with PAX3 generates the NCOA1-PAX3 oncogene consisting of the N-terminus part of PAX3 and the C-terminus part of NCOA1. The fusion protein acts as a transcriptional activator. Rhabdomyosarcoma is the most common soft tissue carcinoma in childhood, representing 5-8% of all malignancies in children. {ECO:0000269|PubMed:15313887}.', 'DISEASE: Note=May predict the clinical outcome of tamoxifen therapy of breast cancer patients. Patients with tumors that highly express CUEDC2 do not respond to tamoxifen treatment as effectively as those with tumors with low expression.', 'Otosclerosis 12 (OTSC12) [MIM', 'Coffin-Siris syndrome 11 (CSS11) [MIM', 'Deafness, autosomal recessive, 107 (DFNB107) [MIM', 'Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies (NEDDFSA) [MIM', 'Spermatogenic failure 67 (SPGF67) [MIM', '2)(q35', 'Osteootohepatoenteric syndrome (OOHE) [MIM', 'DISEASE: Note=A chromosomal aberration involving NCOA1 is a cause of rhabdomyosarcoma. Translocation t(2', 'Note=BUD23 is located in the Williams-Beuren syndrome (WBS) critical region. WBS results from a hemizygous deletion of several genes on chromosome 7q11.23, thought to arise as a consequence of unequal crossing over between highly homologous low-copy repeat sequences flanking the deleted region. Haploinsufficiency of BUD23 may be the cause of certain cardiovascular and musculo-skeletal abnormalities observed in the disease. {ECO'}"
PPCDC,"{'Auroneurodental syndrome (ANDS) [MIM', 'Combined oxidative phosphorylation deficiency 29 (COXPD29) [MIM', 'Note=Defects in FOXR1 may be the cause of a severe neurological disorder characterized by postnatal microcephaly, progressive brain atrophy and global developmental delay. {ECO'}"
PPCS,"{'Cardiomyopathy, dilated, 2C (CMD2C) [MIM'}"
PTGER1,{'Nephrotic syndrome 3 (NPHS3) [MIM'}
SHBG,"{'and the rare type II which is characterized by normal concentrations of both total and free PROS1 antigen, but low cofactor activity. {ECO:0000269|PubMed:10447256, ECO:0000269|PubMed:10613647, ECO:0000269|PubMed:10706858, ECO:0000269|PubMed:10790208, ECO:0000269|PubMed:11372770, ECO:0000269|PubMed:11776305, ECO:0000269|PubMed:11858485, ECO:0000269|PubMed:11927129, ECO:0000269|PubMed:12351389, ECO:0000269|PubMed:12632031, ECO:0000269|PubMed:15238143, ECO:0000269|PubMed:15712227, ECO:0000269|PubMed:18322254, ECO:0000269|PubMed:7482398, ECO:0000269|PubMed:7545463, ECO:0000269|PubMed:7579449, ECO:0000269|PubMed:7803790, ECO:0000269|PubMed:8298131, ECO:0000269|PubMed:8639833, ECO:0000269|PubMed:8701404, ECO:0000269|PubMed:8765219, ECO:0000269|PubMed:8781426, ECO:0000269|PubMed:8943854, ECO:0000269|PubMed:8977443, ECO:0000269|PubMed:9031443, ECO:0000269|PubMed:9241758, ECO:0000269|Ref.15}. Note=The disease is caused by variants affecting the gene represented in this entry.', 'type III, in which only free PROS1 antigen and PROS1 activity levels are reduced', 'Donnai-Barrow syndrome (DBS) [MIM', 'Thrombophilia due to protein S deficiency, autosomal dominant (THPH5) [MIM', 'Thrombophilia due to protein S deficiency, autosomal recessive (THPH6) [MIM'}"
