Drug,HTR2C
Acetylcholine,0.933
Agomelatine,0.981
Amisulpride,0.412
Amitriptyline,0.975
Amoxapine,0.978
Aripiprazole,0.991
Asenapine,0.795
Astemizole,0.677
Benperidol,0.539
Benztropine,0.623
Bromocriptine,0.951
Buspirone,0.935
Cabergoline,0.853
Candesartan,0.503
Cariprazine,0.481
Carvedilol,0.609
Chlorpromazine,0.974
Chlorprothixene,0.842
Cisapride,0.98
Citalopram,0.963
Clemastine,0.58
Clomipramine,0.964
Cyproheptadine,0.983
Desipramine,0.937
Desloratadine,0.608
Dexfenfluramine,0.884
Dihydroergotamine,0.64
Domperidone,0.511
Doxazosin,0.609
Droperidol,0.644
Ebastine,0.48
Epinephrine,0.937
Ergotamine,0.941
Fenfluramine,0.884
Fentanyl,0.688
Fluoxetine,0.982
Flupenthixol,0.433
Fluphenazine,0.93
Fluspirilene,0.552
Formoterol,0.44
Haloperidol,0.985
Histamine,0.947
Imipramine,0.994
Indacaterol,0.44
Iprindole,0.406
Ketanserin,0.993
Ketotifen,0.665
Levomepromazine,0.83
Lofepramine,0.486
Losartan,0.481
Loxapine,0.971
Lurasidone,0.513
Lysuride,0.966
Maprotiline,0.942
Mepyramine,0.557
Metergoline,0.996
Methysergide,0.992
Metoprolol,0.831
Mianserin,0.996
Mirtazapine,0.988
Morphine,0.44
Naltrexone,0.602
Nefazodone,0.951
Nortriptyline,0.972
Ornithine,0.9
Oxymetazoline,0.929
Paliperidone,0.968
Paracetamol,0.638
Paroxetine,0.559
Pentazocine,0.49
Pergolide,0.954
Pericyazine,0.506
Perphenazine,0.962
Phenoxybenzamine,0.469
Phentolamine,0.581
Pimozide,0.923
Pindolol,0.521
Pizotifen,0.985
Pramipexole,0.916
Prazosin,0.487
Prochlorperazine,0.942
Promazine,0.935
Promethazine,0.812
Propranolol,0.699
Protriptyline,0.406
Quetiapine,0.937
Reboxetine,0.481
Risperidone,0.995
Rizatriptan,0.409
Ropinirole,0.831
Sertindole,0.998
Sertraline,0.478
Sulpiride,0.533
Sumatriptan,0.805
Thiethylperazine,0.8
Thioridazine,0.986
Trazodone,0.965
Trifluoperazine,0.942
Trimipramine,0.812
Tropisetron,0.441
Valsartan,0.417
Venlafaxine,0.45
Verapamil,0.602
Vortioxetine,0.435
Yohimbine,0.927
Zotepine,0.972
