Drug,Psych,SLC6A3
Amantadine,1.0,0.636
Aripiprazole,1.0,0.476
Benzhexol,1.0,0.407
Benztropine,1.0,0.994
Bupropion,1.0,0.994
Citalopram,1.0,0.905
Dexamphetamine,1.0,0.997
Duloxetine,1.0,0.687
Escitalopram,1.0,0.968
Ethanol,1.0,0.913
Fluoxetine,1.0,0.91
Gabapentin,1.0,0.516
Levodopa,1.0,0.816
Methylphenidate,1.0,0.999
Mirtazapine,1.0,0.926
Modafinil,1.0,0.971
Nicotine,1.0,0.983
Paroxetine,1.0,0.983
Phenmetrazine,1.0,0.8
Phentermine,1.0,0.892
Pramipexole,1.0,0.511
Pregabalin,1.0,0.482
Pseudoephedrine,1.0,0.828
Reserpine,1.0,0.948
Selegiline,1.0,0.536
Sertraline,1.0,0.997
Sibutramine,1.0,0.923
Tetrabenazine,1.0,0.768
Venlafaxine,1.0,0.98
Vortioxetine,1.0,0.65
