gene,SOC_ABBREV,Count
AANAT,Nerv,1
AANAT,Psych,3
AANAT,Skin,1
DRD4,Blood,1
DRD4,Card,1
DRD4,Endo,1
DRD4,Inj&P,2
DRD4,Inv,1
DRD4,Neopl,2
DRD4,Nerv,2
DRD4,Psych,20
DRD4,SocCi,5
GABRD,Blood,1
GABRD,Endo,1
GABRD,Inv,1
GABRD,Neopl,1
GABRD,Nerv,7
GABRD,Psych,1
GABRD,SocCi,1
GABRR1,Psych,2
GABRR1,SocCi,1
HTR1A,Blood,1
HTR1A,Card,1
HTR1A,Cong,1
HTR1A,Eye,1
HTR1A,Genrl,1
HTR1A,Infec,1
HTR1A,Neopl,1
HTR1A,Nerv,1
HTR1A,Psych,19
HTR1A,Resp,1
HTR1A,SocCi,1
HTR2C,Blood,1
HTR2C,Metab,3
HTR2C,Neopl,1
HTR2C,Nerv,2
HTR2C,Psych,10
HTR2C,SocCi,2
NLGN2,Psych,2
SIK1,Card,1
SIK1,Genrl,1
SIK1,Musc,5
SIK1,Neopl,1
SIK1,Nerv,3
SIK1,Psych,1
SOD3,Card,6
SOD3,Eye,1
SOD3,Genrl,1
SOD3,Hepat,2
SOD3,Infec,1
SOD3,Inv,1
SOD3,Metab,2
SOD3,Neopl,4
SOD3,Nerv,1
SOD3,Psych,1
SOD3,Repro,1
SOD3,Resp,2
SOD3,Skin,1
