gene,disease,assocID,geneNcbiID,geneDSI,geneDPI,score,yearInitial,yearFinal,diseaseType
ERBB2,Breast Neoplasms,45254622,2064,0.298,0.957,1.0,2000,2022,disease
ERBB2,"Neoplasm, Stomach",20733936,2064,0.298,0.957,1.0,2004,2011,disease
ERBB2,Malignant neoplasm of stomach,15700830,2064,0.298,0.957,1.0,2004,2007,disease
ERBB2,"Carcinoma, Non Small Cell Lung",5737609,2064,0.298,0.957,1.0,2004,2019,disease
ERBB2,"Neoplasm, Ovarian",40636861,2064,0.298,0.957,1.0,2000,2018,disease
ERBB2,"Neoplasm, Prostatic",20443040,2064,0.298,0.957,1.0,2001,2007,disease
ERBB2,"Neoplasm, Bladder",5437057,2064,0.298,0.957,1.0,2021,2021,disease
ERBB2,Malignant neoplasm of bladder,5420524,2064,0.298,0.957,1.0,2021,2021,disease
ERBB2,"Cancer, Ovarian",40746147,2064,0.298,0.957,0.9500000000000001,2004,2007,disease
ERBB2,Adenocarcinoma,5027333,2064,0.298,0.957,0.9500000000000001,2011,2011,disease
ERBB2,Colorectal Neoplasm,10114788,2064,0.298,0.957,0.9500000000000001,2012,2016,disease
ERBB2,Lung Neoplasm,15591968,2064,0.298,0.957,0.9500000000000001,2002,2002,disease
ERBB2,"Carcinomas, Infiltrating Duct",40732678,2064,0.298,0.957,0.9500000000000001,2017,2017,disease
ERBB2,Malignant neoplasm of prostate,35164242,2064,0.298,0.957,0.9500000000000001,2002,2022,disease
ERBB2,Lung adenocarcinoma,25302622,2064,0.298,0.957,0.9500000000000001,2004,2018,disease
ERBB2,Renal cell carcinoma,5783306,2064,0.298,0.957,0.9500000000000001,2000,2000,disease
ERBB2,Gliomas,10872533,2064,0.298,0.957,0.9,,,disease
ERBB2,carcinogenesis,35652051,2064,0.298,0.957,0.8500000000000001,2014,2014,disease
ERBB2,"Cancer, Lung",30184893,2064,0.298,0.957,0.8500000000000001,2004,2004,disease
ERBB2,"SQUAMOUS CELL CARCINOMA, HEAD AND NECK",40795183,2064,0.298,0.957,0.85,2016,2016,disease
ERBB2,COLONIC NEOPLASM,10012561,2064,0.298,0.957,0.85,2001,2001,disease
ERBB2,Esophageal Neoplasm,10739575,2064,0.298,0.957,0.85,2011,2011,disease
ERBB2,Cervical Neoplasm,5895288,2064,0.298,0.957,0.85,2016,2016,disease
ERBB2,Cholangiocarcinoma,25530711,2064,0.298,0.957,0.85,2006,2006,disease
ERBB2,Gastrointestinal Neoplasm,10825905,2064,0.298,0.957,0.85,2011,2011,disease
ERBB2,Medulloblastoma,15742204,2064,0.298,0.957,0.85,2010,2010,disease
ERBB2,"Glioma, malignant",35577576,2064,0.298,0.957,0.8,,,disease
ERBB2,Gallbladder Neoplasm,10816485,2064,0.298,0.957,0.7999999999999999,2014,2014,disease
ERBB2,Gastric adenocarcinoma,30445704,2064,0.298,0.957,0.75,2008,2016,disease
ERBB2,"OVARIAN CANCER, EPITHELIAL",40084315,2064,0.298,0.957,0.75,2017,2017,disease
ERBB2,CARCINOMA OF ESOPHAGUS,25320601,2064,0.298,0.957,0.75,2016,2016,disease
ERBB2,carcinoma of gallbladder (diagnosis),30031162,2064,0.298,0.957,0.75,2016,2016,disease
ERBB2,Bladder transitional cell carcinoma,30510648,2064,0.298,0.957,0.75,2016,2016,disease
ERBB2,adenocarcinoma of prostate gland,5696739,2064,0.298,0.957,0.75,2016,2016,disease
ERBB2,Paget's Disease,45182372,2064,0.298,0.957,0.75,,,disease
ERBB2,Malignant melanoma of skin,25284501,2064,0.298,0.957,0.75,2016,2021,disease
ERBB2,Papilloma,20308690,2064,0.298,0.957,0.75,1995,1995,disease
ERBB2,"Disease, Hirschsprung",15029501,2064,0.298,0.957,0.75,2021,2021,disease
ERBB2,"Neuroectodermal Tumor, Primitive",25514439,2064,0.298,0.957,0.7000000000000001,2010,2010,disease
ERBB2,Breast cancer (ductal),45406761,2064,0.298,0.957,0.7,2017,2017,disease
ERBB2,Pancreatic adenocarcinoma,30553597,2064,0.298,0.957,0.7,2016,2016,disease
ERBB2,Uterine Carcinosarcoma,30548709,2064,0.298,0.957,0.7,2016,2016,disease
ERBB2,Lymphatic Metastases,15651071,2064,0.298,0.957,0.65,2011,2011,disease
ERBB2,adenocarcinoma of ovary (diagnosis),40709247,2064,0.298,0.957,0.65,2008,2008,disease
ERBB2,Squamous cell carcinoma of skin,35573030,2064,0.298,0.957,0.65,2016,2016,disease
ERBB2,"Neoplasm Recurrence, Local",20050315,2064,0.298,0.957,0.5,2006,2006,disease
ERBB2,Papillomatoses,25488426,2064,0.298,0.957,0.5,1995,1995,disease
ERBB2,Malignant neoplasm of large intestine,35092074,2064,0.298,0.957,0.5,,,disease
ERBB2,"VISCERAL NEUROPATHY, FAMILIAL, 2, AUTOSOMAL RECESSIVE",55541336,2064,0.298,0.957,0.45,2021,2021,disease
ERBB2,GLIOMA SUSCEPTIBILITY 1,50324003,2064,0.298,0.957,0.45,2004,2004,phenotype
ERBB2,"Malignant neoplasm of middle lobe, bronchus or lung",25354991,2064,0.298,0.957,0.45,,,disease
ERBB2,"Malignant neoplasm of lesser curvature of stomach, unspecified",25348390,2064,0.298,0.957,0.45,,,disease
ERBB2,"Malignant neoplasm of greater curvature of stomach, unspecified",25348723,2064,0.298,0.957,0.45,,,disease
ERBB2,"Malignant neoplasm of lower lobe, bronchus or lung",25355335,2064,0.298,0.957,0.45,,,disease
ERBB2,Primary malignant neoplasm of ovary and other uterine adnexa (disorder),45069523,2064,0.298,0.957,0.45,,,disease
ERBB2,Malignant neoplasm of other parts of bronchus or lung,25355679,2064,0.298,0.957,0.45,,,disease
ERBB2,Malignant neoplasm of body of stomach,25348057,2064,0.298,0.957,0.45,,,disease
ERBB2,"Malignant neoplasm of upper lobe, bronchus or lung",15732324,2064,0.298,0.957,0.45,,,disease
ERBB2,"Corpus uteri, unspecified",25357461,2064,0.298,0.957,0.4,2016,2016,disease
ERBB2,serous cystadenocarcinoma of ovary (diagnosis),30507602,2064,0.298,0.957,0.4,2016,2016,disease
ERBB2,Malignant basal cell tumor,45182973,2064,0.298,0.957,0.4,2016,2016,disease
ERBB2,Localized Primitive Neuroectodermal Tumor,45147938,2064,0.298,0.957,0.4,2010,2010,disease
ERBB2,Adult Primary Cholangiocellular Carcinoma,30549460,2064,0.298,0.957,0.4,2006,2006,disease
ERBB2,"Papillary renal cell carcinoma, sporadic",45171867,2064,0.298,0.957,0.4,2016,2016,disease
ERBB2,"Neoplasms, Basal Cell",25539718,2064,0.298,0.957,0.4,2016,2016,disease
ERBB2,Non-Small Cell Adenocarcinoma,45153916,2064,0.298,0.957,0.4,,,disease
CDK4,Melanoma,15748480,1019,0.379,0.913,1.0,2014,2021,disease
CDK4,Hereditary Cutaneous Melanoma,45379860,1019,0.379,0.913,0.95,1976,2021,disease
CDK4,CARCINOMA OF BREAST,40098524,1019,0.379,0.913,0.9,,,disease
CDK4,Glioblastoma,10844459,1019,0.379,0.913,0.9,,,disease
CDK4,"Neoplasm, Prostatic",20435422,1019,0.379,0.913,0.9,,,disease
CDK4,Triple-Negative Breast Cancers,50521063,1019,0.379,0.913,0.85,2021,2021,disease
CDK4,"SQUAMOUS CELL CARCINOMA, HEAD AND NECK",40792628,1019,0.379,0.913,0.85,2018,2018,disease
CDK4,Liposarcoma,15523260,1019,0.379,0.913,0.85,2010,2013,disease
CDK4,Malignant melanoma of skin,25283777,1019,0.379,0.913,0.8,2016,2021,disease
CDK4,Malignant neoplasm of prostate,35155982,1019,0.379,0.913,0.8,,,disease
CDK4,Lung adenocarcinoma,25297060,1019,0.379,0.913,0.8,2013,2018,disease
CDK4,"Neoplasm, Stomach",20727091,1019,0.379,0.913,0.8,2011,2011,disease
CDK4,"Carcinoma, Non Small Cell Lung",5721066,1019,0.379,0.913,0.75,,,disease
CDK4,Liver cell carcinoma,50173180,1019,0.379,0.913,0.75,2015,2015,disease
CDK4,Dedifferentiated Liposarcoma,25486436,1019,0.379,0.913,0.75,,,disease
CDK4,"Neoplasm, Bladder",5434371,1019,0.379,0.913,0.75,,,disease
CDK4,Malignant neoplasm of stomach,15694217,1019,0.379,0.913,0.75,2023,2023,disease
CDK4,Malignant neoplasm of bladder,5417898,1019,0.379,0.913,0.75,,,disease
CDK4,Carcinoma,5639177,1019,0.379,0.913,0.75,2002,2003,disease
CDK4,Multiple Myeloma,15863890,1019,0.379,0.913,0.75,2016,2016,disease
CDK4,"Liposarcoma, well differentiated",45189208,1019,0.379,0.913,0.7,,,disease
CDK4,Adult-Onset Diabetes Mellitus,10517849,1019,0.379,0.913,0.7,,,disease
CDK4,Primary Glioblastoma,45382311,1019,0.379,0.913,0.7,,,disease
CDK4,Obesity,20139378,1019,0.379,0.913,0.7,,,disease
CDK4,Ewing's sarcoma,35566570,1019,0.379,0.913,0.65,,,disease
CDK4,Brain Neoplasms,5493460,1019,0.379,0.913,0.65,2011,2011,disease
CDK4,Pancreatic adenocarcinoma,30552956,1019,0.379,0.913,0.65,,,disease
