gene,SOC_ABBREV,Count
AR,Card,1
AR,Cong,4
AR,Endo,1
AR,Infec,1
AR,Inv,3
AR,Metab,2
AR,Neopl,13
AR,Preg,1
AR,Psych,10
AR,Repro,3
AR,Skin,2
AR,Vasc,1
CHI3L1,Neopl,8
CHI3L1,Psych,1
CHI3L1,Resp,1
CHRM3,Card,1
CHRM3,Cong,1
CHRM3,Gastr,1
CHRM3,Genrl,1
CHRM3,Hepat,2
CHRM3,Immun,1
CHRM3,Resp,1
CHRM4,Nerv,1
CHRM4,Psych,2
CHRM5,Eye,1
CHRM5,Psych,2
CYP11A1,Endo,4
CYP11A1,Genrl,3
CYP11A1,Inj&P,1
CYP11A1,Neopl,1
CYP11A1,Psych,1
CYP11A1,Renal,2
CYP11A1,Resp,1
CYP2B6,Genrl,2
CYP2B6,Hepat,2
CYP2B6,Immun,1
CYP2B6,Infec,2
CYP2B6,Inv,1
CYP2B6,Neopl,2
CYP2B6,Psych,8
MCL1,Eye,1
MCL1,Gastr,1
MCL1,Genrl,2
MCL1,Infec,1
MCL1,Neopl,11
MCL1,Preg,1
