gene,disease,assocID,geneNcbiID,geneDSI,geneDPI,score,yearInitial,yearFinal,diseaseType
LARS1,INFANTILE LIVER FAILURE SYNDROME 1,50631391,51520,0.589,0.739,0.7,2012,2022,disease
LARS1,Global developmental delay,35586710,51520,0.589,0.739,0.45,2011,2021,disease
LARS1,"Hearing Loss, Sensorineural",10943111,51520,0.589,0.739,0.45,,,disease
LARS1,microcephaly (physical finding),55227038,51520,0.589,0.739,0.45,,,phenotype
LARS1,"LIVER FAILURE, INFANTILE, TRANSIENT",50475167,51520,0.589,0.739,0.4,1993,2020,disease
LARS1,Acute infantile liver failure with multisystemic involvement syndrome,55424856,51520,0.589,0.739,0.4,2012,2012,disease
LARS1,Normochromic microcytic anemia,30409875,51520,0.589,0.739,0.4,,,disease
LARS1,generalized seizure,30010487,51520,0.589,0.739,0.4,,,disease
SEC61A1,Infantile genetic agranulocytosis,45694015,29927,0.582,0.739,0.6000000000000001,,,disease
SEC61A1,Common Variable Immunodeficiency,10172947,29927,0.582,0.739,0.5,,,disease
SEC61A1,HNFJ4,55157485,29927,0.582,0.739,0.45,2016,2021,disease
SEC61A1,"Abnormalities, Craniofacial",35228756,29927,0.582,0.739,0.4,2006,2006,disease
SEC61A1,Decreased serum immunoglobulin,55058012,29927,0.582,0.739,0.4,2018,2018,phenotype
SEC61A1,Neutropenia,20124014,29927,0.582,0.739,0.4,,,disease
SEC61A1,HNFJ2,50325649,29927,0.582,0.739,0.4,,,disease
SEC61A1,Polycystic liver disease,25404026,29927,0.582,0.739,0.4,,,disease
SEC61A1,FJHN,55222316,29927,0.582,0.739,0.4,,,disease
SEC61A1,"HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, 3",50481305,29927,0.582,0.739,0.4,,,disease
SEC61A1,"Hyperuricaemia, anaemia, renal failure syndrome",55151622,29927,0.582,0.739,0.4,,,disease
SEC61A1,Agranulocytoses,5057249,29927,0.582,0.739,0.4,,,disease
SEC61A1,decreased absolute neurophile count (ANC),55149946,29927,0.582,0.739,0.4,,,phenotype
HRH1,Itching,20504681,3269,0.575,0.913,0.65,2009,2009,phenotype
HRH1,Schizophrenias,20624963,3269,0.575,0.913,0.65,1991,1991,disease
HRH1,Pain,20267436,3269,0.575,0.913,0.65,2002,2003,phenotype
HRH1,Atherosclerosis,5328550,3269,0.575,0.913,0.65,2014,2014,disease
HRH1,CRC,10055883,3269,0.575,0.913,0.5,,,disease
HRH1,Hypotension,15182219,3269,0.575,0.913,0.4,1990,1990,phenotype
HRH1,Telangiectasia,20803607,3269,0.575,0.913,0.4,2020,2020,phenotype
HRH1,Respiratory allergy,50639144,3269,0.575,0.913,0.4,2002,2002,phenotype
HRH1,Rhinitides,20600354,3269,0.575,0.913,0.4,2002,2002,disease
HRH1,Extravasation of Diagnostic and Therapeutic Materials,10750198,3269,0.575,0.913,0.4,2020,2020,disease
HRH1,Atopic rhinitis,5070956,3269,0.575,0.913,0.4,2013,2013,disease
LTF,Inflammations,15237626,4057,0.398,0.957,0.85,2005,2005,phenotype
LTF,Ulcerative colitis,10002498,4057,0.398,0.957,0.85,2006,2022,disease
LTF,"Enterocolitis, Necrotizing",35447910,4057,0.398,0.957,0.85,2006,2006,disease
