gene,disease,assocID,geneNcbiID,geneDSI,geneDPI,score,yearInitial,yearFinal,diseaseType
TMPRSS11D,Flu,15281920,9407,0.512,0.826,0.6000000000000001,2010,2012,disease
TMPRSS11D,SARS,40806707,9407,0.512,0.826,0.4,2014,2014,disease
MCM5,MEIER-GORLIN SYNDROME 8,55186327,4174,0.589,0.739,0.6,2017,2017,disease
MCM5,alcohol use disorders,5063191,4174,0.589,0.739,0.5,2012,2012,disease
SLC1A1,Inborn error of glutamic and aspartate transport,50018434,6505,0.552,0.826,0.85,1992,2011,disease
SLC1A1,Schizophrenias,20634701,6505,0.552,0.826,0.75,,,disease
SLC1A1,Epilepsies,10727135,6505,0.552,0.826,0.65,2002,2002,disease
SLC1A1,AUTISM SPECTRUM DISORDER,45370664,6505,0.552,0.826,0.6000000000000001,2019,2022,disease
SLC1A1,Temporal lobe epilepsy,10734333,6505,0.552,0.826,0.6000000000000001,2002,2002,disease
SLC1A1,Normal tension glaucoma,25333814,6505,0.552,0.826,0.55,2017,2017,disease
SLC1A1,Depressive neurosis,10309346,6505,0.552,0.826,0.55,2004,2004,disease
SLC1A1,Depression,10292883,6505,0.552,0.826,0.55,2004,2004,disease
SLC1A1,Bipolar Disorders,5413362,6505,0.552,0.826,0.5,2002,2002,disease
SLC1A1,SCHIZOPHRENIA 18,50629385,6505,0.552,0.826,0.45,,,disease
SLC1A1,Endometrioses,10705204,6505,0.552,0.826,0.4,2011,2011,disease
SLC1A1,Hot water reflex epilepsy,55278162,6505,0.552,0.826,0.4,2017,2017,disease
SLC1A1,Atrophies,30601884,6505,0.552,0.826,0.4,2012,2012,phenotype
SLC1A1,"Disorders, Organic Mental",20207112,6505,0.552,0.826,0.4,2012,2012,disease
SLC1A1,"Degeneration, Nerve",20086675,6505,0.552,0.826,0.4,2017,2017,phenotype
SLC1A1,Brain Disease,5492739,6505,0.552,0.826,0.4,2012,2012,disease
SLC1A1,Encephalopathy,25182108,6505,0.552,0.826,0.4,2012,2012,disease
SLC1A1,RETINA DEGENERATION,20572349,6505,0.552,0.826,0.4,2017,2017,phenotype
MC4R,Obesity,20170890,4160,0.509,0.87,1.0,1957,2018,disease
MC4R,Morbid Obesities,20195306,4160,0.509,0.87,0.9500000000000001,2018,2018,disease
MC4R,Polyphagia,15108313,4160,0.509,0.87,0.8,2012,2012,phenotype
MC4R,Insulin Resistance,15303928,4160,0.509,0.87,0.8,2008,2008,phenotype
MC4R,Monogenic Obesity,55080659,4160,0.509,0.87,0.75,2003,2018,phenotype
MC4R,Obesity due to melanocortin 4 receptor deficiency,55113277,4160,0.509,0.87,0.7,1999,2019,disease
