gene,SOC_ABBREV,Count
AANAT,Genrl,1
AANAT,Nerv,1
AANAT,Psych,3
DRD4,Card,1
DRD4,Hepat,1
DRD4,Inj&P,1
DRD4,Neopl,2
DRD4,Nerv,1
DRD4,Psych,24
DRD4,Repro,1
DRD4,SocCi,3
GABRD,Card,1
GABRD,Genrl,1
GABRD,Immun,2
GABRD,Inv,1
GABRD,Nerv,6
GABRD,Psych,2
GABRD,SocCi,1
GABRR1,Psych,3
HTR1A,Card,1
HTR1A,Cong,1
HTR1A,Eye,1
HTR1A,Genrl,1
HTR1A,Infec,1
HTR1A,Neopl,1
HTR1A,Nerv,1
HTR1A,Psych,19
HTR1A,Repro,1
HTR1A,Resp,1
HTR2C,Immun,1
HTR2C,Inv,1
HTR2C,Metab,1
HTR2C,Neopl,1
HTR2C,Nerv,2
HTR2C,Psych,12
HTR2C,SocCi,1
NLGN2,Psych,2
SIK1,Card,1
SIK1,Ear,1
SIK1,Genrl,1
SIK1,Musc,4
SIK1,Neopl,1
SIK1,Nerv,5
SIK1,Psych,1
SOD3,Card,4
SOD3,Genrl,2
SOD3,Hepat,2
SOD3,Infec,1
SOD3,Inv,1
SOD3,Metab,2
SOD3,Musc,1
SOD3,Neopl,3
SOD3,Nerv,1
SOD3,Psych,3
SOD3,Repro,1
SOD3,Resp,1
SOD3,Skin,1
SOD3,Vasc,1
