Drug,chembl_id,Similar drug,Similar chembl id,SMILES,InChI Key,ATC Classifications
2-Mercaptobenzothiazole,CHEMBL111654,,CHEMBL3182456,[Na+].[S-]c1nc2ccccc2s1,VLDHWMAJBNWALQ-UHFFFAOYSA-M,Unknown
Abacavir,CHEMBL1380,ABACAVIR SULFATE,CHEMBL4303288,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.O=S(=O)(O)O,WMHSRBZIJNQHKT-FFKFEZPRSA-N,Unknown
Abacavir,CHEMBL1380,,CHEMBL2355029,Nc1nc(NC2CC2)c2ncn([C@@H]3C=C[C@@H](CO)C3)c2n1,MCGSCOLBFJQGHM-PSASIEDQSA-N,Unknown
Abacavir,CHEMBL1380,ABACAVIR SUCCINATE,CHEMBL2106686,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1.O=C(O)CCC(=O)O,BOONDNCXQPMXQT-SCYNACPDSA-N,Unknown
Abacavir,CHEMBL1380,,CHEMBL300576,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,MCGSCOLBFJQGHM-UHFFFAOYSA-N,Unknown
Abemaciclib,CHEMBL3301610,,CHEMBL4560869,[2H]C([2H])([2H])C([2H])([2H])N1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,UZWDCWONPYILKI-RPIBLTHZSA-N,Unknown
Abemaciclib,CHEMBL3301610,,CHEMBL4534140,[2H]c1nc(Nc2ncc(F)c(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)c([2H])c([2H])c1CN1CCN(C([2H])([2H])C([2H])([2H])[2H])CC1,UZWDCWONPYILKI-BNMLNCJNSA-N,Unknown
Abemaciclib,CHEMBL3301610,,CHEMBL4474565,[2H]C([2H])([2H])C([2H])([2H])N1C([2H])([2H])C([2H])([2H])N(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)C([2H])([2H])C1([2H])[2H],UZWDCWONPYILKI-ZBLYSMHISA-N,Unknown
Abemaciclib,CHEMBL3301610,,CHEMBL4290012,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1.CS(=O)(=O)O,NCJPFQPEVDHJAZ-UHFFFAOYSA-N,Unknown
Abiraterone,CHEMBL254328,,CHEMBL3780847,C[C@]12CC[C@H](O)CC1=CC[C@@H]1C2CC[C@]2(C)C(c3cccnc3)=CCC12,GZOSMCIZMLWJML-MOZXWMAFSA-N,Unknown
Abiraterone,CHEMBL254328,,CHEMBL2138202,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,GZOSMCIZMLWJML-UHFFFAOYSA-N,Unknown
Acalabrutinib,CHEMBL3707348,,CHEMBL5198054,CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,WDENQIQQYWYTPO-UHFFFAOYSA-N,Unknown
Acalabrutinib,CHEMBL3707348,,CHEMBL4747506,CC#CC(=O)N1CCC[C@@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,WDENQIQQYWYTPO-LJQANCHMSA-N,Unknown
Acalabrutinib,CHEMBL3707348,ACALABRUTINIB MALEATE,CHEMBL4594293,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12.O=C(O)/C=C\C(=O)O,JWEQLWMZHJSMEC-AFJTUFCWSA-N,Unknown
Acamprosate,CHEMBL1201293,ACAMPROSATE CALCIUM,CHEMBL2068724,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],BUVGWDNTAWHSKI-UHFFFAOYSA-L,Unknown
Acarbose,CHEMBL404271,,CHEMBL4299399,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@H]2CO)[C@@H](O)[C@H](O)[C@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,XUFXOAAUWZOOIT-ZJGALDLUSA-N,Unknown
Acarbose,CHEMBL404271,,CHEMBL1589862,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1N[C@@H]1C=C(CO)[C@@H](O)C(O)[C@H]1O,XUFXOAAUWZOOIT-DHCVXVAISA-N,Unknown
Acarbose,CHEMBL404271,,CHEMBL1363358,C[C@H]1OC(OC2C(O)[C@@H](O)C(OC3C(O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)C(O)C1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)C1O,XUFXOAAUWZOOIT-BYCJIXPDSA-N,Unknown
Acarbose,CHEMBL404271,ACARBOSE,CHEMBL1566,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,XUFXOAAUWZOOIT-SXARVLRPSA-N,A10BF01
