Drug,PubChem CID,InChI Key,SMILES,STITCH ID,BNF Code,chembl_id,atc_codes
"2,2'-Dithiobis(Benzothiazole)",8447,AFZSMODLJJCVPP-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,CIDs00008447,,CHEMBL508112,[]
"2,3-Dibromo-2-Methylpentanedinitrile",23623795,TZRCUJQTBXZZIT-UHFFFAOYSA-N,CC(C#N)(C(CC#N)Br)Br,CIDs23623795,,,[]
2-Mercaptobenzothiazole,697993,YXIWHUQXZSMYRE-UHFFFAOYSA-N,C1=CC=C2C(=C1)NC(=S)S2,CIDs00697993,,CHEMBL111654,[]
Abacavir,441300,MCGSCOLBFJQGHM-SCZZXKLOSA-N,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,,"['0503010E0AA', '0503010Z0AA']",CHEMBL1380,['J05AF06']
Abatacept,No PubChem CID found,No InChI Key found,No SMILES found,,['1001030V0AA'],,
Abciximab,No PubChem CID found,No InChI Key found,No SMILES found,,['0209000W0AA'],,
Abemaciclib,46220502,UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,CIDs46220502,['0801050CLAA'],CHEMBL3301610,['L01EF03']
Abiraterone,132971,GZOSMCIZMLWJML-VJLLXTKPSA-N,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,CIDs00132971,['0803042T0AA'],CHEMBL254328,['L02BX03']
Abrocitinib,78323835,IUEWXNHSKRWHDY-UHFFFAOYSA-N,CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3,CIDs78323835,['1305030K0AA'],,[]
Acalabrutinib,71226662,WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,CIDs71226663,,CHEMBL3707348,['L01EL02']
Acamprosate,71158,AFCGFAGUEYAMAO-UHFFFAOYSA-N,CC(=O)NCCCS(=O)(=O)O,CIDs00071158,['0410010A0AA'],CHEMBL1201293,['N07BB03']
Acarbose,41774,XUFXOAAUWZOOIT-UGEKTDRHSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,CIDs00041774,['0601023A0AA'],CHEMBL404271,[]
Acebutolol,1978,GOEMGAFJFRBGGG-UHFFFAOYSA-N,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,CIDs00155083,"['0204000C0AA', '0204000B0AA']",CHEMBL642,['C07AB04']
Aceclofenac,71771,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,CIDs00071771,['100101080AA'],CHEMBL93645,"['M01AB16', 'M02AA25']"
Acemetacin,1981,FSQKKOOTNAMONP-UHFFFAOYSA-N,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,CIDs00001981,['100101050AA'],CHEMBL189171,['M01AB11']
Acepifylline,76959346,IUKJNIOSXCPLLP-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1,,,,[]
Acetazolamide,1986,BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,CIDs00001986,"['1106000B0AA', '1106000C0AA']",CHEMBL20,['S01EC01']
Acetic Acid,176,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,CIDs02723902,"['1201010B0AA', '0702020B0AA', '190600000AA', '1307000T0AA']",CHEMBL539,"['S02AA10', 'G01AD02']"
Acetohexamide,1989,VGZSUPCWNCWDAN-UHFFFAOYSA-N,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,CIDs00001989,,CHEMBL1589,['A10BB31']
Acetylcholine,187,OIPILFWXSMYKGL-UHFFFAOYSA-N,CC(=O)OCC[N+](C)(C)C,CIDs00000187,['1108020C0AA'],CHEMBL667,['S01EB09']
Acetylcysteine,12035,PWKSKIMOESPYIA-BYPYZUCNSA-N,CC(=O)NC(CS)C(=O)O,CIDs00012035,"['1108010C0AA', '1902070A0AA', '0307000C0AA', '0704040W0AA']",CHEMBL600,"['R05CB01', 'S01XA08', 'V03AB23']"
Acipimox,5310993,DJQOOSBJCLSSEY-UHFFFAOYSA-N,CC1=CN=C(C=[N+]1[O-])C(=O)O,CIDs05310993,['0212000A0AA'],CHEMBL345714,['C10AD06']
Acitretin,5284513,IHUNBGSDBOWDMA-AQFIFDHZSA-N,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,CIDs05284513,['1305020A0AA'],CHEMBL1131,['D05BB02']
Aclidinium,11434515,ASMXXROZKSBQIH-VITNCHFBSA-N,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,CIDs11434515,"['0301020R0AA', '0301040V0AA']",CHEMBL1194325,[]
Acrivastine,5284514,PWACSDKDOHSSQD-IUTFFREVSA-N,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC(=N3)C=CC(=O)O,CIDs05284514,['0304010A0AA'],CHEMBL1224,['R06AX18']
Acrosoxacin,287180,XBPZXDSZHPDXQU-UHFFFAOYSA-N,CCN1C=C(C(=O)C2=C1C=C(C=C2)C3=CC=NC=C3)C(=O)O,CIDs00287180,,CHEMBL291157,['J01MB01']
Acyclovir,135398513,MKUXAQIIEYXACX-UHFFFAOYSA-N,C1=NC2=C(N1COCCO)N=C(NC2=O)N,,,CHEMBL184,"['J05AB01', 'S01AD03', 'D06BB53', 'D06BB03']"
Adalimumab,No PubChem CID found,No InChI Key found,No SMILES found,,['1001030S0AA'],,
Adapalene,60164,LZCDAPDGXCYOEH-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,CIDs00060164,"['1306010H0AA', '1306010Z0AA']",CHEMBL1265,"['D10AD53', 'D10AD03']"
Adefovir,60172,SUPKOOSCJHTBAH-UHFFFAOYSA-N,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,,['0503031A0AA'],CHEMBL484,[]
Adenine,190,GFFGJBXGBJISGV-UHFFFAOYSA-N,C1=NC2=NC=NC(=C2N1)N,,,CHEMBL226345,[]
Adenophora,No PubChem CID found,No InChI Key found,No SMILES found,,,,
