Link,Drug Name
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000468743973.zip&amp;agency=MHRA,"2,2'-Dithiobis(Benzothiazole)"
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000698317989.zip&amp;agency=MHRA,"2,3-Dibromo-2-Methylpentanedinitrile"
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000535738763.zip&amp;agency=MHRA,2-Mercaptobenzothiazole
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000040046536.zip&amp;agency=MHRA,Abacavir
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000561378321.zip&amp;agency=MHRA,Abatacept
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000231911819.zip&amp;agency=MHRA,Abciximab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000369408139.zip&amp;agency=MHRA,Abemaciclib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000968368347.zip&amp;agency=MHRA,Abiraterone
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000622496158.zip&amp;agency=MHRA,Abrocitinib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001071084804.zip&amp;agency=MHRA,Acalabrutinib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000364987454.zip&amp;agency=MHRA,Acamprosate
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000804524271.zip&amp;agency=MHRA,Acarbose
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000798791205.zip&amp;agency=MHRA,Acebutolol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000385564074.zip&amp;agency=MHRA,Aceclofenac
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000172596195.zip&amp;agency=MHRA,Acemetacin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001035425465.zip&amp;agency=MHRA,Acepifylline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000947988813.zip&amp;agency=MHRA,Acetazolamide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000539115431.zip&amp;agency=MHRA,Acetic Acid
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000672292924.zip&amp;agency=MHRA,Acetohexamide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000120303460.zip&amp;agency=MHRA,Acetylcholine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000025812958.zip&amp;agency=MHRA,Acetylcysteine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000153274705.zip&amp;agency=MHRA,Acipimox
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000517781869.zip&amp;agency=MHRA,Acitretin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000101536018.zip&amp;agency=MHRA,Aclidinium
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000345475067.zip&amp;agency=MHRA,Acrivastine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000614695888.zip&amp;agency=MHRA,Acrosoxacin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000813673678.zip&amp;agency=MHRA,Acyclovir
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000460896114.zip&amp;agency=MHRA,Adalimumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000926749107.zip&amp;agency=MHRA,Adapalene
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000477593564.zip&amp;agency=MHRA,Adefovir
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000364352160.zip&amp;agency=MHRA,Adenine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000306756477.zip&amp;agency=MHRA,Adenophora
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000493912947.zip&amp;agency=MHRA,Adenosine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000653937718.zip&amp;agency=MHRA,Bacampicillin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000255876943.zip&amp;agency=MHRA,Bacitracin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000105758194.zip&amp;agency=MHRA,Baclofen
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000151055489.zip&amp;agency=MHRA,Baloxavir Marboxil
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000924029418.zip&amp;agency=MHRA,Balsalazide
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000880678486.zip&amp;agency=MHRA,Bambusa Arundinacea
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000915013376.zip&amp;agency=MHRA,Bambuterol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000379690334.zip&amp;agency=MHRA,Bamifylline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000849073058.zip&amp;agency=MHRA,Baptisia Tinctoria
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000667523761.zip&amp;agency=MHRA,Baricitinib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001038021920.zip&amp;agency=MHRA,Barium
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000285234708.zip&amp;agency=MHRA,Barosma
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000858314572.zip&amp;agency=MHRA,Basiliximab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000929870302.zip&amp;agency=MHRA,Bazedoxifene
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000468466060.zip&amp;agency=MHRA,Cabazitaxel
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000739761424.zip&amp;agency=MHRA,Cabergoline
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000985772798.zip&amp;agency=MHRA,Cabotegravir
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000397905095.zip&amp;agency=MHRA,Cabozantinib
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000743544955.zip&amp;agency=MHRA,Cadexomer-Iodine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000896826986.zip&amp;agency=MHRA,Caffeine
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000206899500.zip&amp;agency=MHRA,Calcipotriol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000001532475.zip&amp;agency=MHRA,Calcitonin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000822067528.zip&amp;agency=MHRA,Calcium
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001033864751.zip&amp;agency=MHRA,Calcium Fluoride
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000966375270.zip&amp;agency=MHRA,Calendula
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001040085818.zip&amp;agency=MHRA,Calotropis
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_001064486293.zip&amp;agency=MHRA,Camellia Sinensis
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000045054242.zip&amp;agency=MHRA,Camphene
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000527622056.zip&amp;agency=MHRA,Camphor
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000634619749.zip&amp;agency=MHRA,Camphorated Opium Tincture
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000150337329.zip&amp;agency=MHRA,Camptothecin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000604440995.zip&amp;agency=MHRA,Canagliflozin
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000405561728.zip&amp;agency=MHRA,Canakinumab
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000416895182.zip&amp;agency=MHRA,Candesartan
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000148229248.zip&amp;agency=MHRA,Cangrelor
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000434008988.zip&amp;agency=MHRA,Cannabidiol
dap.html?drug=./UK_EXTERNAL/NONCOMBINED/UK_NON_000755065300.zip&amp;agency=MHRA,Cannabis Sativa
