Drug Name,Zipped Link
"2,2'-Dithiobis(Benzothiazole)",https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000468743973.zip
"2,3-Dibromo-2-Methylpentanedinitrile",https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000698317989.zip
2-Mercaptobenzothiazole,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000535738763.zip
Abacavir,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000040046536.zip
Abatacept,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000561378321.zip
Abciximab,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000231911819.zip
Abemaciclib,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000369408139.zip
Abiraterone,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000968368347.zip
Abrocitinib,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000622496158.zip
Acalabrutinib,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_001071084804.zip
Acamprosate,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000364987454.zip
Acarbose,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000804524271.zip
Acebutolol,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000798791205.zip
Aceclofenac,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000385564074.zip
Acemetacin,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000172596195.zip
Acepifylline,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_001035425465.zip
Acetazolamide,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000947988813.zip
Acetic Acid,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000539115431.zip
Acetohexamide,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000672292924.zip
Acetylcholine,https://info.mhra.gov.uk/drug-analysis-profiles/data/UK_EXTERNAL/NONCOMBINED/UK_NON_000120303460.zip
