Drug,InChI Key,SMILES,PubChem CID,ChEMBL ID,ATC Code
"2,2'-Dithiobis(Benzothiazole)",AFZSMODLJJCVPP-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,8447,CHEMBL6329,No ATC Code found
"2,3-Dibromo-2-Methylpentanedinitrile",TZRCUJQTBXZZIT-UHFFFAOYSA-N,CC(C#N)(C(CC#N)Br)Br,23623795,CHEMBL6329,No ATC Code found
2-Mercaptobenzothiazole,YXIWHUQXZSMYRE-UHFFFAOYSA-N,C1=CC=C2C(=C1)NC(=S)S2,697993,CHEMBL6329,No ATC Code found
Abacavir,MCGSCOLBFJQGHM-SCZZXKLOSA-N,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,441300,CHEMBL6329,No ATC Code found
Abatacept,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Abciximab,No InChI Key found,No SMILES found,No PubChem CID found,CHEMBL6329,No ATC Code found
Abemaciclib,UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,46220502,CHEMBL6329,No ATC Code found
Abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,132971,CHEMBL6329,No ATC Code found
Abrocitinib,IUEWXNHSKRWHDY-UHFFFAOYSA-N,CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3,78323835,CHEMBL6329,No ATC Code found
Acalabrutinib,WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,71226662,CHEMBL6329,No ATC Code found
Acamprosate,AFCGFAGUEYAMAO-UHFFFAOYSA-N,CC(=O)NCCCS(=O)(=O)O,71158,CHEMBL6329,No ATC Code found
Acarbose,XUFXOAAUWZOOIT-UGEKTDRHSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,41774,CHEMBL6329,No ATC Code found
Acebutolol,GOEMGAFJFRBGGG-UHFFFAOYSA-N,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,1978,CHEMBL6329,No ATC Code found
Aceclofenac,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,71771,CHEMBL6329,No ATC Code found
Acemetacin,FSQKKOOTNAMONP-UHFFFAOYSA-N,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,1981,CHEMBL6329,No ATC Code found
Acepifylline,IUKJNIOSXCPLLP-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1,76959346,CHEMBL6329,No ATC Code found
Acetazolamide,BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,1986,CHEMBL6329,No ATC Code found
Acetic Acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,176,CHEMBL6329,No ATC Code found
Acetohexamide,VGZSUPCWNCWDAN-UHFFFAOYSA-N,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,1989,CHEMBL6329,No ATC Code found
Acetylcholine,OIPILFWXSMYKGL-UHFFFAOYSA-N,CC(=O)OCC[N+](C)(C)C,187,CHEMBL6329,No ATC Code found
Acetylcysteine,PWKSKIMOESPYIA-BYPYZUCNSA-N,CC(=O)NC(CS)C(=O)O,12035,CHEMBL6329,No ATC Code found
Acipimox,DJQOOSBJCLSSEY-UHFFFAOYSA-N,CC1=CN=C(C=[N+]1[O-])C(=O)O,5310993,CHEMBL6329,No ATC Code found
Acitretin,IHUNBGSDBOWDMA-AQFIFDHZSA-N,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,5284513,CHEMBL6329,No ATC Code found
Aclidinium,ASMXXROZKSBQIH-VITNCHFBSA-N,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,11434515,CHEMBL6329,No ATC Code found
