Drug,InChI Key,SMILES,PubChem CID
"2,2'-Dithiobis(Benzothiazole)",AFZSMODLJJCVPP-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,8447
"2,3-Dibromo-2-Methylpentanedinitrile",TZRCUJQTBXZZIT-UHFFFAOYSA-N,CC(C#N)(C(CC#N)Br)Br,23623795
2-Mercaptobenzothiazole,YXIWHUQXZSMYRE-UHFFFAOYSA-N,C1=CC=C2C(=C1)NC(=S)S2,697993
Abacavir,MCGSCOLBFJQGHM-SCZZXKLOSA-N,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,441300
Abatacept,No InChI Key found,No SMILES found,No PubChem CID found
Abciximab,No InChI Key found,No SMILES found,No PubChem CID found
Abemaciclib,UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,46220502
Abiraterone,GZOSMCIZMLWJML-VJLLXTKPSA-N,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,132971
Abrocitinib,IUEWXNHSKRWHDY-UHFFFAOYSA-N,CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3,78323835
Acalabrutinib,WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,71226662
Acamprosate,AFCGFAGUEYAMAO-UHFFFAOYSA-N,CC(=O)NCCCS(=O)(=O)O,71158
Acarbose,XUFXOAAUWZOOIT-UGEKTDRHSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,41774
Acebutolol,GOEMGAFJFRBGGG-UHFFFAOYSA-N,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,1978
Aceclofenac,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,71771
Acemetacin,FSQKKOOTNAMONP-UHFFFAOYSA-N,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,1981
Acepifylline,IUKJNIOSXCPLLP-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1.C1CNCCN1,76959346
Acetazolamide,BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,1986
Acetic Acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,176
Acetohexamide,VGZSUPCWNCWDAN-UHFFFAOYSA-N,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,1989
Acetylcholine,OIPILFWXSMYKGL-UHFFFAOYSA-N,CC(=O)OCC[N+](C)(C)C,187
Acetylcysteine,PWKSKIMOESPYIA-BYPYZUCNSA-N,CC(=O)NC(CS)C(=O)O,12035
Acipimox,DJQOOSBJCLSSEY-UHFFFAOYSA-N,CC1=CN=C(C=[N+]1[O-])C(=O)O,5310993
Acitretin,IHUNBGSDBOWDMA-AQFIFDHZSA-N,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,5284513
Aclidinium,ASMXXROZKSBQIH-VITNCHFBSA-N,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,11434515
Acrivastine,PWACSDKDOHSSQD-IUTFFREVSA-N,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC(=N3)C=CC(=O)O,5284514
Acrosoxacin,XBPZXDSZHPDXQU-UHFFFAOYSA-N,CCN1C=C(C(=O)C2=C1C=C(C=C2)C3=CC=NC=C3)C(=O)O,287180
Acyclovir,MKUXAQIIEYXACX-UHFFFAOYSA-N,C1=NC2=C(N1COCCO)N=C(NC2=O)N,135398513
Adalimumab,No InChI Key found,No SMILES found,No PubChem CID found
Adapalene,LZCDAPDGXCYOEH-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,60164
Adefovir,SUPKOOSCJHTBAH-UHFFFAOYSA-N,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,60172
Adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C1=NC2=NC=NC(=C2N1)N,190
Adenophora,No InChI Key found,No SMILES found,No PubChem CID found
Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,60961
Bacampicillin,PFOLLRNADZZWEX-FFGRCDKISA-N,CCOC(=O)OC(C)OC(=O)C1C(SC2N1C(=O)C2NC(=O)C(C3=CC=CC=C3)N)(C)C,441397
Bacitracin,No InChI Key found,No SMILES found,No PubChem CID found
Baclofen,KPYSYYIEGFHWSV-UHFFFAOYSA-N,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,2284
Baloxavir Marboxil,RZVPBGBYGMDSBG-GGAORHGYSA-N,COC(=O)OCOC1=C2C(=O)N3CCOCC3N(N2C=CC1=O)C4C5=C(CSC6=CC=CC=C46)C(=C(C=C5)F)F,124081896
Balsalazide,IPOKCKJONYRRHP-UHFFFAOYSA-N,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O,54585
Bambusa Arundinacea,No InChI Key found,No SMILES found,No PubChem CID found
Bambuterol,ANZXOIAKUNOVQU-UHFFFAOYSA-N,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O,54766
