inchi_key,atc_codes,chembl_id,drug_name
AFZSMODLJJCVPP-UHFFFAOYSA-N,[],CHEMBL508112,"2,2'-Dithiobis(Benzothiazole)"
TZRCUJQTBXZZIT-UHFFFAOYSA-N,[],,"2,3-Dibromo-2-Methylpentanedinitrile"
YXIWHUQXZSMYRE-UHFFFAOYSA-N,[],CHEMBL111654,2-Mercaptobenzothiazole
MCGSCOLBFJQGHM-SCZZXKLOSA-N,['J05AF06'],CHEMBL1380,Abacavir
UZWDCWONPYILKI-UHFFFAOYSA-N,['L01EF03'],CHEMBL3301610,Abemaciclib
GZOSMCIZMLWJML-VJLLXTKPSA-N,['L02BX03'],CHEMBL254328,Abiraterone
IUEWXNHSKRWHDY-UHFFFAOYSA-N,[],,Abrocitinib
WDENQIQQYWYTPO-IBGZPJMESA-N,['L01EL02'],CHEMBL3707348,Acalabrutinib
AFCGFAGUEYAMAO-UHFFFAOYSA-N,['N07BB03'],CHEMBL1201293,Acamprosate
XUFXOAAUWZOOIT-UGEKTDRHSA-N,[],CHEMBL404271,Acarbose
GOEMGAFJFRBGGG-UHFFFAOYSA-N,['C07AB04'],CHEMBL642,Acebutolol
MNIPYSSQXLZQLJ-UHFFFAOYSA-N,"['M01AB16', 'M02AA25']",CHEMBL93645,Aceclofenac
FSQKKOOTNAMONP-UHFFFAOYSA-N,['M01AB11'],CHEMBL189171,Acemetacin
IUKJNIOSXCPLLP-UHFFFAOYSA-N,[],,Acepifylline
BZKPWHYZMXOIDC-UHFFFAOYSA-N,['S01EC01'],CHEMBL20,Acetazolamide
QTBSBXVTEAMEQO-UHFFFAOYSA-N,"['S02AA10', 'G01AD02']",CHEMBL539,Acetic Acid
VGZSUPCWNCWDAN-UHFFFAOYSA-N,['A10BB31'],CHEMBL1589,Acetohexamide
OIPILFWXSMYKGL-UHFFFAOYSA-N,['S01EB09'],CHEMBL667,Acetylcholine
PWKSKIMOESPYIA-BYPYZUCNSA-N,"['R05CB01', 'S01XA08', 'V03AB23']",CHEMBL600,Acetylcysteine
