Feature,Importance
MCL1,0.034229426929703516
LCLAT1,0.03302628236220498
CYP11A1,0.03292792846050893
AR,0.030661235659779684
CYP2B6,0.024022431271733133
CHI3L1,0.016024313873133286
DRD2,0.008237287009480173
HTR2C,0.0078068202483132475
UBOX5,0.007707533812778159
HTR7,0.007623109126999278
ADRA2A,0.007347239702117918
DRD4,0.007346620506897021
CHRM5,0.006876996289310399
ADRB3,0.006429416207931001
CHRM4,0.006251637110025837
MAOA,0.006223876602913699
ADRB1,0.006142322915247366
CHRM3,0.006131160792521545
ADRA2C,0.006005585910730876
CHRM1,0.005813437879027588
ADRA1A,0.005726526467435764
SIGMAR1,0.005693688815398582
HRH1,0.005598776300715379
CYP1A2,0.00534363444333949
KCNQ1,0.005331680535371697
CYP2C19,0.0052941730773095
HTR1A,0.0051554620256217334
MAOB,0.005149322465419496
KDM1A,0.005101482584164134
AVPR1A,0.004946022797980279
OPRD1,0.004901240986140839
HTR1B,0.0048562411361638995
NR1I2,0.004715327359922559
TMPRSS11D,0.004618886982159843
ADRB2,0.004572086562813115
HTR4,0.004570864466414309
CSTB,0.004513163086886469
ADRA1B,0.004319062115112915
GRM5,0.004314893179748915
CYP3A5,0.004250843067609339
ACHE,0.004239880409946393
REN,0.00420614644134486
SLC35B3,0.004182534153078475
PLK1,0.004107743919239581
DRD3,0.004087175037405021
CASP3,0.004001395485164328
HTR1E,0.003999293928157835
NR3C1,0.003989230796346748
PRL,0.003947614221381877
CYP3A7,0.0038919415607044138
CA9,0.0038449034857674625
KDM1B,0.003813319912025128
C3,0.0037873917213421026
PGR,0.0037115614591772404
SRPX2,0.003628642325870539
HTR2B,0.0036124773337725315
SLC6A11,0.003534377001025628
CAT,0.003479125527207542
CHRNB1,0.003457940868280161
CHRND,0.0033969112329355943
KCNH2,0.003344030938662745
GABRA4,0.0033124514183833146
CHRNA1,0.0033079026632376178
CASP9,0.0032966797927220857
HTR3A,0.0032744952684379902
GLRA1,0.003206325064225354
SLC6A2,0.003188720103356955
CARS2,0.003090345489115025
DRD5,0.0030334278641049287
BCHE,0.003024150212450781
TOP2A,0.002999249832100913
SLC6A9,0.0029895946550450437
CYP2C9,0.002985031289532222
SCN9A,0.002977956172924923
SLC6A3,0.002914663102842108
CARS1,0.0028141013130582064
ZFPM1,0.0026934433434018298
ADRA1D,0.00267592995465617
HTR1F,0.002617869480716201
SLC18A3,0.0026016641529965044
HTR6,0.0025399360984680245
CXCL8,0.002538953429507775
SLC6A13,0.0025061866600878738
MAPK1,0.002480008528142382
KCNK3,0.0024612350505558507
TNF,0.0024582592459859946
CYP2C8,0.0023612174605668946
ALOX5,0.0023523826085322637
PTGS1,0.002266262296853521
SCN10A,0.0022604094583497385
OPRM1,0.0022098020274114423
GABRA6,0.002152747429807659
CA2,0.0021444374676693246
SLC6A4,0.0021179563071385397
GABRG1,0.0020764202635332133
KCNQ2,0.002035586039440786
PARP1,0.0020311235053096983
MAPK3,0.0020158972459950126
AKR1C2,0.002001913570645688
ALB,0.0019900311784065636
MC4R,0.0019478516468264312
CD4,0.001897046651345281
TP53,0.0018644499689422294
DYNLT1,0.0018254751725921541
EDNRB,0.0017913763090563622
ACE,0.0017579123135335857
SCN5A,0.0017541603828837545
CBR1,0.001712960648523944
KCNQ3,0.0016833802428399157
NOS3,0.0016624309410458317
POP5,0.0016539225609605193
FOS,0.001622959475928667
IL2,0.0016222016606524592
ADCY10,0.001599526444188008
GCG,0.0015599929510094234
PTGS2,0.001539903944293051
GABRR2,0.0015263247356472529
CALM3,0.0015228632680263808
GABRD,0.0015104643631218997
CBR3,0.001479349815641673
HRH2,0.0014778136459041406
GABRE,0.0014674013057501174
KCNH7,0.0014581252479889497
CYP51A1,0.0014526444721258327
GABRB2,0.0014477965671935258
CYP2A6,0.0014392481880137458
BDNF,0.0014358791253239792
AKR1C1,0.0013904818461188463
GABRG2,0.0013768902023649926
PON1,0.0013680427299693392
AKR1C3,0.0013283228518175996
BMPR2,0.0013037452926369137
CCR3,0.0012952766863139952
HES4,0.0012889085549274615
NAT1,0.0012640704825947109
UTP25,0.0012623029968996606
IL10,0.0012589212356146605
DHFR,0.0012516239613478987
SST,0.0012319040249677451
CES1,0.001226542809096231
GABRB1,0.0012206462116059926
EMB,0.0012118637304744564
DHRS7,0.0012083834881306658
GLUD1,0.0011981734699239488
GHRL,0.0011882436125199428
TBXAS1,0.0011875957262901904
OTC,0.0011804924276325756
KCNH6,0.0011781863099614702
MRPS18C,0.0011747846099281268
MMP9,0.0011692493492763323
GNRHR,0.0011593541838104363
BHMT2,0.0011467628588017137
GRIK2,0.0011352509155606505
HTR5A,0.0011329775323553949
GSR,0.0011319191412429148
PGK1,0.0011194666211947794
KCND1,0.0011156345831465407
KCND3,0.0011083074649739877
PRSS1,0.001095722676227606
ESR2,0.001091550349225631
EDN1,0.0010859291727087974
CASP8,0.001080785977214973
UGT1A1,0.0010776011142090169
EBP,0.001073271134782708
CHRNA4,0.0010673728112607838
CASP7,0.0010517088289938503
SLC15A1,0.0010413799116187408
WIPI1,0.0010341136328726704
MMP1,0.0010312026269131054
SLC25A13,0.0010267455125255525
WIPI2,0.0010100985222957905
DCLRE1C,0.001007725462751331
IL1B,0.00100464685906628
MMP2,0.000996373185019967
GSTM1,0.0009961850796274844
NOS2,0.000995531108362457
CRP,0.0009816468231841726
POR,0.0009734155960453913
CHRFAM7A,0.0009720025172603666
DCLRE1A,0.0009675675950031014
ERBB2,0.0009614465752428627
GABRR1,0.0009606839078864167
HRH4,0.0009509495605832741
AOX1,0.0009424469681136342
MPI,0.0009376911577673786
KCNA5,0.000937353962678783
HTR3D,0.0009313387937765733
HES1,0.0009285999675851618
IL4,0.0009269660328150123
CPS1,0.0009179710897807133
KCNC1,0.0009142637825151699
ASL,0.0008957921929959949
GRM3,0.0008919387869551614
GRM7,0.0008916911700961665
UGT1A9,0.0008875804137540438
NAGS,0.0008811231362166029
PLAT,0.0008801893558255077
SLC22A8,0.000876647834455162
SYN1,0.0008747232983885293
MC3R,0.0008650506945153506
CFTR,0.0008650424140819406
CHRNA10,0.0008622231756055008
POP4,0.0008552846121095289
GRIN2A,0.0008540488239193842
ATP4A,0.0008468962106577588
SELP,0.0008418748426358643
HEXB,0.0008374212653572651
HMOX1,0.0008342476677442945
MPO,0.0008286498106794583
OXA1L,0.0008082278214186682
CHRNA2,0.0008081267192066133
TH,0.0008023512558198338
KCNC3,0.0008022791340362947
CD248,0.0007983226563687581
SLC22A6,0.0007957965439448663
SRY,0.000794599718607335
CEBPZ,0.0007917504989635321
ICAM1,0.0007889425010890622
GPR45,0.0007875895630359634
KCNJ1,0.0007863792699335446
NARS2,0.000785642704039787
HRH3,0.0007757009146797756
SERPINE1,0.000772423022909747
KCNC2,0.0007583241067487118
CYP3A43,0.0007542293186357642
PRSS3,0.0007528111953439165
APOB,0.0007518808442993103
SERPINA6,0.0007411006045044229
KCNB2,0.0007404350303314651
MRPS18A,0.0007382962686268015
GBA,0.0007353639704238622
FMO3,0.0007350373301280327
CASR,0.0007331220027764802
NPC1,0.0007273210529416915
TF,0.0007201570726841173
CYP17A1,0.0007170986643982095
GANC,0.000716749933001485
CYP11B2,0.0007132117595368428
LEP,0.0007106312486180908
PPIG,0.0007076925115219385
CYP11B1,0.0007076770055318946
ATP12A,0.0007035235127540093
ALDH7A1,0.000699659750609605
UBAC1,0.0006991739156772635
CSN3,0.0006892382699929793
ARID4A,0.000675460549663421
SLC25A15,0.0006738707852649129
KCNA6,0.000669862982526679
SHBG,0.0006633381655488511
CYP2C18,0.0006549479915848659
F8,0.00065489799165339
SLC5A3,0.0006538613280766204
JAK2,0.0006442780790227979
FN1,0.000644013066059487
IMPDH1,0.0006438830138563525
KLK3,0.0006393135799663848
PRDM10,0.0006388195053060758
GAA,0.0006382819117342366
KRAS,0.0006361804187220096
PPARG,0.0006361382825093579
NFE2L2,0.0006331515214612867
IFNG,0.0006309608569131863
KCNQ4,0.000629365720109987
F2,0.000627812801489149
ALPG,0.0006276578480243148
KCND2,0.0006257438480071773
GYG1,0.0006238394411817272
UGT1A3,0.0006204387041318147
UGT1A10,0.0006191014378532734
SLC6A17,0.0006159644703655175
GPR173,0.000615946744773125
IMPDH2,0.0006159263799693176
GMPR,0.0006131680535201651
GNRH1,0.0006104917723427625
FGF2,0.0006084320368949565
CSF3,0.0006081775416075516
CHIT1,0.0006074837836842824
CYB5R3,0.0005946023548308252
NTS,0.0005937655718293847
SULT2A1,0.0005927601766393846
HTR3B,0.000592308605711793
ABCC1,0.0005920065927109229
OXTR,0.0005907945443873835
RARA,0.0005863629128793534
CCL2,0.0005852373878554784
COMT,0.0005846051543351665
SLC6A7,0.0005813238199564656
UGT2B7,0.0005809936831645325
TGFB1,0.0005799777810811293
SLC1A1,0.0005792063290123512
BGLAP,0.0005763206093279303
GPR176,0.0005759149410851088
SLC2A3,0.0005757589558278808
CTSA,0.0005718099042854365
CA4,0.0005660292388262666
RELA,0.0005629462925130284
AVP,0.0005621297703486651
PLG,0.0005612472474015059
