,Drug ID,Drug Name,CAS No.,# Properties,# Property Values,,
1,DDPD00006,Bivalirudin,128270-60-0,4,14,,
2,DDPD00007,Leuprolide,53714-56-0,12,16,,
3,DDPD00014,Goserelin,65807-02-5,8,8,,
4,DDPD00027,Gramicidin D,1405-97-6,1,1,,
5,DDPD00035,Desmopressin,16679-58-6,10,19,,
6,DDPD00050,Cetrorelix,120287-85-6,6,10,,
7,DDPD00067,Vasopressin,11000-17-2,2,2,,
8,DDPD00080,Daptomycin,103060-53-3,7,16,,
9,DDPD00091,Cyclosporine,59865-13-3,16,42,,
10,DDPD00104,Octreotide,83150-76-9,10,26,,
11,DDPD00106,Abarelix,183552-38-7,4,4,,
12,DDPD00114,Pyridoxal phosphate,54-47-7,2,2,,
13,DDPD00115,Cyanocobalamin,68-19-9,10,13,,
14,DDPD00118,Ademetionine,29908-03-0,2,2,,
15,DDPD00119,Pyruvic acid,127-17-3,5,5,,
16,DDPD00120,Phenylalanine,63-91-2,4,4,,
17,DDPD00121,Biotin,58-85-5,4,4,,
18,DDPD00122,Choline,62-49-7,3,3,,
19,DDPD00123,L-Lysine,56-87-1,4,4,,
20,DDPD00126,Ascorbic acid,50-81-7,9,11,,
21,DDPD00128,Aspartic acid,56-84-8,5,5,,
22,DDPD00129,Ornithine,70-26-8,4,4,,
23,DDPD00130,L-Glutamine,56-85-9,8,8,,
24,DDPD00131,Adenosine phosphate,61-19-8,3,3,,
25,DDPD00132,alpha-Linolenic acid,463-40-1,4,4,,
26,DDPD00134,Methionine,63-68-3,5,5,,
27,DDPD00135,Tyrosine,60-18-4,6,7,,
28,DDPD00136,Calcitriol,32222-06-3,12,42,,
29,DDPD00137,Lutein,127-40-2,2,2,,
30,DDPD00138,Cystine,56-89-3,4,4,,
31,DDPD00139,Succinic acid,110-15-6,7,8,,
32,DDPD00140,Riboflavin,83-88-5,7,7,,
33,DDPD00141,N-Acetylglucosamine,7512-17-6,4,4,,
34,DDPD00142,Glutamic acid,56-86-0,4,4,,
35,DDPD00143,Glutathione,70-18-8,5,14,,
36,DDPD00144,Phosphatidyl serine,1446756-47-3,2,3,,
37,DDPD00145,Glycine,56-40-6,5,12,,
38,DDPD00146,Calcifediol,19356-17-3,3,4,,
39,DDPD00148,Creatine,57-00-1,4,4,,
40,DDPD00150,Tryptophan,73-22-3,6,6,,
41,DDPD00151,Cysteine,52-90-4,4,4,,
42,DDPD00152,Thiamine,70-16-6,4,7,,
43,DDPD00153,Ergocalciferol,50-14-6,7,24,,
44,DDPD00155,Citrulline,372-75-8,4,4,,
45,DDPD00156,Threonine,72-19-5,5,5,,
46,DDPD00157,NADH,58-68-4,2,2,,
47,DDPD00158,Folic acid,59-30-3,8,28,,
48,DDPD00159,Icosapent,10417-94-4,1,1,,
49,DDPD00161,Valine,72-18-4,4,4,,
50,DDPD00162,Vitamin A,68-26-8,6,23,,
51,DDPD00163,Vitamin E,59-02-9,7,10,,
52,DDPD00165,Pyridoxine,65-23-6,7,34,,
53,DDPD00166,Lipoic acid,1200-22-2,6,9,,
54,DDPD00169,Cholecalciferol,67-97-0,6,6,,
55,DDPD00170,Menadione,58-27-5,5,5,,
56,DDPD00173,Adenine,73-24-5,5,5,,
57,DDPD00174,Asparagine,70-47-3,5,5,,
58,DDPD00175,Pravastatin,81093-37-0,16,39,,
59,DDPD00176,Fluvoxamine,54739-18-3,8,11,,
60,DDPD00177,Valsartan,137862-53-4,15,32,,
61,DDPD00178,Ramipril,87333-19-5,14,41,,
62,DDPD00179,Masoprocol,27686-84-6,3,3,,
63,DDPD00180,Flunisolide,3385-03-3,7,19,,
64,DDPD00181,Baclofen,1134-47-0,17,37,,
65,DDPD00182,Amphetamine,300-62-9,13,28,,
66,DDPD00183,Pentagastrin,5534-95-2,3,3,,
67,DDPD00184,Nicotine,54-11-5,15,35,,
68,DDPD00185,Cevimeline,107233-08-9,9,12,,
69,DDPD00186,Lorazepam,846-49-1,18,42,,
70,DDPD00187,Esmolol,81147-92-4,9,26,,
71,DDPD00188,Bortezomib,179324-69-7,9,23,,
72,DDPD00189,Ethchlorvynol,113-18-8,5,6,,
73,DDPD00190,Carbidopa,28860-95-9,17,24,,
74,DDPD00191,Phentermine,122-09-8,15,19,,
75,DDPD00192,Indecainide,74517-78-5,5,5,,
76,DDPD00193,Tramadol,27203-92-5,17,53,,
77,DDPD00194,Vidarabine,24356-66-9,3,3,,
78,DDPD00195,Betaxolol,63659-18-7,14,23,,
79,DDPD00196,Fluconazole,86386-73-4,17,45,,
80,DDPD00197,Troglitazone,97322-87-7,4,4,,
81,DDPD00198,Oseltamivir,196618-13-0,10,28,,
82,DDPD00199,Erythromycin,114-07-8,17,57,,
83,DDPD00200,Hydroxocobalamin,13422-51-0,4,5,,
84,DDPD00201,Caffeine,58-08-2,18,32,,
85,DDPD00202,Succinylcholine,306-40-1,2,18,,
86,DDPD00203,Sildenafil,139755-83-2,14,40,,
87,DDPD00204,Dofetilide,115256-11-6,11,18,,
88,DDPD00205,Pyrimethamine,58-14-0,10,20,,
89,DDPD00206,Reserpine,50-55-5,7,20,,
90,DDPD00207,Azithromycin,83905-01-5,13,72,,
91,DDPD00208,Ticlopidine,55142-85-3,8,15,,
92,DDPD00209,Trospium,47608-32-2,7,13,,
93,DDPD00210,Adapalene,106685-40-9,9,10,,
94,DDPD00211,Midodrine,42794-76-3,9,13,,
95,DDPD00213,Pantoprazole,102625-70-7,16,42,,
96,DDPD00214,Torasemide,56211-40-6,12,20,,
97,DDPD00215,Citalopram,59729-33-8,15,41,,
98,DDPD00216,Eletriptan,143322-58-1,6,9,,
99,DDPD00217,Bethanidine,55-73-2,3,3,,
100,DDPD00218,Moxifloxacin,151096-09-2,13,38,,
101,DDPD00219,Oxyphenonium,14214-84-7,3,3,,
102,DDPD00220,Nelfinavir,159989-64-7,12,22,,
103,DDPD00221,Isoetharine,79490-84-9,1,1,,
104,DDPD00222,Glimepiride,93479-97-1,12,31,,
105,DDPD00223,Diflorasone,2557-49-5,2,5,,
106,DDPD00224,Indinavir,150378-17-9,9,12,,
107,DDPD00225,Gadodiamide,131410-48-5,3,8,,
108,DDPD00226,Guanadrel,40580-59-4,4,4,,
109,DDPD00227,Lovastatin,75330-75-5,15,37,,
110,DDPD00228,Enflurane,13838-16-9,6,8,,
111,DDPD00229,Cefotiam,61622-34-2,6,7,,
112,DDPD00230,Pregabalin,148553-50-8,11,30,,
113,DDPD00231,Temazepam,846-50-4,14,24,,
114,DDPD00233,Aminosalicylic acid,65-49-6,10,17,,
115,DDPD00234,Reboxetine,71620-89-8,7,8,,
116,DDPD00235,Milrinone,78415-72-2,10,20,,
117,DDPD00236,Pipobroman,54-91-1,3,3,,
118,DDPD00237,Butabarbital,125-40-6,5,11,,
119,DDPD00238,Nevirapine,129618-40-2,14,51,,
120,DDPD00239,Oxiconazole,64211-45-6,1,4,,
121,DDPD00240,Alclometasone,67452-97-5,1,1,,
122,DDPD00241,Butalbital,77-26-9,12,15,,
123,DDPD00242,Cladribine,4291-63-8,8,15,,
124,DDPD00243,Ranolazine,95635-55-5,16,23,,
125,DDPD00244,Mesalazine,89-57-6,11,39,,
126,DDPD00245,Benzatropine,86-13-5,13,19,,
127,DDPD00246,Ziprasidone,146939-27-7,12,36,,
128,DDPD00247,Methysergide,361-37-5,2,2,,
129,DDPD00248,Cabergoline,81409-90-7,8,12,,
130,DDPD00249,Idoxuridine,54-42-2,4,4,,
131,DDPD00250,Dapsone,80-08-0,15,40,,
132,DDPD00251,Terconazole,67915-31-5,7,10,,
133,DDPD00252,Phenytoin,57-41-0,14,29,,
134,DDPD00253,Medrysone,2668-66-8,2,2,,
135,DDPD00254,Doxycycline,564-25-0,15,60,,
136,DDPD00255,Diethylstilbestrol,56-53-1,4,4,,
137,DDPD00256,Lymecycline,992-21-2,13,13,,
138,DDPD00257,Clotrimazole,23593-75-1,7,11,,
139,DDPD00258,Calcium acetate,62-54-4,4,29,,
140,DDPD00259,Sulfanilamide,63-74-1,7,12,,
141,DDPD00260,Cycloserine,68-41-7,5,6,,
142,DDPD00261,Anagrelide,68475-42-3,7,16,,
143,DDPD00262,Carmustine,154-93-8,9,18,,
144,DDPD00263,Sulfisoxazole,127-69-5,10,10,,
145,DDPD00264,Metoprolol,51384-51-1,17,47,,
146,DDPD00265,Crotamiton,483-63-6,5,11,,
147,DDPD00266,Dicoumarol,66-76-2,4,7,,
148,DDPD00267,Cefmenoxime,65085-01-0,7,8,,
149,DDPD00268,Ropinirole,91374-21-9,15,29,,
150,DDPD00270,Isradipine,75695-93-1,12,22,,
151,DDPD00271,Diatrizoate,117-96-4,2,2,,
152,DDPD00272,Betazole,105-20-4,5,5,,
153,DDPD00273,Topiramate,97240-79-4,17,53,,
154,DDPD00274,Cefmetazole,56796-20-4,8,9,,
155,DDPD00275,Olmesartan,144689-24-7,15,24,,
156,DDPD00276,Amsacrine,51264-14-3,7,8,,
157,DDPD00277,Theophylline,58-55-9,16,49,,
158,DDPD00278,Argatroban,74863-84-6,7,12,,
159,DDPD00279,Liothyronine,6893-02-3,14,26,,
160,DDPD00280,Disopyramide,3737-09-5,10,11,,
161,DDPD00281,Lidocaine,137-58-6,17,58,,
162,DDPD00282,Pamidronic acid,40391-99-9,10,21,,
163,DDPD00283,Clemastine,15686-51-8,4,11,,
164,DDPD00284,Acarbose,56180-94-0,7,11,,
165,DDPD00285,Venlafaxine,93413-69-5,13,43,,
166,DDPD00286,Conjugated estrogens,12126-59-9,10,10,,
167,DDPD00287,Travoprost,157283-68-6,8,9,,
168,DDPD00288,Amcinonide,51022-69-6,2,5,,
169,DDPD00289,Atomoxetine,83015-26-3,15,40,,
170,DDPD00290,Bleomycin,11056-06-7,7,10,,
171,DDPD00291,Chlorambucil,305-03-3,8,9,,
172,DDPD00292,Etomidate,33125-97-2,8,9,,
173,DDPD00293,Raltitrexed,112887-68-0,6,7,,
174,DDPD00294,Etonogestrel,54048-10-1,11,15,,
175,DDPD00295,Morphine,57-27-2,19,63,,
176,DDPD00296,Ropivacaine,84057-95-4,11,22,,
177,DDPD00297,Bupivacaine,38396-39-3,14,32,,
178,DDPD00298,Dapiprazole,72822-12-9,2,2,,
179,DDPD00299,Penciclovir,39809-25-1,7,8,,
180,DDPD00300,Tenofovir disoproxil,201341-05-1,13,22,,
181,DDPD00301,Flucloxacillin,5250-39-5,5,6,,
182,DDPD00302,Tranexamic acid,1197-18-8,11,22,,
183,DDPD00303,Ertapenem,153832-46-3,9,22,,
184,DDPD00304,Desogestrel,54024-22-5,15,15,,
185,DDPD00305,Mitomycin,50-07-7,9,17,,
186,DDPD00306,Talbutal,115-44-6,4,4,,
187,DDPD00307,Bexarotene,153559-49-0,5,8,,
188,DDPD00308,Ibutilide,122647-31-8,9,15,,
189,DDPD00309,Vindesine,53643-48-4,7,8,,
190,DDPD00310,Chlorthalidone,77-36-1,12,26,,
191,DDPD00312,Pentobarbital,76-74-4,10,18,,
192,DDPD00313,Valproic acid,99-66-1,15,43,,
193,DDPD00314,Capreomycin,11003-38-6,4,12,,
