Isotope_Atom,atom_chiral_undef,cid,Log P_Xlogp3,Heavy_Atom,Compound Complexity_N/A,bond_chiral_undef,charge,Topological_Polar Surface Area,atom_chiral_def,bond_chiral_def,Molecular Weight_N/A,Weight_Monoisotopic,Covalent_Unit,Count_Hydrogen Bond Acceptor,Count_Hydrogen Bond Donor,Mass_Exact,Count_Rotatable Bond
0,0,49806720,5.2,36,867,0,0,72.4,0,0,482.6,482.26817634,1,5,1,482.26817634,3
0,0,2088,-6.5,14,257,0,0,161,0,0,249.10,249.01672575,1,8,6,249.01672575,5
0,0,51263,2.2,30,614,0,0,81.1,0,0,416.5,416.25358890,1,6,0,416.25358890,9
0,1,2092,1.7,28,511,0,0,112,0,0,389.4,389.20630436,1,8,2,389.20630436,8
0,0,5493444,3.5,39,717,0,0,146,4,0,551.8,551.39343642,1,7,4,551.39343642,19
0,0,449171,6.3,22,567,0,0,37.3,0,4,300.4,300.208930132,1,2,1,300.208930132,5
0,1,204,-2.2,11,225,0,0,113,0,0,158.12,158.04399007,1,3,4,158.04399007,1
0,0,135401907,-0.7,10,190,0,0,70.1,0,0,136.11,136.03851076,1,3,2,136.03851076,0
0,0,235905,5.3,22,492,0,0,20.2,6,0,300.5,300.245315640,1,1,1,300.245315640,2
0,0,156054,N/A,12,26.3,0,8,116,0,0,252.48,251.913324,6,7,5,251.913324,0
0,0,123606,1.6,23,483,0,0,64.8,0,0,335.5,335.16674822,1,4,1,335.16674822,6
0,0,11450633,0.6,25,622,0,0,93.7,1,0,339.4,339.16952493,1,5,1,339.16952493,3
0,0,12305761,-0.1,30,630,0,0,168,6,0,418.4,418.12638228,1,9,7,418.12638228,3
0,0,71586929,N/A,18,212,0,0,66.6,0,0,282.12,281.990079,6,7,1,281.990079,3
0,0,56649450,3.2,30,663,0,0,129,1,0,441.5,441.14463062,1,8,2,441.14463062,4
0,0,31209,4.2,15,199,1,0,17.1,0,0,202.29,202.135765193,1,1,0,202.135765193,6
0,2,6654,2.8,10,186,0,0,0,0,0,136.23,136.125200510,1,0,0,136.125200510,0
0,0,24733,3.2,28,686,0,0,80.7,8,0,390.5,390.24062418,1,5,1,390.24062418,4
0,0,104845,3.2,24,569,0,0,54.4,8,0,332.5,332.23514488,1,3,1,332.23514488,1
0,0,2118,2.1,22,434,0,0,43.1,0,0,308.8,308.0828741,1,3,0,308.0828741,1
0,0,5280723,3.2,25,432,0,0,94.8,4,1,354.5,354.24062418,1,5,3,354.24062418,13
0,1,62816,N/A,18,116,0,0,101,0,0,281.83,281.1982382,2,6,5,281.1982382,11
0,0,2123,2.7,15,148,0,0,48.4,0,0,210.28,210.15929460,1,6,0,210.15929460,3
0,0,24012,N/A,4,8,0,0,0,0,0,133.34,131.888096,1,0,0,131.888096,0
0,0,9989226,N/A,5,0,0,0,3,0,0,101.961,101.947821,5,3,0,101.947821,0
0,0,24850,N/A,17,62.2,0,0,266,0,0,342.2,341.818266,5,12,0,341.818266,0
0,0,3678,5.3,21,214,0,0,3.2,0,0,281.4,281.214349865,1,1,0,281.214349865,9
0,0,2130,2.4,11,144,0,0,26,0,0,151.25,151.136099547,1,1,1,151.136099547,0
0,0,6918493,3.8,28,475,0,0,81.5,1,0,378.4,378.15795719,1,6,1,378.15795719,7
0,0,2132,2.6,18,259,0,0,58.3,0,0,378.10,375.97859,1,3,3,377.97654,3
0,1,10616,3.4,21,281,0,0,55.6,0,0,292.4,292.215078140,1,3,1,292.215078140,10
0,0,8277,3,23,361,0,1,43.1,0,0,311.4,311.212338489,1,1,1,311.212338489,7
0,0,2140,1.8,20,390,0,0,95.5,0,0,613.91,613.7696,1,4,3,613.7696,3
0,0,5918,-0.5,8,74.1,0,0,64.9,0,0,109.13,109.063997236,1,3,2,109.063997236,0
0,0,2141,-4.5,12,152,0,0,121,0,0,214.23,214.05410052,1,6,4,214.05410052,7
0,0,37768,-7.9,40,819,0,0,332,16,0,585.6,585.28573644,1,17,13,585.28573644,10
0,0,16231,-0.7,15,279,0,0,159,0,0,229.63,229.0478856,1,5,4,229.0478856,1
0,0,7019,2.8,15,207,0,0,38.9,0,0,194.23,194.084398327,1,2,1,194.084398327,0
0,0,978,0.8,10,128,0,0,63.3,0,0,137.14,137.047678466,1,3,2,137.047678466,1
0,0,564,-3,9,83.1,0,0,63.3,0,0,131.17,131.094628657,1,3,2,131.094628657,5
0,1,2145,1.2,17,321,0,0,72.2,0,0,232.28,232.121177757,1,3,2,232.121177757,2
0,0,2148,-0.9,14,222,0,0,92.4,0,0,194.19,194.06914219,1,4,3,194.06914219,3
0,0,137,-3.8,9,121,0,0,80.4,0,0,131.13,131.058243149,1,4,2,131.058243149,4
0,0,9433,N/A,30,273,0,0,191,0,0,420.43,420.19819929,3,8,4,420.19819929,1
0,0,2157,7.6,31,547,0,0,42.7,0,0,645.3,645.02369,1,4,0,645.02369,11
0,0,10275,1.9,13,170,0,0,93.2,0,0,191.26,191.05171847,1,4,2,191.05171847,1
0,1,2159,1.5,25,549,0,0,110,0,0,369.5,369.17222752,1,6,2,369.17222752,7
0,0,2160,5,21,331,0,0,3.2,0,0,277.4,277.183049738,1,1,0,277.183049738,3
0,1,2162,3,28,647,0,0,99.9,0,0,408.9,408.1451996,1,7,2,408.1451996,10
0,0,222,-0.7,1,0,0,0,1,0,0,17.031,17.026549100,1,1,1,17.026549100,0
0,0,14013,N/A,5,24.8,0,0,61.4,0,0,79.056,79.026943022,2,3,2,79.026943022,0
0,0,517111,N/A,6,18.8,0,0,65.2,0,0,96.09,96.05349212,3,3,2,96.05349212,0
0,0,25517,N/A,2,0,0,0,1,0,0,53.49,53.0032268,2,1,1,53.0032268,0
0,1,54260,5.7,23,336,0,0,12.5,2,0,317.5,317.271864740,1,2,0,317.271864740,6
0,0,2170,2.6,22,424,0,0,36.9,0,0,313.8,313.0981898,1,3,1,313.0981898,1
0,0,33613,-2,25,590,0,0,158,4,0,365.4,365.10454189,1,7,4,365.10454189,4
0,0,5280965,0,65,1670,0,0,320,19,7,924.1,923.48784986,1,18,12,923.48784986,3
0,0,6249,-1.1,24,562,0,0,138,4,0,349.4,349.10962727,1,6,3,349.10962727,4
0,0,65016,2.9,35,745,0,0,140,3,0,505.6,505.22465702,1,8,3,505.22465702,12
0,0,2179,4,28,601,0,0,88.7,0,0,393.5,393.11471265,1,6,2,393.11471265,5
0,0,10026,1.8,8,56.4,0,0,38.7,0,0,117.15,117.078978594,1,3,0,117.078978594,4
0,0,14759,4.4,13,133,0,0,20.2,0,0,178.27,178.135765193,1,1,1,178.135765193,4
0,0,2164,2.1,16,303,0,0,75.3,0,0,226.27,226.13174244,1,3,2,226.13174244,4
0,1,10767,3,17,247,0,0,29.5,0,0,235.32,235.157228913,1,3,0,235.157228913,6
0,0,135409400,1.6,16,360,0,0,44.7,0,0,256.08,254.9966172,1,2,1,254.9966172,0
0,0,2187,2.1,22,456,0,0,78.3,0,0,293.4,293.16404563,1,4,0,293.16404563,4
0,0,166548,2.3,82,2150,0,0,377,15,0,1140.2,1139.50629389,1,17,14,1139.50629389,14
0,0,2200,2.6,20,314,0,0,27.6,0,0,265.35,265.157897619,1,2,1,265.157897619,5
0,0,24872560,3,33,886,0,0,121,0,0,477.4,477.08825856,1,9,1,477.08825856,3
0,0,11315474,4.1,30,608,0,0,90.7,0,0,397.5,397.19026037,1,5,2,397.19026037,6
0,0,10182969,2.2,34,777,0,0,111,0,0,459.5,459.19065430,1,5,1,459.19065430,5
0,0,6005,2.3,20,374,0,0,43.7,1,0,267.32,267.125928785,1,3,2,267.125928785,0
0,0,2216,1.3,15,246,0,0,62.4,0,0,245.11,244.0282517,1,2,3,244.0282517,2
0,0,11561674,1.8,32,825,0,0,127,1,0,460.5,460.13042228,1,7,1,460.13042228,8
0,0,135413536,4.2,37,810,0,0,75.2,3,0,534.4,534.15018768,1,12,2,534.15018768,6
0,57,22833874,-25.4,454,16700,0,0,2820,0,0,6511,6507.0413833,1,97,93,6510.0514478,111
0,0,60789,0.9,23,320,0,0,93,1,0,317.4,317.16270821,1,5,5,317.16270821,8
0,0,100528,1.8,38,753,0,0,153,7,0,534.6,534.21011190,1,11,4,534.21011190,10
0,1,92722,1.3,35,887,0,0,189,3,0,508.6,508.24678944,1,8,5,508.24678944,9
0,0,6322,-4.2,12,176,0,0,128,1,0,174.20,174.11167570,1,4,4,174.11167570,5
0,0,644077,-4.8,75,2070,0,0,515,8,0,1084.2,1083.43785492,1,16,14,1083.43785492,19
0,0,60795,4.6,30,559,0,0,44.8,0,0,448.4,447.1480325,1,4,1,447.1480325,7
0,0,14888,N/A,5,0,0,0,3,0,0,197.841,197.82793,5,3,0,197.82793,0
0,0,68911,3.1,21,429,0,0,46.2,8,0,298.37,298.17802393,1,5,0,298.17802393,1
0,0,3000518,2.5,20,415,0,0,57.2,8,0,284.35,284.16237386,1,5,1,284.16237386,0
0,1,32170,2.8,19,325,0,0,95.7,0,0,284.38,284.11946368,1,5,2,284.11946368,7
0,0,54670067,-1.6,12,232,0,0,107,2,0,176.12,176.03208797,1,6,4,176.03208797,2
0,0,3036780,3.8,20,363,0,0,12.5,2,0,285.8,285.0920418,1,2,0,285.0920418,0
0,0,6267,-3.4,9,134,0,0,106,1,0,132.12,132.05349212,1,4,3,132.05349212,3
0,0,5960,-2.8,9,133,0,0,101,1,0,133.10,133.03750770,1,5,3,133.03750770,3
0,0,2244,1.2,13,212,0,0,63.6,0,0,180.16,180.04225873,1,4,1,180.04225873,3
0,0,2247,6,34,599,0,0,42.3,0,0,458.6,458.24818979,1,5,1,458.24818979,8
0,0,11219835,3.1,21,382,0,0,76.2,0,0,284.24,284.05972032,1,6,1,284.05972032,3
0,0,148192,5.6,51,1110,0,0,171,4,0,704.9,704.38974802,1,9,5,704.38974802,18
0,1,2249,0.2,19,263,0,0,84.6,0,0,266.34,266.16304257,1,4,3,266.16304257,8
0,0,72163100,3.4,43,1110,0,0,104,4,0,603.5,603.17050859,1,11,2,603.17050859,4
0,0,54841,3.7,19,237,0,0,21.3,1,0,255.35,255.162314293,1,2,1,255.162314293,6
0,0,60823,5,41,822,0,0,112,2,0,558.6,558.25300038,1,6,4,558.25300038,12
0,0,5311010,-1.9,68,1770,0,0,416,9,0,994.2,993.44120896,1,15,11,993.44120896,18
0,0,74989,5.2,26,595,0,0,54.4,0,0,366.8,366.1022722,1,3,1,366.1022722,2
0,4,47319,7.9,67,1390,0,2,126,0,0,929.1,928.50852574,1,12,0,928.50852574,26
0,1,174174,1.8,21,353,0,0,49.8,2,0,289.4,289.16779360,1,4,1,289.16779360,5
0,0,9869929,2.6,34,642,0,0,125,1,0,483.9,483.1785654,1,9,3,483.1785654,9
0,0,118023034,1.9,37,752,0,0,106,1,0,498.6,498.24041907,1,9,1,498.24041907,5
0,0,9852519,4,42,935,0,0,158,0,0,649.7,648.1510867,1,10,2,648.1510867,7
0,0,9835049,-1.8,17,457,0,0,139,2,0,265.25,265.03685625,1,6,2,265.03685625,3
0,0,16132300,-15.9,234,7580,0,0,1470,31,0,3326.8,3324.7401145,1,51,51,3325.7434694,115
0,0,6450551,4.2,28,557,0,0,96,0,1,386.5,386.12013238,1,4,2,386.12013238,5
0,0,9444,-2.2,17,384,0,0,141,4,0,244.20,244.08076950,1,5,4,244.08076950,2
0,0,19861,3.6,22,417,0,0,16.1,0,0,290.4,290.178298710,1,2,0,290.178298710,0
0,0,2265,0.1,19,354,0,0,143,0,0,277.27,277.03819367,1,7,1,277.03819367,2
0,0,2266,1.6,13,147,0,0,74.6,0,0,188.22,188.10485899,1,4,2,188.10485899,8
0,1,2267,4.4,27,558,0,0,35.9,0,0,381.9,381.1607901,1,3,0,381.1607901,3
0,0,135409642,4.9,42,1100,0,0,140,0,0,568.5,568.15941374,1,10,1,568.15941374,10
0,0,447043,4,52,1150,0,0,180,18,0,749.0,748.50852574,1,14,5,748.50852574,7
0,0,5742832,0.3,28,808,0,0,238,2,1,435.4,435.05185486,1,12,4,435.05185486,7
0,0,20469,2.2,28,805,0,0,94.8,8,0,408.9,408.1703517,1,5,3,408.1703517,2
0,0,5388906,7.2,37,715,0,0,45.6,2,0,555.5,554.15689,1,4,1,554.15689,8
0,0,11950170,4.8,34,678,0,0,105,0,0,452.5,452.19607403,1,6,3,452.19607403,7
0,0,117947097,2,26,675,0,0,95.8,3,0,383.3,383.04391352,1,8,1,383.04391352,3
0,20,772,-10.8,70,2410,0,0,652,0,0,1134.9,1134.0069961,1,38,15,1134.0069961,21
0,0,10472693,4.8,24,351,0,0,94.8,0,0,344.5,344.25627424,1,5,3,344.25627424,14
0,0,65628,2.9,23,380,0,0,58.4,0,0,358.3,357.1010823,1,4,1,357.1010823,9
0,1,2315,1.2,27,740,0,0,135,0,0,421.4,421.03778277,1,10,3,421.03778277,3
0,0,65054,N/A,39,696,0,0,124,3,0,545.7,545.23482778,2,6,3,545.23482778,9
0,0,21102,2.2,23,442,0,0,81.7,0,0,313.30,313.09502258,1,5,1,313.09502258,6
0,0,16363,3.7,28,556,0,0,52.7,0,0,381.4,381.18525518,1,4,1,381.18525518,6
0,1,2327,-1.3,18,278,0,0,148,0,0,257.24,257.10117059,1,7,7,257.10117059,5
0,0,2330,7.9,23,253,0,1,0,0,0,318.6,318.316075280,1,0,0,318.316075280,14
0,0,2333,5.7,22,405,0,0,50.4,0,0,424.1,421.91532,1,3,1,423.91327,3
0,1,5572,4.5,22,314,0,0,23.5,0,0,301.5,301.240564612,1,2,1,301.240564612,5
0,0,2337,1.9,12,151,0,0,52.3,0,0,165.19,165.078978594,1,3,1,165.078978594,3
0,0,243,1.9,9,103,0,0,37.3,0,0,122.12,122.036779430,1,2,1,122.036779430,1
0,0,7187,3.5,18,258,0,0,52.6,0,0,242.23,242.05790880,1,4,0,242.05790880,5
0,0,2343,1.7,26,739,0,0,161,0,0,431.9,430.9834972,1,7,2,430.9834972,5
0,0,1201549,4.5,23,340,0,0,12.5,2,0,307.4,307.193614421,1,2,0,307.193614421,4
0,0,12555,3.9,23,344,0,0,30.3,0,0,309.4,309.184112366,1,3,0,309.184112366,7
0,0,244,1.1,8,55.4,0,0,20.2,0,0,108.14,108.057514874,1,1,1,108.057514874,1
0,0,2345,4,16,213,0,0,26.3,0,0,212.24,212.083729621,1,2,0,212.083729621,4
0,0,5273469,3.8,18,271,0,0,26.3,0,1,238.28,238.099379685,1,2,0,238.099379685,5
0,0,7180,3.6,17,238,0,0,46.5,0,0,228.24,228.078644241,1,3,1,228.078644241,4
0,0,7191,2.4,16,224,0,0,39.2,0,0,213.23,213.078978594,1,3,0,213.078978594,4
0,0,5904,1.8,23,530,0,0,112,3,0,334.4,334.09872823,1,5,2,334.09872823,4
0,0,137528262,4.5,41,938,0,0,109,1,0,562.6,562.21042212,1,9,3,562.21042212,9
0,0,5280489,13.5,40,1120,0,0,0,0,9,536.9,536.438201786,1,0,0,536.438201786,10
0,0,239,-3,6,52.8,0,0,63.3,0,0,89.09,89.047678466,1,3,2,89.047678466,2
0,0,2366,0.4,10,83.3,0,0,24.9,0,0,136.19,136.100048391,1,2,1,136.100048391,3
0,0,247,0.5,8,87.6,0,0,40.1,0,0,117.15,117.078978594,1,2,0,117.078978594,1
0,0,9782,1.9,28,805,0,0,94.8,8,0,392.5,392.19990218,1,6,3,392.19990218,2
0,1,2369,2.8,22,286,0,0,50.7,0,0,307.4,307.21474379,1,4,2,307.21474379,11
0,1,2370,0,11,140,0,1,52.3,0,0,161.22,161.129002789,1,2,1,161.129002789,4
0,0,2368,0.9,13,160,0,0,36.4,0,0,177.25,177.126597491,1,1,2,177.126597491,4
0,0,185457,-0.1,25,519,0,0,167,0,0,367.4,367.08380644,1,7,4,367.08380644,10
0,0,4133,2.3,11,144,0,0,46.5,0,0,152.15,152.047344113,1,3,1,152.047344113,2
0,0,82146,7.6,26,551,0,0,37.3,0,0,348.5,348.208930132,1,2,1,348.208930132,3
0,0,39042,3.8,25,452,0,0,75.6,0,0,361.8,361.1080858,1,4,2,361.1080858,7
0,1,2375,2.3,29,750,0,0,116,0,0,430.4,430.06104075,1,9,2,430.06104075,5
0,0,90311989,2.7,32,912,0,0,99.2,3,0,449.4,449.11985517,1,9,2,449.11985517,3
0,1,2378,4.8,24,362,0,0,17.8,0,0,310.4,310.146998583,1,1,0,310.146998583,4
0,0,185460,2.3,34,641,0,0,67.6,0,0,463.6,463.28349205,1,5,1,463.28349205,10
0,0,5311027,2.8,30,541,0,0,89.8,5,2,415.6,415.27225866,1,4,4,415.27225866,12
0,0,10288191,3.1,27,521,0,0,88.4,0,0,441.2,440.02956,1,7,3,440.02956,6
0,0,171548,0.3,16,298,0,0,104,3,0,244.31,244.08816355,1,4,3,244.08816355,5
0,4,2381,4.3,23,422,0,0,23.5,0,0,311.5,311.224914549,1,2,1,311.224914549,5
0,0,2391,3.8,27,457,0,0,65.5,0,0,361.4,361.13140809,1,5,0,361.13140809,7
0,0,5359367,N/A,1,0,0,0,0,0,0,208.98040,208.98040,1,0,0,208.98040,0
0,1,2405,1.9,23,278,0,0,60,0,0,325.4,325.22530847,1,5,2,325.22530847,12
0,0,16129704,-7.1,155,4950,0,0,902,16,0,2180.3,2178.9858129,1,35,28,2179.9891678,67
0,10,5360373,-7.5,96,2580,0,1,685,9,0,1415.6,1414.51898128,1,31,20,1414.51898128,36
0,1,10324367,3.1,37,959,0,0,151,4,0,519.7,519.34206955,1,5,4,519.34206955,10
