Log P_Xlogp3,bond_chiral_undef,Isotope_Atom,Count_Hydrogen Bond Donor,charge,Count_Rotatable Bond,Count_Hydrogen Bond Acceptor,atom_chiral_undef,cid,Mass_Exact,Molecular Weight_N/A,bond_chiral_def,Heavy_Atom,atom_chiral_def,Compound Complexity_N/A,Covalent_Unit,Topological_Polar Surface Area,Weight_Monoisotopic
1.9,0,0,3,0,2,5,0,6741,374.20932405,374.5,0,27,8,754,1,94.8,374.20932405
N/A,0,0,0,0,4,3,0,11057,407.2128257,408.0,0,29,0,542,2,9.5,407.2128257
2.2,0,0,0,1,1,3,0,4139,284.12214376,284.4,0,20,0,483,1,43.9,284.12214376
0.8,0,0,1,0,2,2,1,4162,183.125928785,183.25,0,13,0,231,1,46.2,183.125928785
2.3,0,0,2,0,4,3,0,9681,353.21032711,353.5,0,26,3,578,1,57.5,353.21032711
2.7,0,0,2,0,8,5,1,31477,309.19400834,309.4,0,22,0,348,1,67.8,309.19400834
-1.6,0,0,3,0,3,4,0,441350,195.08954328,195.21,0,14,1,211,1,83.6,195.08954328
2.6,0,0,2,0,7,4,0,4168,299.1400546,299.79,0,20,0,300,1,67.6,299.1400546
4.1,0,0,2,0,2,5,1,4170,365.0600902,365.8,0,24,0,594,1,101,365.0600902
1.9,0,0,2,0,9,4,1,4171,267.18344366,267.36,0,19,0,215,1,50.7,267.18344366
-0.4,0,0,6,0,5,8,1,443944,788.8541,789.1,0,32,4,719,1,169,788.8541
0,0,0,1,0,2,4,0,4173,171.06439116,171.15,0,12,0,170,1,83.9,171.06439116
2,0,0,0,0,3,3,0,4174,226.110613074,226.27,0,17,0,275,1,42.9,226.110613074
4,0,0,1,0,3,3,0,71645,242.094294304,242.27,0,18,0,281,1,46.5,242.094294304
2.1,0,0,1,0,3,2,1,4178,179.131014166,179.26,0,13,0,139,1,35.3,179.131014166
-0.2,0,0,3,0,6,9,0,656511,539.11445512,539.6,0,36,4,1080,1,207,539.11445512
3.4,0,0,0,0,0,2,1,4184,264.162648646,264.4,0,20,0,342,1,6.5,264.162648646
5.8,0,0,1,0,12,6,0,60663,495.28972024,495.6,0,36,2,709,1,67.5,495.28972024
-1.6,0,0,16,0,18,24,0,477468,1269.43835072,1270.3,0,89,15,2580,1,519,1269.43835072
5.3,0,0,0,0,6,2,1,4189,415.983074,416.1,0,25,0,417,1,27.1,413.986024
2.5,0,0,0,0,1,3,0,4192,325.0782033,325.8,0,23,0,471,1,30.2,325.0782033
-0.6,0,0,3,0,6,5,1,4195,254.12665706,254.28,0,18,0,262,1,93.8,254.12665706
4.8,0,0,1,0,3,4,0,9829523,570.22670545,570.6,0,43,4,1140,1,77.7,570.22670545
N/A,0,0,10,0,58,20,0,123133557,1276.74102120,1277.5,0,87,9,1950,3,388,1276.74102120
3.8,0,0,1,0,3,3,0,55245,429.266779359,429.6,0,32,5,921,1,40.5,429.266779359
-2.3,0,0,5,0,1,5,0,176077,163.08445790,163.17,0,11,4,132,1,93,163.08445790
-0.6,0,0,4,0,4,5,0,51634,219.14705815,219.28,0,15,4,190,1,84.2,219.14705815
0,0,0,1,0,1,3,0,4197,211.074561919,211.22,0,16,0,419,1,65.8,211.074561919
-0.6,0,0,5,0,3,9,0,54675783,457.18490021,457.5,0,33,4,971,1,165,457.18490021
1.2,0,0,3,0,1,3,0,4201,209.12766012,209.25,0,15,0,329,1,88.9,209.12766012
2.1,0,0,4,0,9,6,0,9865528,396.16199719,396.5,0,28,1,467,1,129,396.16199719
3.3,0,0,0,0,0,3,1,4205,265.157897619,265.35,0,20,0,345,1,19.4,265.157897619
3.7,0,0,2,0,14,5,1,5282381,382.27192431,382.5,1,27,3,487,1,83.8,382.27192431
-0.4,0,0,3,0,4,8,0,5746,334.12771969,334.33,0,24,4,757,1,147,334.12771969
6.2,0,0,0,0,3,0,1,4211,319.950711,320.0,0,18,0,248,1,0,317.953661
1,0,0,8,0,12,10,0,4212,444.20088463,444.5,0,32,0,571,1,163,444.20088463
8.7,0,0,0,2,30,14,2,5281042,1028.56095523,1029.3,1,74,2,1550,1,145,1028.56095523
3.2,0,0,1,0,5,5,0,65906,432.20738760,432.5,0,32,0,728,1,65.8,432.20738760
1.5,0,0,1,0,4,3,0,4235,268.0978555,268.74,0,18,0,262,1,41.6,268.0978555
1.7,0,0,1,0,5,3,1,4236,273.08234989,273.4,0,19,0,302,1,79.4,273.08234989
1.2,0,0,2,0,12,8,0,91270,498.23660143,498.6,0,36,3,742,1,114,498.23660143
-0.8,0,0,4,0,6,7,0,145996610,329.12229995,329.31,0,23,4,534,1,141,329.12229995
N/A,0,0,0,0,0,0,0,23932,97.905404,95.95,0,1,0,0,1,0,97.905404
N/A,0,1,0,0,0,0,0,104976,98.907707,98.907707,0,1,0,0,1,0,98.907707
2.6,0,0,2,0,6,7,0,25062766,414.18042397,414.5,0,31,0,615,1,103,414.18042397
2.7,0,0,2,0,2,4,0,441335,426.1364648,427.4,0,28,8,806,1,74.6,426.1364648
7.7,0,0,2,0,12,5,0,5281040,585.2104429,586.2,1,41,1,891,1,95.7,585.2104429
0.8,0,0,2,0,0,4,0,5288826,285.13649347,285.34,0,21,5,494,1,52.9,285.13649347
0.6,0,0,2,0,4,8,0,152946,401.17508442,401.4,0,29,2,727,1,82.1,401.17508442
3.2,0,0,0,0,7,4,0,4260,279.18344366,279.37,0,20,0,304,1,38.8,279.18344366
0.6,0,0,2,0,3,4,0,4810,241.0730377,241.68,0,16,0,275,1,71.4,241.0730377
3,0,0,4,0,17,9,0,446596,500.29853298,500.6,1,35,8,694,1,146,500.29853298
3.2,0,0,2,0,6,6,0,446541,320.12598835,320.3,1,23,0,485,1,93.1,320.12598835
N/A,0,0,0,0,2,4,0,6433396,250.0752019,251.15,1,15,0,224,2,9.7,250.0752019
5.3,0,0,2,0,4,2,0,92093,266.178298710,266.4,0,20,0,259,1,24.1,266.178298710
4.4,0,0,1,0,3,4,0,7232,264.07549087,264.4,0,17,0,244,1,78.5,264.07549087
6.4,0,0,1,0,6,3,0,5284592,372.26644501,372.5,0,27,2,524,1,46.5,372.26644501
3.1,0,0,0,0,4,2,0,4409,228.115029749,228.29,0,17,0,262,1,26.3,228.115029749
0.7,0,0,4,0,6,5,1,39147,309.19400834,309.4,0,22,2,344,1,82,309.19400834
0.8,0,0,16,0,33,15,0,25077405,1321.63562577,1322.5,0,96,9,2730,1,475,1321.63562577
4.8,0,0,0,0,11,4,2,4417,383.24604391,383.5,0,28,0,465,1,38.8,383.24604391
0.2,0,0,3,0,2,5,0,5311304,357.19400834,357.4,0,26,5,597,1,73.2,357.19400834
1.4,0,0,1,0,2,5,0,4421,232.08479225,232.23,0,17,0,378,1,70.5,232.08479225
2.7,0,0,2,0,2,4,0,5284594,339.18344366,339.4,0,25,4,618,1,52.9,339.18344366
-0.5,0,0,3,0,2,5,1,44230574,329.16270821,329.4,0,24,4,555,1,73.2,329.16270821
2.1,0,0,2,0,2,5,0,5284596,327.14705815,327.4,0,24,4,594,1,70,327.14705815
1.9,0,0,2,0,2,5,0,5360515,341.16270821,341.4,0,25,4,621,1,70,341.16270821
2.6,0,0,1,0,0,2,0,9904,274.193280068,274.4,0,20,6,466,1,37.3,274.193280068
2.1,0,0,1,0,2,1,0,4436,210.115698455,210.27,0,16,0,272,1,24.4,210.115698455
3.3,0,0,1,0,3,3,0,156391,230.094294304,230.26,0,17,1,277,1,46.5,230.094294304
2,0,0,2,0,5,4,0,4440,335.16674822,335.5,0,23,0,483,1,73.6,335.16674822
-1.3,0,0,7,0,3,14,0,5284447,665.30474055,665.7,5,47,14,1220,1,231,665.30474055
3.2,0,0,2,0,6,3,0,5311309,317.19909372,317.4,0,23,1,393,1,66.4,317.19909372
-0.9,0,0,1,0,1,3,0,95286,129.042593085,129.11,0,9,0,138,1,57.6,129.042593085
3,0,0,3,0,6,7,4,71301,405.17516460,405.4,0,29,0,483,1,71,405.17516460
2.2,0,0,2,0,5,8,0,50294,371.10050188,371.3,0,27,0,753,1,121,371.10050188
4.3,0,0,0,0,10,5,0,4449,469.2244530,470.0,0,33,0,649,1,51.6,469.2244530
2.9,0,0,0,0,1,2,1,4450,253.146664230,253.34,0,19,0,274,1,12.5,253.146664230
-0.7,0,0,4,0,3,9,0,3011155,297.10731860,297.27,0,21,4,377,1,149,297.10731860
5.7,0,0,4,0,10,6,0,64143,567.31307810,567.8,0,40,5,829,1,127,567.31307810
-9,0,0,13,0,9,19,0,8378,614.31228554,614.6,0,42,19,872,1,353,614.31228554
1.5,0,0,0,1,3,2,0,4456,223.144652853,223.29,0,16,0,246,1,29.5,223.144652853
1.9,0,0,2,0,4,3,0,151075,254.105527694,254.28,0,19,0,337,1,86.2,254.105527694
4.9,0,0,2,0,11,8,0,9915743,556.1989665,557.0,1,40,0,881,1,112,556.1989665
4.6,0,0,2,0,8,5,0,66599893,453.20524173,453.5,0,34,1,678,1,94.3,453.20524173
-4.2,0,0,8,0,8,12,0,441306,475.30059866,475.6,0,33,11,673,1,200,475.30059866
6.8,0,0,0,0,5,10,0,6451149,578.24803063,578.6,0,41,0,865,1,39.7,578.24803063
2,0,0,1,0,1,4,0,4463,266.11676108,266.30,0,20,0,397,1,58.1,266.11676108
3.8,0,0,1,0,10,8,1,4474,479.20563565,479.5,0,35,0,856,1,114,479.20563565
N/A,0,0,0,0,0,0,0,935,57.935342,58.693,0,1,0,0,1,0,57.935342
4,0,0,2,0,2,4,0,4477,325.9861121,327.12,0,21,0,404,1,95.2,325.9861121
2.1,0,0,0,0,8,4,0,14866,223.12084340,223.27,0,16,0,197,1,48.4,223.12084340
1.3,0,0,1,0,14,14,0,25495,600.14924298,600.5,0,44,4,1020,1,186,600.14924298
0.8,0,0,1,0,4,5,0,47528,211.05930578,211.17,0,15,0,228,1,97,211.05930578
1.2,0,0,0,0,1,2,0,89594,162.115698455,162.23,0,12,1,147,1,16.1,162.115698455
0.4,0,0,1,0,1,3,0,938,123.032028402,123.11,0,9,0,114,1,50.2,123.032028402
0,0,0,1,0,1,2,0,7510,109.052763847,109.13,0,8,0,65.5,1,33.1,109.052763847
2.5,0,0,1,0,4,6,1,54676537,353.08993720,353.3,0,26,0,614,1,109,353.08993720
2.2,0,0,1,0,5,7,0,4485,346.11648630,346.3,0,25,0,608,1,110,346.11648630
0.7,0,0,0,0,4,7,1,6433427,285.04194163,285.28,1,19,0,386,1,126,285.04194163
4.9,0,0,2,0,6,9,0,644241,529.18379284,529.5,0,39,0,817,1,97.6,529.18379284
3.1,0,0,1,0,9,8,1,4497,418.17400117,418.4,0,30,0,736,1,120,418.17400117
-0.4,0,0,0,0,3,5,0,23009,226.10659032,226.23,0,16,0,239,1,76.1,226.10659032
4.3,0,0,2,0,8,7,0,135423438,539.25325455,539.6,0,40,0,892,1,101,539.25325455
2.2,0,0,2,0,3,3,0,24958200,320.16371127,320.4,0,24,1,449,1,72.9,320.16371127
2.2,0,0,3,0,7,8,0,155903259,499.24063901,499.5,0,35,6,964,1,131,499.24063901
3.3,0,0,1,0,7,7,1,4499,388.16343649,388.4,0,28,0,704,1,110,388.16343649
2.3,0,0,0,0,2,8,0,115355,329.05110691,329.23,0,23,0,524,1,97,329.05110691
2.2,0,0,1,0,1,4,0,4506,281.08004122,281.27,0,21,0,452,1,87.3,281.08004122
2.9,0,0,1,0,6,7,1,4507,360.13213636,360.4,0,26,0,661,1,110,360.13213636
0.2,0,0,1,0,0,3,0,944,62.995642894,63.013,0,4,0,24.8,1,66.1,62.995642894
0.2,0,0,0,0,0,1,0,145068,29.997988624,30.006,0,2,0,2,1,18.1,29.997988624
-0.5,0,0,1,0,2,6,0,6604200,238.03381930,238.16,1,17,0,390,1,121,238.03381930
0.2,0,0,2,0,2,5,0,5447130,198.03890469,198.14,1,14,0,261,1,126,198.03890469
0.1,0,0,0,0,0,2,0,947,28.006148008,28.014,0,2,0,8,1,47.6,28.006148008
0.5,0,0,0,0,0,2,0,948,44.001062628,44.013,0,3,0,25.8,1,19.1,44.001062628
1.6,0,0,2,0,9,8,0,3033637,331.11366728,331.5,1,21,0,349,1,140,331.11366728
5,0,0,2,0,4,2,0,6319,260.131348519,260.3,0,20,0,231,1,24.1,260.131348519
2,0,0,1,0,1,3,0,68783,328.20384475,328.4,0,24,6,673,1,54.4,328.20384475
4.2,0,0,2,0,10,3,0,2998,293.19909372,293.4,0,21,0,283,1,58.6,293.19909372
5.5,0,0,1,0,11,2,0,7700,264.208930132,264.4,0,19,0,186,1,29.5,264.208930132
-1.2,0,0,4,0,2,4,0,439260,169.07389321,169.18,0,12,1,142,1,86.7,169.07389321
2.9,0,0,1,0,1,2,0,2997,270.0559907,270.71,0,19,0,376,1,41.5,270.0559907
3.6,1,0,2,0,2,3,0,62930,327.219829168,327.5,0,24,6,641,1,52.8,327.219829168
3,0,0,1,0,1,2,0,6230,298.193280068,298.4,0,22,6,594,1,37.3,298.193280068
-1,0,0,2,0,3,7,0,4539,319.13321961,319.33,0,23,0,519,1,72.9,319.13321961
4.1,0,0,1,0,4,4,0,6540478,369.23039385,369.5,1,27,6,744,1,58.9,369.23039385
3.3,0,0,1,0,2,2,0,13109,312.208930132,312.4,0,23,6,609,1,37.3,312.208930132
4.5,0,0,1,0,3,1,0,4543,263.167399674,263.4,0,20,0,307,1,12,263.167399674
2.7,0,0,0,0,4,8,0,275196,413.14745207,413.4,0,30,2,647,1,75.7,413.14745207
-0.6,0,0,3,0,1,2,0,5251503,120.03573406,120.18,0,7,0,66,1,76.4,120.03573406
-13.7,0,0,40,0,176,167,0,131801471,7124.2829700,7127,0,457,72,19100,1,2860,7122.2762603
-0.2,0,0,12,0,3,18,9,6433272,925.50349992,926.1,6,65,10,1620,1,320,925.50349992
5.7,0,0,3,0,5,4,0,447715,420.32395988,420.6,0,30,11,649,1,77.8,420.32395988
4.6,0,0,1,0,6,2,0,5590,250.193280068,250.38,0,18,0,232,1,29.5,250.193280068
1,0,0,13,0,17,14,0,448601,1018.44048069,1019.2,0,71,10,1740,1,383,1018.44048069
6.8,0,0,5,0,17,11,0,10153627,740.29135685,740.9,0,51,2,1230,1,208,740.29135685
2.5,0,0,3,0,0,3,0,5756,288.17254462,288.4,0,21,6,411,1,60.7,288.17254462
-0.4,0,0,1,0,2,8,1,4583,361.14378429,361.4,0,26,0,634,1,73.3,361.14378429
1,0,0,2,0,3,3,0,8614,304.95489,305.07,0,14,0,232,1,66.4,304.95489
2.9,0,0,1,0,1,4,0,135398745,312.14086783,312.4,0,22,0,432,1,59.1,312.14086783
1.9,0,0,1,0,4,5,0,23725625,434.17541877,434.5,0,32,0,790,1,82.1,434.17541877
3.2,0,0,3,0,8,7,0,158781,446.20663871,446.5,0,33,0,656,1,130,446.20663871
1.8,0,0,4,0,7,6,0,11504295,386.18417193,386.4,0,28,1,521,1,100,386.18417193
1.5,0,0,1,0,5,4,0,5281071,337.16779360,337.4,1,25,0,488,1,49.8,337.16779360
3.1,0,0,4,0,4,8,0,22419,302.05388604,302.24,0,22,0,415,1,140,302.05388604
7.9,0,0,4,0,16,9,0,54767916,893.50511212,894.1,0,65,6,1540,1,179,893.50511212
2.2,0,0,1,0,5,6,1,4594,345.11471265,345.4,0,24,0,453,1,96.3,345.11471265
2.3,0,0,0,0,2,2,1,4595,293.152812238,293.4,0,22,0,440,1,39.8,293.152812238
3.4,0,0,2,0,2,8,0,135565903,411.9977394,413.2,0,27,0,557,1,151,411.9977394
3.6,0,0,1,0,6,4,0,9417,363.231062557,363.5,0,27,0,448,1,30,363.231062557
0.7,0,0,4,0,4,4,1,4086,211.12084340,211.26,0,15,0,177,1,72.7,211.12084340
10,0,0,1,0,23,5,0,3034010,495.39237379,495.7,0,35,4,579,1,81.7,495.39237379
-4.4,0,0,3,0,4,4,0,6262,132.089877630,132.16,0,9,1,95,1,89.3,132.089877630
3.8,0,0,0,0,6,2,1,4601,269.177964357,269.4,0,20,0,260,1,12.5,269.177964357
1.3,0,0,2,0,2,3,0,9796590,307.132076794,307.3,0,23,1,471,1,67.2,307.132076794
1.1,0,0,2,0,8,5,0,65028,312.20490738,312.40,0,22,3,418,1,90.7,312.20490738
1.9,0,0,0,0,1,3,0,44139752,227.08587549,227.24,0,17,1,337,1,41.6,227.08587549
3.7,0,0,2,0,10,7,0,71496458,499.26957332,499.6,0,37,0,752,1,87.6,499.26957332
6.5,0,0,1,0,8,2,0,3036505,378.1386577,378.9,1,27,0,441,1,29.5,378.1386577
N/A,0,0,4,0,0,6,0,9887053,397.060151,397.29,0,15,2,191,3,76.6,397.060151
2.2,0,0,3,0,4,5,1,4612,279.15829154,279.33,0,20,0,332,1,90.1,279.15829154
3.7,0,0,1,0,0,3,0,5878,306.21949481,306.4,0,22,7,503,1,46.5,306.21949481
4.1,0,0,1,0,7,3,0,4615,426.24196159,426.6,0,32,0,574,1,38.8,426.24196159
2.2,0,0,2,0,1,3,1,4616,286.0509053,286.71,0,20,0,407,1,61.7,286.0509053
1.7,0,0,1,0,0,2,0,34312,252.089877630,252.27,0,19,0,382,1,63.4,252.089877630
-0.6,0,0,3,0,3,3,1,7172,167.094628657,167.20,0,12,0,122,1,52.5,167.094628657
3.8,0,0,1,0,12,4,0,4621,467.31479218,467.6,0,34,0,585,1,64.1,467.31479218
1.7,0,0,1,1,6,4,0,6917866,332.18618331,332.4,0,24,5,472,1,59.1,332.18618331
2.1,0,0,2,0,9,4,1,4631,265.16779360,265.35,0,19,0,246,1,50.7,265.16779360
3.1,0,0,1,0,11,5,0,4633,308.20999276,308.4,0,22,0,308,1,64.8,308.20999276
4.2,0,0,1,0,8,4,1,4634,357.23039385,357.5,0,26,0,490,1,49.8,357.23039385
1.2,0,0,1,0,1,5,0,5284603,315.14705815,315.4,0,23,4,553,1,59,315.14705815
-1.1,0,0,0,0,0,2,0,977,31.989829239,31.999,0,2,0,0,1,34.1,31.989829239
2.9,0,0,2,0,3,2,0,4636,260.188863393,260.37,0,19,0,345,1,44.6,260.188863393
4.4,0,0,2,0,0,3,0,5281034,332.23514488,332.5,1,24,7,596,1,57.5,332.23514488
4.3,0,0,1,0,6,4,0,4640,379.22597718,379.5,0,28,0,476,1,40.7,379.22597718
2.7,0,0,1,0,5,3,1,4641,324.14739250,324.4,0,24,0,454,1,60.9,324.14739250
3.2,0,0,3,0,2,3,0,31315,317.10519334,317.3,0,24,0,442,1,69.6,317.10519334
-1.6,0,0,7,0,2,10,0,54675779,460.14818035,460.4,0,33,6,1000,1,202,460.14818035
-2.6,0,0,12,0,17,15,0,439302,1006.43645793,1007.2,0,69,9,1870,1,450,1006.43645793
3.1,0,0,2,0,7,7,0,52938427,404.18484064,404.5,0,30,1,609,1,104,404.18484064
2.5,0,0,4,0,14,14,0,36314,853.33095530,853.9,0,62,11,1790,1,221,853.33095530
3.8,0,0,1,0,4,7,0,46216796,472.24744090,472.6,1,35,0,644,1,68.7,472.24744090
1.8,0,0,2,0,5,8,0,5330286,447.23827319,447.5,0,33,0,775,1,103,447.23827319
2.2,0,0,1,0,4,7,1,115237,426.20671890,426.5,0,31,0,764,1,82.2,426.20671890
6.4,0,0,1,0,14,2,0,985,256.240230259,256.42,0,18,0,178,1,37.3,256.240230259
2.8,0,0,0,0,1,2,0,6337614,296.188863393,296.4,0,22,2,456,1,23.6,296.188863393
-6.9,0,0,6,0,4,8,0,4674,235.00107569,235.07,0,13,0,243,1,161,235.00107569
6.6,0,0,0,2,6,4,0,441289,572.45530840,572.9,0,41,10,1000,1,52.6,572.45530840
3,0,0,4,0,7,3,0,6918837,349.17902698,349.4,1,26,0,474,1,77.2,349.17902698
2.4,0,0,1,0,7,9,1,4679,383.07513347,383.4,0,26,0,490,1,106,383.07513347
N/A,0,0,6,0,7,13,0,56841906,1031.365728,1033.5,0,71,10,1410,6,145,1031.365728
3.9,0,0,0,0,6,5,0,4680,339.14705815,339.4,0,25,0,407,1,49.8,339.14705815
0.5,0,0,2,0,1,2,0,1983,151.063328530,151.16,0,11,0,139,1,49.3,151.063328530
2.4,0,0,1,0,0,1,0,4684,128.0028925,128.55,0,8,0,66.9,1,20.2,128.0028925
3.4,0,0,0,0,0,0,0,4685,145.9690055,147.00,0,8,0,54.9,1,0,145.9690055
0.7,0,0,0,0,0,3,0,31264,132.078644241,132.16,0,9,0,63.3,1,27.7,132.078644241
-0.3,0,0,2,0,0,2,0,7814,108.068748264,108.14,0,8,0,54.9,1,52,108.068748264
N/A,6,0,6,0,64,42,6,168010204,2145.8605570,2146.6,0,143,0,3220,6,643,2144.8572022
3.3,0,0,1,0,5,5,0,119828,370.09872823,370.4,0,26,0,575,1,97.7,370.09872823
5,0,0,3,0,5,3,0,5281104,416.32904526,416.6,2,30,7,676,1,60.7,416.32904526
4.7,0,0,3,0,7,10,0,45110509,765.29446791,765.9,1,55,5,1600,1,198,765.29446791
3.5,0,0,1,0,4,5,0,43815,329.14272166,329.4,0,24,2,402,1,39.7,329.14272166
1.9,0,0,0,0,3,3,3,540288,248.14124450,248.32,0,18,0,419,1,43.4,248.14124450
2.3,0,0,0,0,0,3,0,7251185,248.14124450,248.32,1,18,4,437,1,38.8,248.14124450
4.7,0,0,9,0,18,11,0,9941444,1046.50142372,1047.2,0,77,7,1940,1,281,1046.50142372
N/A,0,0,2,0,14,16,0,77073,1158.2771282,1159.4,0,77,0,1070,3,315,1158.2771282
3.1,0,0,2,0,5,8,0,10113978,437.16339418,437.5,0,31,0,717,1,127,437.16339418
0.5,0,0,4,0,24,10,1,76374506,541.27643161,541.6,0,36,0,654,1,171,541.27643161
-8.6,0,0,12,0,19,20,0,70683024,730.27562525,730.7,0,50,13,1170,1,365,730.27562525
-8,0,0,8,0,24,11,0,121488171,560.31697700,560.6,0,39,2,719,1,252,560.31697700
-2.3,0,0,3,0,15,6,0,86278362,318.21547206,318.41,0,22,1,300,1,111,318.21547206
0.2,0,0,6,0,9,7,0,135410875,427.14918341,427.4,0,31,1,748,1,187,427.14918341
1.8,0,0,1,0,6,8,0,86705695,487.20311068,487.5,0,35,0,731,1,83.2,487.20311068
0.9,0,0,1,0,1,2,1,4723,176.058577502,176.17,0,13,0,244,1,64.7,176.058577502
4.2,0,0,2,0,7,3,0,37464,291.219829168,291.4,0,21,1,294,1,41.5,291.219829168
-1.9,0,0,4,0,5,5,0,135398748,253.11748936,253.26,0,18,0,344,1,126,253.11748936
-1.8,0,0,3,0,2,4,0,5852,149.05104977,149.21,0,9,1,124,1,64.3,149.05104977
1.4,0,0,0,0,8,12,0,6518,316.01387170,316.14,0,21,0,311,1,220,316.01387170
1.5,0,0,8,0,22,10,0,9853654,767.33124734,767.9,0,54,4,1310,1,276,767.33124734
2.6,0,0,4,0,10,4,0,4735,340.18992602,340.4,0,25,0,376,1,118,340.18992602
3.3,0,0,1,0,2,2,0,441278,285.209264485,285.4,0,21,3,414,1,23.5,285.209264485
-8.5,0,0,5,0,16,13,0,3053,393.13834394,393.35,0,27,0,481,1,196,393.13834394
-9.4,0,0,17,0,34,25,0,72128,1393.56825994,1394.6,0,97,10,2590,1,545,1393.56825994
2.1,0,0,2,0,4,3,1,4737,226.13174244,226.27,0,16,0,305,1,75.3,226.13174244
-2.1,0,0,4,0,2,6,0,439693,268.11715500,268.27,0,19,4,356,1,112,268.11715500
0.3,0,0,0,0,5,4,0,4740,278.13789045,278.31,0,20,0,426,1,75.5,278.13789045
3.8,0,0,0,0,0,0,0,727,289.857116,290.8,0,12,0,104,1,0,287.860066
3.4,0,0,0,0,3,3,0,9924495,349.121512110,349.4,0,27,0,664,1,57,349.121512110
3.1,0,0,0,0,0,8,0,6432,187.98722530,188.02,0,11,0,120,1,0,187.98722530
4.2,0,0,1,0,4,2,0,47811,314.18167001,314.5,0,22,3,388,1,44.3,314.18167001
3.5,0,0,1,0,4,5,0,4747,365.15618354,365.5,0,26,0,513,1,75.8,365.15618354
0.9,0,0,2,0,9,6,0,107807,368.23112213,368.5,0,26,5,524,1,95.9,368.23112213
6.5,0,0,0,0,7,3,2,40326,390.0789499,391.3,0,26,0,521,1,35.5,390.0789499
4.2,0,0,1,0,6,5,0,4748,403.1485113,404.0,0,27,0,463,1,55.3,403.1485113
2.5,0,0,0,0,4,3,0,4058,247.157228913,247.33,0,18,0,276,1,29.5,247.157228913
1.6,0,0,1,0,3,2,0,4754,179.094628657,179.22,0,13,0,162,1,38.3,179.094628657
0.4,0,0,0,0,1,2,0,2206,188.094963011,188.23,0,14,0,266,1,23.6,188.094963011
1.9,0,0,2,0,2,5,0,4756,213.10144537,213.24,0,16,0,237,1,89.7,213.10144537
1.2,0,0,2,0,3,2,0,3675,136.100048391,136.19,0,10,0,77.3,1,38.1,136.100048391
2.2,0,0,2,0,5,6,1,272833,364.10929292,364.4,0,25,3,575,1,121,364.10929292
2.9,0,0,0,0,1,2,0,4760,222.068079557,222.24,0,17,0,304,1,34.1,222.068079557
2.8,0,0,0,0,5,2,1,4761,240.162648646,240.34,0,18,0,221,1,16.1,240.162648646
1.4,0,0,1,0,1,2,2,4762,177.115364102,177.24,0,13,0,154,1,21.3,177.115364102
1.5,0,0,2,0,2,3,0,4763,232.08479225,232.23,0,17,0,339,1,75.3,232.08479225
1.5,0,0,1,0,0,1,0,996,94.041864811,94.11,0,7,0,46.1,1,20.2,94.041864811
3.6,0,0,2,0,2,4,0,4764,318.08920892,318.3,0,24,0,438,1,66.8,318.08920892
3.7,0,0,1,0,8,4,1,11226,367.21474379,367.5,0,27,0,447,1,49.8,367.21474379
6.2,0,0,0,0,7,3,2,4767,350.18819469,350.4,0,26,0,512,1,35.5,350.18819469
4.4,0,0,0,0,8,2,1,4768,303.1389920,303.8,0,21,0,262,1,12.5,303.1389920
1.2,0,0,1,0,3,2,0,31236,138.068079557,138.16,0,10,0,77.3,1,29.5,138.068079557
2.1,0,0,2,0,5,6,0,6869,350.09364285,350.4,0,24,3,547,1,121,350.09364285
1.9,0,0,1,0,2,1,0,4771,149.120449483,149.23,0,11,0,112,1,26,149.120449483
2.6,0,0,2,0,4,3,0,5775,281.152812238,281.35,0,21,0,363,1,47.9,281.152812238
-1.5,0,0,2,0,3,3,0,6140,165.078978594,165.19,0,12,1,153,1,63.3,165.078978594
3.2,0,0,0,0,5,2,0,4781,308.152477885,308.4,0,23,0,389,1,40.6,308.152477885
2.4,0,0,1,0,4,2,0,4775,164.083729621,164.20,0,12,0,137,1,37.3,164.083729621
-0.3,0,0,3,0,3,3,0,6041,167.094628657,167.20,0,12,1,130,1,52.5,167.094628657
1.4,0,0,1,0,2,1,0,6054,122.073164938,122.16,0,9,0,65,1,20.2,122.073164938
0.8,0,0,2,0,2,2,0,26934,151.099714038,151.21,0,11,2,110,1,46.3,151.099714038
3.9,0,0,0,0,6,2,0,7077,255.162314293,255.35,0,19,0,235,1,12.5,255.162314293
2.5,0,0,2,0,2,2,0,1775,252.089877630,252.27,0,19,0,350,1,58.2,252.089877630
0.8,0,0,1,0,4,6,0,5311356,398.22055744,398.5,0,29,5,653,1,54.4,398.22055744
-2.1,0,0,3,0,0,4,0,1004,97.97689557,97.995,0,5,0,49.8,1,77.8,97.97689557
N/A,0,0,0,0,0,0,0,5462309,30.973761998,30.97376200,0,1,0,0,1,0,30.973761998
7.4,0,0,4,0,17,17,0,58031952,1112.49069988,1113.2,0,80,8,2000,1,200,1112.49069988
1.1,0,0,0,0,3,3,0,5910,208.121177757,208.26,0,15,2,245,1,44.1,208.121177757
3.8,0,0,2,0,6,11,0,6509979,809.4480897,810.4,2,56,14,1440,1,158,809.4480897
6.3,0,0,1,0,7,4,0,16362,461.22786888,461.5,0,34,0,632,1,35.6,461.22786888
1.8,0,0,3,0,6,3,1,4828,248.152477885,248.32,0,18,0,248,1,57.3,248.152477885
