Drug,Isotope_Atom,atom_chiral_undef,Log P_Xlogp3,Heavy_Atom,Compound Complexity_N/A,bond_chiral_undef,charge,Topological_Polar Surface Area,atom_chiral_def,bond_chiral_def,Molecular Weight_N/A,Weight_Monoisotopic,Covalent_Unit,Count_Hydrogen Bond Acceptor,Count_Hydrogen Bond Donor,Mass_Exact,Count_Rotatable Bond
"2,2'-Dithiobis(Benzothiazole)",0.0,0.0,5.6,20.0,311.0,0.0,0.0,133.0,0.0,0.0,332.5,331.95703296,1.0,6.0,0.0,331.95703296,3.0
"2,3-Dibromo-2-Methylpentanedinitrile",0.0,2.0,1.5,10.0,208.0,0.0,0.0,47.6,0.0,0.0,265.93,263.88977,1.0,2.0,0.0,265.88772,2.0
2-Mercaptobenzothiazole,0.0,0.0,2.4,10.0,158.0,0.0,0.0,69.4,0.0,0.0,167.3,166.98634151,1.0,2.0,1.0,166.98634151,0.0
Abacavir,0.0,0.0,0.9,21.0,414.0,0.0,0.0,102.0,2.0,0.0,286.33,286.15420922,1.0,6.0,3.0,286.15420922,4.0
Abatacept,,,,,,,,,,,,,,,,,
Abciximab,,,,,,,,,,,,,,,,,
Abemaciclib,0.0,0.0,3.8,37.0,723.0,0.0,0.0,75.0,0.0,0.0,506.6,506.27179938,1.0,9.0,1.0,506.27179938,7.0
Abiraterone,0.0,0.0,4.6,26.0,636.0,0.0,0.0,33.1,6.0,0.0,349.5,349.240564612,1.0,2.0,1.0,349.240564612,1.0
Abrocitinib,0.0,0.0,1.7,22.0,474.0,0.0,0.0,99.4,0.0,0.0,323.42,323.1415961,1.0,6.0,2.0,323.1415961,6.0
Acalabrutinib,0.0,0.0,3.0,35.0,845.0,0.0,0.0,119.0,1.0,0.0,465.5,465.191323,1.0,6.0,2.0,465.191323,4.0
Acamprosate,0.0,0.0,-1.2,11.0,215.0,0.0,0.0,91.9,0.0,0.0,181.21,181.04087901,1.0,4.0,2.0,181.04087901,4.0
Acarbose,0.0,1.0,-8.5,44.0,962.0,0.0,0.0,321.0,18.0,0.0,645.6,645.24801352,1.0,19.0,14.0,645.24801352,9.0
Acebutolol,0.0,1.0,1.7,24.0,400.0,0.0,0.0,87.7,0.0,0.0,336.4,336.20490738,1.0,5.0,3.0,336.20490738,10.0
Aceclofenac,0.0,0.0,4.3,23.0,411.0,0.0,0.0,75.6,0.0,0.0,354.2,353.0221633,1.0,5.0,2.0,353.0221633,7.0
Acemetacin,0.0,0.0,4.2,29.0,620.0,0.0,0.0,94.8,0.0,0.0,415.8,415.082265,1.0,6.0,1.0,415.082265,7.0
Acepifylline,0.0,0.0,,178.0,412.0,0.0,0.0,934.0,0.0,0.0,2508.6,2507.1524268,15.0,54.0,22.0,2508.1557816,16.0
Acetazolamide,0.0,0.0,-0.3,13.0,297.0,0.0,0.0,152.0,0.0,0.0,222.3,221.98813241,1.0,7.0,2.0,221.98813241,2.0
Acetic Acid,0.0,0.0,-0.2,4.0,31.0,0.0,0.0,37.3,0.0,0.0,60.05,60.021129366,1.0,2.0,1.0,60.021129366,0.0
Acetohexamide,0.0,0.0,2.4,22.0,498.0,0.0,0.0,101.0,0.0,0.0,324.4,324.1143783,1.0,4.0,2.0,324.1143783,4.0
Acetylcholine,0.0,0.0,0.2,10.0,115.0,0.0,1.0,26.3,0.0,0.0,146.21,146.118103753,1.0,2.0,0.0,146.118103753,4.0
Acetylcysteine,0.0,0.0,0.4,10.0,148.0,0.0,0.0,67.4,1.0,0.0,163.2,163.03031432,1.0,4.0,3.0,163.03031432,3.0
Acipimox,0.0,0.0,-1.0,11.0,162.0,0.0,0.0,75.7,0.0,0.0,154.12,154.03784206,1.0,4.0,1.0,154.03784206,1.0
Acitretin,0.0,0.0,6.1,24.0,539.0,0.0,0.0,46.5,0.0,4.0,326.4,326.18819469,1.0,3.0,1.0,326.18819469,6.0
Aclidinium,0.0,0.0,4.7,33.0,647.0,0.0,1.0,112.0,1.0,0.0,484.7,484.16162579,1.0,6.0,1.0,484.16162579,10.0
Acrivastine,0.0,0.0,1.6,26.0,514.0,0.0,0.0,53.4,0.0,2.0,348.4,348.183778013,1.0,4.0,1.0,348.183778013,6.0
Acrosoxacin,0.0,0.0,0.6,22.0,482.0,0.0,0.0,70.5,0.0,0.0,294.3,294.10044231,1.0,5.0,1.0,294.10044231,3.0
Acyclovir,0.0,0.0,-1.9,16.0,308.0,0.0,0.0,115.0,0.0,0.0,225.2,225.08618923,1.0,5.0,3.0,225.08618923,4.0
Adalimumab,,,,,,,,,,,,,,,,,
Adapalene,0.0,0.0,7.7,31.0,644.0,0.0,0.0,46.5,0.0,0.0,412.5,412.20384475,1.0,3.0,1.0,412.20384475,4.0
Adefovir,0.0,0.0,-2.0,18.0,327.0,0.0,0.0,136.0,0.0,0.0,273.19,273.06269088,1.0,8.0,3.0,273.06269088,5.0
Adenine,0.0,0.0,-0.1,10.0,127.0,0.0,0.0,80.5,0.0,0.0,135.13,135.05449518,1.0,4.0,2.0,135.05449518,0.0
Adenophora,,,,,,,,,,,,,,,,,
Adenosine,0.0,0.0,-1.1,19.0,335.0,0.0,0.0,140.0,4.0,0.0,267.24,267.09675391,1.0,8.0,4.0,267.09675391,2.0
Bacampicillin,0.0,1.0,2.7,32.0,756.0,0.0,0.0,163.0,4.0,0.0,465.5,465.15697138,1.0,9.0,2.0,465.15697138,10.0
Bacitracin,,,,,,,,,,,,,,,,,
Baclofen,0.0,1.0,-1.0,14.0,191.0,0.0,0.0,63.3,0.0,0.0,213.66,213.0556563,1.0,3.0,2.0,213.0556563,4.0
Baloxavir Marboxil,0.0,0.0,3.8,40.0,1090.0,0.0,0.0,123.0,2.0,0.0,571.6,571.12247758,1.0,12.0,0.0,571.12247758,6.0
Balsalazide,0.0,0.0,2.2,26.0,545.0,0.0,0.0,149.0,0.0,0.0,357.32,357.09608521,1.0,8.0,4.0,357.09608521,7.0
Bambusa Arundinacea,,,,,,,,,,,,,,,,,
Bambuterol,0.0,1.0,1.2,26.0,446.0,0.0,0.0,91.3,0.0,0.0,367.4,367.21072103,1.0,6.0,2.0,367.21072103,8.0
Bamifylline,0.0,0.0,1.2,28.0,554.0,0.0,0.0,81.9,0.0,0.0,385.5,385.21138974,1.0,5.0,1.0,385.21138974,8.0
Baptisia Tinctoria,,,,,,,,,,,,,,,,,
Baricitinib,0.0,0.0,-0.5,26.0,678.0,0.0,0.0,129.0,0.0,0.0,371.4,371.11644398,1.0,7.0,1.0,371.11644398,5.0
Barium,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,137.33,137.905247,1.0,0.0,0.0,137.905247,0.0
Barosma,,,,,,,,,,,,,,,,,
Basiliximab,,,,,,,,,,,,,,,,,
Bazedoxifene,0.0,0.0,6.1,35.0,623.0,0.0,0.0,57.9,0.0,0.0,470.6,470.25694295,1.0,4.0,2.0,470.25694295,7.0
Cabazitaxel,0.0,0.0,2.7,60.0,1690.0,0.0,0.0,202.0,11.0,0.0,835.9,835.37790549,1.0,14.0,3.0,835.37790549,15.0
